step time_s fluid_front_x_m right_wall_x_m gap_m
0 0.000000 15.000000 101.000000 86.000000
1 0.200000 15.261732 101.000000 85.738268
2 0.400000 16.140764 101.000000 84.859236
3 0.600000 17.467247 101.000000 83.532753
4 0.800000 19.219015 101.000000 81.780985
5 1.000000 21.444546 101.000000 79.555454
6 1.200000 24.196634 101.000000 76.803366
7 1.400000 27.262838 101.000000 73.737162
8 1.600000 30.526566 101.000000 70.473434
9 1.800000 34.001530 101.000000 66.998470
10 2.000000 37.592499 101.000000 63.407501
11 2.200000 41.227615 101.000000 59.772385
12 2.400000 44.919598 101.000000 56.080402
13 2.600000 48.476120 101.000000 52.523880
14 2.800000 52.040745 101.000000 48.959255
15 3.000000 55.554188 101.000000 45.445812
16 3.200000 59.099693 101.000000 41.900307
17 3.400000 62.484600 101.000000 38.515400
18 3.600000 65.693764 101.000000 35.306236
19 3.800000 68.782982 101.000000 32.217018
20 4.000000 71.724213 101.000000 29.275787
21 4.200000 74.524750 101.000000 26.475250
22 4.400000 77.185211 101.000000 23.814789
23 4.600000 79.740494 101.000000 21.259506
24 4.800000 82.144470 101.000000 18.855530
25 5.000000 84.414566 101.000000 16.585434
26 5.200000 86.555351 101.000000 14.444649
27 5.400000 88.529732 101.000000 12.470268
28 5.600000 90.337448 101.000000 10.662552
29 5.800000 91.971191 101.000000 9.028809
30 6.000000 93.457008 101.000000 7.542992
31 6.200000 94.792885 101.000000 6.207115
32 6.400000 96.022995 101.000000 4.977005
33 6.600000 97.119186 101.000000 3.880814
34 6.800000 98.076996 101.000000 2.923004
35 7.000000 98.891563 101.000000 2.108437
36 7.200000 99.078331 101.000000 1.921669
37 7.400000 99.083748 101.000000 1.916252
38 7.600000 99.120728 101.000000 1.879272
39 7.800000 99.110657 101.000000 1.889343
40 8.000000 99.095039 101.000000 1.904961
41 8.200000 99.089027 101.000000 1.910973
42 8.400000 99.080528 101.000000 1.919472
43 8.600000 99.074615 101.000000 1.925385
44 8.800000 99.070770 101.000000 1.929230
45 9.000000 99.067856 101.000000 1.932144
46 9.200000 99.065865 101.000000 1.934135
47 9.400000 99.064369 101.000000 1.935631
48 9.600000 99.063217 101.000000 1.936783
49 9.800000 99.062271 101.000000 1.937729
50 10.000000 99.061455 101.000000 1.938545

No hit detected within available outputs.
