Assumed right wall inner surface x = 100.000000 m
step time_s fluid_front_x_m gap_to_inner_wall_m
0 0.000000 15.000000 85.000000
1 0.200000 15.261732 84.738268
2 0.400000 16.140764 83.859236
3 0.600000 17.467247 82.532753
4 0.800000 19.219015 80.780985
5 1.000000 21.444546 78.555454
6 1.200000 24.196634 75.803366
7 1.400000 27.262838 72.737162
8 1.600000 30.526566 69.473434
9 1.800000 34.001530 65.998470
10 2.000000 37.592499 62.407501
11 2.200000 41.227615 58.772385
12 2.400000 44.919598 55.080402
13 2.600000 48.476120 51.523880
14 2.800000 52.040745 47.959255
15 3.000000 55.554188 44.445812
16 3.200000 59.099693 40.900307
17 3.400000 62.484600 37.515400
18 3.600000 65.693764 34.306236
19 3.800000 68.782982 31.217018
20 4.000000 71.724213 28.275787
21 4.200000 74.524750 25.475250
22 4.400000 77.185211 22.814789
23 4.600000 79.740494 20.259506
24 4.800000 82.144470 17.855530
25 5.000000 84.414566 15.585434
26 5.200000 86.555351 13.444649
27 5.400000 88.529732 11.470268
28 5.600000 90.337448 9.662552
29 5.800000 91.971191 8.028809
30 6.000000 93.457008 6.542992
31 6.200000 94.792885 5.207115
32 6.400000 96.022995 3.977005
33 6.600000 97.119186 2.880814
34 6.800000 98.076996 1.923004
35 7.000000 98.891563 1.108437
36 7.200000 99.078331 0.921669
37 7.400000 99.083748 0.916252
38 7.600000 99.120728 0.879272
39 7.800000 99.110657 0.889343
40 8.000000 99.095039 0.904961
41 8.200000 99.089027 0.910973
42 8.400000 99.080528 0.919472
43 8.600000 99.074615 0.925385
44 8.800000 99.070770 0.929230
45 9.000000 99.067856 0.932144
46 9.200000 99.065865 0.934135
47 9.400000 99.064369 0.935631
48 9.600000 99.063217 0.936783
49 9.800000 99.062271 0.937729
50 10.000000 99.061455 0.938545

No hit detected within available outputs.
Minimum gap = 0.879272 m at step 38, time 7.600000 s.
