Boundary-slab estimate using 100.000 <= x <= 101.000 m
Pressure conversion assumption: p = c0^2 (rho-rho0), rho0=1700.000 kg/m^3, c0=100.000 m/s
step time_s estimated_horizontal_force_N_per_m wall_height_m particle_count
0 0.000000 0.000000 40.000000 249
1 0.200000 0.000000 40.000000 249
2 0.400000 0.000000 40.000000 249
3 0.600000 0.000000 40.000000 249
4 0.800000 0.000000 40.000000 249
5 1.000000 0.000000 40.000000 249
6 1.200000 0.000000 40.000000 249
7 1.400000 0.000000 40.000000 249
8 1.600000 0.000000 40.000000 249
9 1.800000 0.000000 40.000000 249
10 2.000000 0.000000 40.000000 249
11 2.200000 0.000000 40.000000 249
12 2.400000 0.000000 40.000000 249
13 2.600000 0.000000 40.000000 249
14 2.800000 0.000000 40.000000 249
15 3.000000 0.000000 40.000000 249
16 3.200000 0.000000 40.000000 249
17 3.400000 0.000000 40.000000 249
18 3.600000 0.000000 40.000000 249
19 3.800000 0.000000 40.000000 249
20 4.000000 0.000000 40.000000 249
21 4.200000 0.000000 40.000000 249
22 4.400000 0.000000 40.000000 249
23 4.600000 0.000000 40.000000 249
24 4.800000 0.000000 40.000000 249
25 5.000000 0.000000 40.000000 249
26 5.200000 0.000000 40.000000 249
27 5.400000 0.000000 40.000000 249
28 5.600000 0.000000 40.000000 249
29 5.800000 0.000000 40.000000 249
30 6.000000 0.000000 40.000000 249
31 6.200000 0.000000 40.000000 249
32 6.400000 0.000000 40.000000 249
33 6.600000 0.000000 40.000000 249
34 6.800000 0.000000 40.000000 249
35 7.000000 10971.272786 40.000000 249
36 7.200000 228394.165039 40.000000 249
37 7.400000 238955.281576 40.000000 249
38 7.600000 315128.377279 40.000000 249
39 7.800000 295296.427409 40.000000 249
40 8.000000 254675.089518 40.000000 249
41 8.200000 235533.650716 40.000000 249
42 8.400000 215066.121419 40.000000 249
43 8.600000 200947.469076 40.000000 249
44 8.800000 192285.156250 40.000000 249
45 9.000000 186350.504557 40.000000 249
46 9.200000 182696.533203 40.000000 249
47 9.400000 180345.052083 40.000000 249
48 9.600000 178859.456380 40.000000 249
49 9.800000 177935.180664 40.000000 249
50 10.000000 177362.467448 40.000000 249
