Boundary-pressure estimate using wall slab 100.000 <= x <= 101.000 m
step time_s boundary_pressure_force_N_per_m wall_height_m particle_count fluid_side_force_N_per_m
0 0.000000 0.000000 40.000000 249 nan
1 0.200000 0.000000 40.000000 249 nan
2 0.400000 0.000000 40.000000 249 nan
3 0.600000 0.000000 40.000000 249 nan
4 0.800000 0.000000 40.000000 249 nan
5 1.000000 0.000000 40.000000 249 nan
6 1.200000 0.000000 40.000000 249 nan
7 1.400000 0.000000 40.000000 249 nan
8 1.600000 0.000000 40.000000 249 nan
9 1.800000 0.000000 40.000000 249 nan
10 2.000000 0.000000 40.000000 249 nan
11 2.200000 0.000000 40.000000 249 nan
12 2.400000 0.000000 40.000000 249 nan
13 2.600000 0.000000 40.000000 249 nan
14 2.800000 0.000000 40.000000 249 nan
15 3.000000 0.000000 40.000000 249 nan
16 3.200000 0.000000 40.000000 249 nan
17 3.400000 0.000000 40.000000 249 nan
18 3.600000 0.000000 40.000000 249 nan
19 3.800000 0.000000 40.000000 249 nan
20 4.000000 0.000000 40.000000 249 nan
21 4.200000 0.000000 40.000000 249 nan
22 4.400000 0.000000 40.000000 249 nan
23 4.600000 0.000000 40.000000 249 nan
24 4.800000 0.000000 40.000000 249 nan
25 5.000000 0.000000 40.000000 249 nan
26 5.200000 0.000000 40.000000 249 nan
27 5.400000 0.000000 40.000000 249 nan
28 5.600000 0.000000 40.000000 249 nan
29 5.800000 0.000000 40.000000 249 nan
30 6.000000 0.000000 40.000000 249 nan
31 6.200000 0.000000 40.000000 249 nan
32 6.400000 0.000000 40.000000 249 nan
33 6.600000 0.000000 40.000000 249 nan
34 6.800000 0.000000 40.000000 249 nan
35 7.000000 31933.574099 40.000000 249 nan
36 7.200000 697281.042470 40.000000 249 161483.278658
37 7.400000 721242.847690 40.000000 249 108375.014982
38 7.600000 957392.964501 40.000000 249 203065.344077
39 7.800000 893164.092319 40.000000 249 150024.857757
40 8.000000 765750.121616 40.000000 249 144585.348983
41 8.200000 706443.426792 40.000000 249 111972.182861
42 8.400000 643329.896518 40.000000 249 55830.196399
43 8.600000 600067.895135 40.000000 249 52004.383429
44 8.800000 573651.403191 40.000000 249 49500.199963
45 9.000000 555602.895297 40.000000 249 47982.650127
46 9.200000 544529.042677 40.000000 249 47147.761798
47 9.400000 537421.933994 40.000000 249 46605.485996
48 9.600000 532943.514682 40.000000 249 46256.357961
49 9.800000 530160.311557 40.000000 249 45986.757447
50 10.000000 528436.613640 40.000000 249 45796.681002
