Estimated from fluid pressure in near-wall band 99.000 <= x <= 100.000 m
step time_s estimated_horizontal_force_N_per_m surge_height_m particle_count
0 0.000000 nan nan 0
1 0.200000 nan nan 0
2 0.400000 nan nan 0
3 0.600000 nan nan 0
4 0.800000 nan nan 0
5 1.000000 nan nan 0
6 1.200000 nan nan 0
7 1.400000 nan nan 0
8 1.600000 nan nan 0
9 1.800000 nan nan 0
10 2.000000 nan nan 0
11 2.200000 nan nan 0
12 2.400000 nan nan 0
13 2.600000 nan nan 0
14 2.800000 nan nan 0
15 3.000000 nan nan 0
16 3.200000 nan nan 0
17 3.400000 nan nan 0
18 3.600000 nan nan 0
19 3.800000 nan nan 0
20 4.000000 nan nan 0
21 4.200000 nan nan 0
22 4.400000 nan nan 0
23 4.600000 nan nan 0
24 4.800000 nan nan 0
25 5.000000 nan nan 0
26 5.200000 nan nan 0
27 5.400000 nan nan 0
28 5.600000 nan nan 0
29 5.800000 nan nan 0
30 6.000000 nan nan 0
31 6.200000 nan nan 0
32 6.400000 nan nan 0
33 6.600000 nan nan 0
34 6.800000 nan nan 0
35 7.000000 nan nan 0
36 7.200000 161483.278658 2.381867 4
37 7.400000 108375.014982 2.911107 3
38 7.600000 203065.344077 3.583849 5
39 7.800000 150024.857757 3.685960 3
40 8.000000 144585.348983 3.721034 3
41 8.200000 111972.182861 3.736531 3
42 8.400000 55830.196399 2.454257 2
43 8.600000 52004.383429 2.455746 2
44 8.800000 49500.199963 2.455955 2
45 9.000000 47982.650127 2.455486 2
46 9.200000 47147.761798 2.454694 2
47 9.400000 46605.485996 2.453893 2
48 9.600000 46256.357961 2.453192 2
49 9.800000 45986.757447 2.452656 2
50 10.000000 45796.681002 2.452288 2
