Inner-face boundary-pressure estimate using x = 100.000000 m
step time_s inner_face_force_N_per_m wall_height_m particle_count fluid_side_force_N_per_m
0 0.000000 0.000000 40.000000 83 nan
1 0.200000 0.000000 40.000000 83 nan
2 0.400000 0.000000 40.000000 83 nan
3 0.600000 0.000000 40.000000 83 nan
4 0.800000 0.000000 40.000000 83 nan
5 1.000000 0.000000 40.000000 83 nan
6 1.200000 0.000000 40.000000 83 nan
7 1.400000 0.000000 40.000000 83 nan
8 1.600000 0.000000 40.000000 83 nan
9 1.800000 0.000000 40.000000 83 nan
10 2.000000 0.000000 40.000000 83 nan
11 2.200000 0.000000 40.000000 83 nan
12 2.400000 0.000000 40.000000 83 nan
13 2.600000 0.000000 40.000000 83 nan
14 2.800000 0.000000 40.000000 83 nan
15 3.000000 0.000000 40.000000 83 nan
16 3.200000 0.000000 40.000000 83 nan
17 3.400000 0.000000 40.000000 83 nan
18 3.600000 0.000000 40.000000 83 nan
19 3.800000 0.000000 40.000000 83 nan
20 4.000000 0.000000 40.000000 83 nan
21 4.200000 0.000000 40.000000 83 nan
22 4.400000 0.000000 40.000000 83 nan
23 4.600000 0.000000 40.000000 83 nan
24 4.800000 0.000000 40.000000 83 nan
25 5.000000 0.000000 40.000000 83 nan
26 5.200000 0.000000 40.000000 83 nan
27 5.400000 0.000000 40.000000 83 nan
28 5.600000 0.000000 40.000000 83 nan
29 5.800000 0.000000 40.000000 83 nan
30 6.000000 0.000000 40.000000 83 nan
31 6.200000 0.000000 40.000000 83 nan
32 6.400000 0.000000 40.000000 83 nan
33 6.600000 0.000000 40.000000 83 nan
34 6.800000 0.000000 40.000000 83 nan
35 7.000000 95800.722298 40.000000 83 nan
36 7.200000 2091843.127411 40.000000 83 161483.278658
37 7.400000 2163728.543070 40.000000 83 108375.014982
38 7.600000 2872178.893503 40.000000 83 203065.344077
39 7.800000 2679492.276957 40.000000 83 150024.857757
40 8.000000 2297250.364847 40.000000 83 144585.348983
41 8.200000 2119330.280375 40.000000 83 111972.182861
42 8.400000 1929989.689554 40.000000 83 55830.196399
43 8.600000 1800203.685404 40.000000 83 52004.383429
44 8.800000 1720954.209574 40.000000 83 49500.199963
45 9.000000 1666808.685892 40.000000 83 47982.650127
46 9.200000 1633587.128031 40.000000 83 47147.761798
47 9.400000 1612265.801981 40.000000 83 46605.485996
48 9.600000 1598830.544046 40.000000 83 46256.357961
49 9.800000 1590480.934671 40.000000 83 45986.757447
50 10.000000 1585309.840921 40.000000 83 45796.681002
