time_s Fx_N_per_m Fy_N_per_m Fz_N_per_m
0.000000 0.000000 0.000000 0.000000
0.200453 0.000000 0.000000 0.000000
0.400204 0.000000 0.000000 0.000000
0.600272 0.000000 0.000000 0.000000
0.800310 0.000000 0.000000 0.000000
1.000443 0.000000 0.000000 0.000000
1.200169 0.000000 0.000000 0.000000
1.400151 0.000000 0.000000 0.000000
1.600412 0.000000 0.000000 0.000000
1.800725 0.000000 0.000000 0.000000
2.000063 0.000000 0.000000 0.000000
2.200213 0.000000 0.000000 0.000000
2.400676 0.000000 0.000000 0.000000
2.600247 0.000000 0.000000 0.000000
2.800573 0.000000 0.000000 0.000000
3.000760 0.000000 0.000000 0.000000
3.200332 0.000000 0.000000 0.000000
3.400509 0.000000 0.000000 0.000000
3.600655 0.000000 0.000000 0.000000
3.800361 0.000000 0.000000 0.000000
4.000533 0.000000 0.000000 0.000000
4.200310 0.000000 0.000000 0.000000
4.400359 0.000000 0.000000 0.000000
4.600636 0.000000 0.000000 0.000000
4.800376 0.000000 0.000000 0.000000
5.000428 0.000000 0.000000 0.000000
5.200757 0.000000 0.000000 0.000000
5.400566 0.000000 0.000000 0.000000
5.600586 0.000000 0.000000 0.000000
5.800071 0.000000 0.000000 0.000000
6.000679 0.000000 0.000000 0.000000
6.200759 0.000000 0.000000 0.000000
6.400380 0.000000 0.000000 0.000000
6.600277 0.000000 0.000000 0.000000
6.800443 0.000000 0.000000 0.000000
7.000005 0.000000 0.000000 0.000000
7.200590 0.000000 0.000000 0.000000
7.400297 0.000000 0.000000 0.000000
7.600220 0.000000 0.000000 0.000000
7.800747 0.000000 0.000000 0.000000
8.000691 0.000000 0.000000 0.000000
8.200794 0.000000 0.000000 0.000000
8.400088 0.000000 0.000000 0.000000
8.600211 0.000000 0.000000 0.000000
8.800340 0.000000 0.000000 0.000000
9.000473 0.000000 0.000000 0.000000
9.200611 0.000000 0.000000 0.000000
9.400753 0.000000 0.000000 0.000000
9.600067 0.000000 0.000000 0.000000
9.800217 0.000000 0.000000 0.000000
10.000371 0.000000 0.000000 0.000000
