step time_s farthest_x_m runoff_distance_m
0 0.000000 15.000000 0.000000
1 0.200000 15.261732 0.261732
2 0.400000 16.140764 1.140764
3 0.600000 17.467247 2.467247
4 0.800000 19.219015 4.219015
5 1.000000 21.444546 6.444546
6 1.200000 24.196634 9.196634
7 1.400000 27.262838 12.262838
8 1.600000 30.526566 15.526566
9 1.800000 34.001530 19.001530
10 2.000000 37.592499 22.592499
11 2.200000 41.227615 26.227615
12 2.400000 44.919598 29.919598
13 2.600000 48.476120 33.476120
14 2.800000 52.040745 37.040745
15 3.000000 55.554188 40.554188
16 3.200000 59.099693 44.099693
17 3.400000 62.484600 47.484600
18 3.600000 65.693764 50.693764
19 3.800000 68.782982 53.782982
20 4.000000 71.724213 56.724213
21 4.200000 74.524750 59.524750
22 4.400000 77.185211 62.185211
23 4.600000 79.740494 64.740494
24 4.800000 82.144470 67.144470
25 5.000000 84.414566 69.414566
26 5.200000 86.555351 71.555351
27 5.400000 88.529732 73.529732
28 5.600000 90.337448 75.337448
29 5.800000 91.971191 76.971191
30 6.000000 93.457008 78.457008
31 6.200000 94.792885 79.792885
32 6.400000 96.022995 81.022995
33 6.600000 97.119186 82.119186
34 6.800000 98.076996 83.076996
35 7.000000 98.891563 83.891563
36 7.200000 99.078331 84.078331
37 7.400000 99.083748 84.083748
38 7.600000 99.120728 84.120728
39 7.800000 99.110657 84.110657
40 8.000000 99.095039 84.095039
41 8.200000 99.089027 84.089027
42 8.400000 99.080528 84.080528
43 8.600000 99.074615 84.074615
44 8.800000 99.070770 84.070770
45 9.000000 99.067856 84.067856
46 9.200000 99.065865 84.065865
47 9.400000 99.064369 84.064369
48 9.600000 99.063217 84.063217
49 9.800000 99.062271 84.062271
50 10.000000 99.061455 84.061455
