Near-wall region defined as 98.000000 <= x <= 100.000000 m
step time_s surge_height_z_m particle_count_in_wall_band front_x_in_band_m
0 0.000000 nan 0 nan
1 0.200000 nan 0 nan
2 0.400000 nan 0 nan
3 0.600000 nan 0 nan
4 0.800000 nan 0 nan
5 1.000000 nan 0 nan
6 1.200000 nan 0 nan
7 1.400000 nan 0 nan
8 1.600000 nan 0 nan
9 1.800000 nan 0 nan
10 2.000000 nan 0 nan
11 2.200000 nan 0 nan
12 2.400000 nan 0 nan
13 2.600000 nan 0 nan
14 2.800000 nan 0 nan
15 3.000000 nan 0 nan
16 3.200000 nan 0 nan
17 3.400000 nan 0 nan
18 3.600000 nan 0 nan
19 3.800000 nan 0 nan
20 4.000000 nan 0 nan
21 4.200000 nan 0 nan
22 4.400000 nan 0 nan
23 4.600000 nan 0 nan
24 4.800000 nan 0 nan
25 5.000000 nan 0 nan
26 5.200000 nan 0 nan
27 5.400000 nan 0 nan
28 5.600000 nan 0 nan
29 5.800000 nan 0 nan
30 6.000000 nan 0 nan
31 6.200000 nan 0 nan
32 6.400000 nan 0 nan
33 6.600000 nan 0 nan
34 6.800000 1.397396 1 98.076996
35 7.000000 2.412946 7 98.891563
36 7.200000 2.690886 12 99.078331
37 7.400000 3.297385 13 99.083748
38 7.600000 3.583849 14 99.120728
39 7.800000 3.685960 14 99.110657
40 8.000000 3.721034 14 99.095039
41 8.200000 3.736531 14 99.089027
42 8.400000 3.746854 14 99.080528
43 8.600000 3.749654 14 99.074615
44 8.800000 3.749720 14 99.070770
45 9.000000 3.748192 14 99.067856
46 9.200000 3.745776 14 99.065865
47 9.400000 3.743014 14 99.064369
48 9.600000 3.740158 14 99.063217
49 9.800000 3.737337 14 99.062271
50 10.000000 3.734631 14 99.061455
