time_s,front_x_m,initial_front_x_m,runoff_distance_m
0.000000,15.000000,15.000000,0.000000
0.200000,15.261732,15.000000,0.261732
0.400000,16.140764,15.000000,1.140764
0.600000,17.467247,15.000000,2.467247
0.800000,19.219015,15.000000,4.219015
1.000000,21.444546,15.000000,6.444546
1.200000,24.196634,15.000000,9.196634
1.400000,27.262838,15.000000,12.262838
1.600000,30.526566,15.000000,15.526566
1.800000,34.001530,15.000000,19.001530
2.000000,37.592499,15.000000,22.592499
2.200000,41.227615,15.000000,26.227615
2.400000,44.919598,15.000000,29.919598
2.600000,48.476120,15.000000,33.476120
2.800000,52.040745,15.000000,37.040745
3.000000,55.554188,15.000000,40.554188
3.200000,59.099693,15.000000,44.099693
3.400000,62.484600,15.000000,47.484600
3.600000,65.693764,15.000000,50.693764
3.800000,68.782982,15.000000,53.782982
4.000000,71.724213,15.000000,56.724213
4.200000,74.524750,15.000000,59.524750
4.400000,77.185211,15.000000,62.185211
4.600000,79.740494,15.000000,64.740494
4.800000,82.144470,15.000000,67.144470
5.000000,84.414566,15.000000,69.414566
5.200000,86.555351,15.000000,71.555351
5.400000,88.529732,15.000000,73.529732
5.600000,90.337448,15.000000,75.337448
5.800000,91.971191,15.000000,76.971191
6.000000,93.457008,15.000000,78.457008
6.200000,94.792885,15.000000,79.792885
6.400000,96.022995,15.000000,81.022995
6.600000,97.119186,15.000000,82.119186
6.800000,98.076996,15.000000,83.076996
7.000000,98.891563,15.000000,83.891563
7.200000,99.078331,15.000000,84.078331
7.400000,99.083748,15.000000,84.083748
7.600000,99.120728,15.000000,84.120728
7.800000,99.110657,15.000000,84.110657
8.000000,99.095039,15.000000,84.095039
8.200000,99.089027,15.000000,84.089027
8.400000,99.080528,15.000000,84.080528
8.600000,99.074615,15.000000,84.074615
8.800000,99.070770,15.000000,84.070770
9.000000,99.067856,15.000000,84.067856
9.200000,99.065865,15.000000,84.065865
9.400000,99.064369,15.000000,84.064369
9.600000,99.063217,15.000000,84.063217
9.800000,99.062271,15.000000,84.062271
10.000000,99.061455,15.000000,84.061455
