time_s,n_in_band,crest_z_max_m,crest_z_occupied_m,surge_height_max_m
7.000000,0,nan,nan,nan
7.200000,4,2.381867,nan,2.381867
7.400000,3,2.911107,nan,2.911107
7.600000,5,3.583849,nan,3.583849
7.800000,3,3.685960,nan,3.685960
8.000000,3,3.721034,nan,3.721034
8.200000,3,3.736531,nan,3.736531
8.400000,2,2.454257,nan,2.454257
8.600000,2,2.455746,nan,2.455746
8.800000,2,2.455955,nan,2.455955
9.000000,2,2.455486,nan,2.455486
9.200000,2,2.454694,nan,2.454694
9.400000,2,2.453893,nan,2.453893
9.600000,2,2.453192,nan,2.453192
9.800000,2,2.452656,nan,2.452656
10.000000,2,2.452288,nan,2.452288
