time_s,n_particles_in_zone,highest_z_m,inner_floor_z_m,surge_height_m
7.000000,15,2.712674,0.000000,2.712674
7.200000,22,3.020456,0.000000,3.020456
7.400000,24,3.297385,0.000000,3.297385
7.600000,26,3.583849,0.000000,3.583849
7.800000,26,3.685960,0.000000,3.685960
8.000000,26,3.721034,0.000000,3.721034
8.200000,26,3.736531,0.000000,3.736531
8.400000,26,3.746854,0.000000,3.746854
8.600000,26,3.749654,0.000000,3.749654
8.800000,26,3.749720,0.000000,3.749720
9.000000,26,3.748192,0.000000,3.748192
9.200000,26,3.745776,0.000000,3.745776
9.400000,26,3.743014,0.000000,3.743014
9.600000,26,3.740158,0.000000,3.740158
9.800000,26,3.737337,0.000000,3.737337
10.000000,26,3.734631,0.000000,3.734631
