time_s;top_phase_sunk_volume_per_thickness_m2;bottom_phase_bulged_volume_per_thickness_m2
0.000000;0.00000000;0.00000000
0.200000;0.00000000;0.00008192
0.400000;0.00000000;0.00008192
0.600000;0.00000000;0.00008192
0.800000;0.00000000;0.00008192
1.000000;0.00000000;0.00008192
1.200000;0.00000000;0.00016384
1.400000;0.00032768;0.00176128
1.600000;0.00069632;0.00319488
1.800000;0.00106496;0.00417792
2.000000;0.00135168;0.00458752
2.200000;0.00172032;0.00491520
2.400000;0.00192512;0.00569344
2.600000;0.00241664;0.00561152
2.800000;0.00253952;0.00548864
3.000000;0.00294912;0.00565248
3.200000;0.00339968;0.00589824
3.400000;0.00380928;0.00647168
3.600000;0.00397312;0.00638976
3.800000;0.00442368;0.00704512
4.000000;0.00512000;0.00712704
4.200000;0.00569344;0.00720896
4.400000;0.00606208;0.00749568
4.600000;0.00671744;0.00745472
4.800000;0.00724992;0.00757760
5.000000;0.00774144;0.00811008
5.200000;0.00839680;0.00827392
5.400000;0.00905216;0.00856064
5.600000;0.00958464;0.00872448
5.800000;0.01003520;0.00897024
6.000000;0.01081344;0.00929792
6.200000;0.01130496;0.00929792
6.400000;0.01179648;0.00946176
6.600000;0.01228800;0.00954368
6.800000;0.01294336;0.00999424
7.000000;0.01327104;0.00991232
7.200000;0.01388544;0.01007616
7.400000;0.01421312;0.01040384
7.600000;0.01478656;0.01060864
7.800000;0.01523712;0.01105920
8.000000;0.01572864;0.01146880
