time_s;deepest_top_z_m;initial_top_bottom_z_m;sinking_depth_m
0.000000;0.59359998;-0.00160000;-0.59519998
0.200000;0.53343540;-0.00160000;-0.53503540
0.400000;0.43762693;-0.00160000;-0.43922693
0.600000;0.34001356;-0.00160000;-0.34161356
0.800000;0.22677021;-0.00160000;-0.22837021
1.000000;0.11854531;-0.00160000;-0.12014531
1.200000;0.00297209;-0.00160000;-0.00457209
1.400000;-0.00414577;-0.00160000;0.00254577
1.600000;-0.00766404;-0.00160000;0.00606404
1.800000;-0.00962899;-0.00160000;0.00802899
2.000000;-0.01089640;-0.00160000;0.00929640
2.200000;-0.01215527;-0.00160000;0.01055527
2.400000;-0.01354254;-0.00160000;0.01194254
2.600000;-0.01502642;-0.00160000;0.01342642
2.800000;-0.01643224;-0.00160000;0.01483224
3.000000;-0.01758875;-0.00160000;0.01598875
3.200000;-0.01844234;-0.00160000;0.01684234
3.400000;-0.01930122;-0.00160000;0.01770122
3.600000;-0.02008234;-0.00160000;0.01848234
3.800000;-0.02149938;-0.00160000;0.01989938
4.000000;-0.02276401;-0.00160000;0.02116401
4.200000;-0.02414410;-0.00160000;0.02254410
4.400000;-0.02590787;-0.00160000;0.02430787
4.600000;-0.02746855;-0.00160000;0.02586854
4.800000;-0.02887104;-0.00160000;0.02727104
5.000000;-0.03012647;-0.00160000;0.02852647
5.200000;-0.03120520;-0.00160000;0.02960520
5.400000;-0.03229240;-0.00160000;0.03069240
5.600000;-0.03318393;-0.00160000;0.03158393
5.800000;-0.03422462;-0.00160000;0.03262462
6.000000;-0.03538606;-0.00160000;0.03378606
6.200000;-0.03640338;-0.00160000;0.03480338
6.400000;-0.03705210;-0.00160000;0.03545210
6.600000;-0.03769473;-0.00160000;0.03609473
6.800000;-0.03837924;-0.00160000;0.03677924
7.000000;-0.03881020;-0.00160000;0.03721020
7.200000;-0.03913275;-0.00160000;0.03753275
7.400000;-0.03949077;-0.00160000;0.03789077
7.600000;-0.03981291;-0.00160000;0.03821292
7.800000;-0.04009013;-0.00160000;0.03849013
8.000000;-0.04067454;-0.00160000;0.03907454
