time_since_meeting_s;runoff_distance_x_m;deepest_point_x_progress_m;absolute_time_s;front_x_m;deepest_point_x_m;deepest_point_z_m
0.000000;0.00000000;0.00000000;1.400000;0.33283046;0.04658594;-0.00414577
0.200000;0.16357902;0.00179659;1.600000;0.49640948;0.04838253;-0.00766404
0.400000;0.28895524;0.03537383;1.800000;0.62178570;0.08195977;-0.00962899
0.600000;0.38523629;0.03661233;2.000000;0.71806675;0.08319827;-0.01089640
0.800000;0.45095530;0.00368034;2.200000;0.78378576;0.05026628;-0.01215527
1.000000;0.49849209;0.00387378;2.400000;0.83132255;0.05045973;-0.01354254
1.200000;0.53840080;0.00422925;2.600000;0.87123126;0.05081519;-0.01502642
1.400000;0.57074657;0.00468867;2.800000;0.90357703;0.05127462;-0.01643224
1.600000;0.60077068;0.00489877;3.000000;0.93360114;0.05148472;-0.01758875
1.800000;0.62438664;0.00496167;3.200000;0.95721710;0.05154762;-0.01844234
2.000000;0.64647397;0.00501724;3.400000;0.97930443;0.05160319;-0.01930122
2.200000;0.66995614;0.07219492;3.600000;1.00278660;0.11878086;-0.02008234
2.400000;0.68767994;0.07282426;3.800000;1.02051040;0.11941020;-0.02149938
2.600000;0.70615274;0.07329027;4.000000;1.03898320;0.11987621;-0.02276401
2.800000;0.72528004;0.05528872;4.200000;1.05811050;0.10187466;-0.02414410
3.000000;0.74265744;0.05541351;4.400000;1.07548790;0.10199945;-0.02590787
3.200000;0.75736014;0.05568188;4.600000;1.09019060;0.10226782;-0.02746855
3.400000;0.77271044;0.05624021;4.800000;1.10554090;0.10282615;-0.02887104
3.600000;0.78779074;0.05685988;5.000000;1.12062120;0.10344582;-0.03012647
3.800000;0.80022334;0.05750523;5.200000;1.13305380;0.10409117;-0.03120520
4.000000;0.80920864;0.05816159;5.400000;1.14203910;0.10474753;-0.03229240
4.200000;0.81978354;0.05862384;5.600000;1.15261400;0.10520978;-0.03318393
4.400000;0.82953684;0.05901883;5.800000;1.16236730;0.10560477;-0.03422462
4.600000;0.83910374;0.05942716;6.000000;1.17193420;0.10601310;-0.03538606
4.800000;0.84864224;0.05988624;6.200000;1.18147270;0.10647218;-0.03640338
5.000000;0.85775924;0.06010591;6.400000;1.19058970;0.10669185;-0.03705210
5.200000;0.86688304;0.06029855;6.600000;1.19971350;0.10688449;-0.03769473
5.400000;0.87538804;0.06044199;6.800000;1.20821850;0.10702793;-0.03837924
5.600000;0.88302444;0.06061986;7.000000;1.21585490;0.10720580;-0.03881020
5.800000;0.88985324;0.06089384;7.200000;1.22268370;0.10747978;-0.03913275
6.000000;0.89796324;0.06115081;7.400000;1.23079370;0.10773675;-0.03949077
6.200000;0.90652824;0.06141343;7.600000;1.23935870;0.10799937;-0.03981291
6.400000;0.91504614;0.06159707;7.800000;1.24787660;0.10818301;-0.04009013
6.600000;0.92288774;0.10508151;8.000000;1.25571820;0.15166745;-0.04067454
