# inferred_top_mk=1, inferred_bottom_mk=2
# interface_z=0.0, estimated_dx=0.00639980, estimated_dz=0.00639990, particle_area=0.0000409581
step,time_s,top_phase_sunk_volume_per_thickness_m2,bottom_phase_bulged_volume_per_thickness_m2,top_particles_below_interface,bottom_particles_above_interface
0,0.00000000,0.0000000000,0.0000000000,0,0
1,0.20000700,0.0000000000,0.0000000000,0,0
2,0.40000100,0.0000000000,0.0000000000,0,0
3,0.60001400,0.0000000000,0.0000000000,0,0
4,0.80001300,0.0000000000,0.0000000000,0,0
5,1.00000000,0.0000000000,0.0000000000,0,0
6,1.20001000,0.0000000000,0.0000000000,0,0
7,1.40001000,0.0004505389,0.0000000000,11,0
8,1.60001000,0.0009829939,0.0009010778,24,22
9,1.80001000,0.0015564070,0.0018021555,38,44
10,2.00001000,0.0018021555,0.0025394010,44,62
11,2.20001000,0.0020888621,0.0031947302,51,78
12,2.40001000,0.0024574848,0.0034814368,60,85
13,2.60001000,0.0028261075,0.0037271853,69,91
14,2.80001000,0.0032356883,0.0037271853,79,91
15,3.00000000,0.0036862272,0.0038910176,90,95
16,3.20001000,0.0040138918,0.0040958080,98,100
17,3.40000000,0.0045873050,0.0042186822,112,103
18,3.60000000,0.0049968858,0.0044234726,122,108
19,3.80001000,0.0056112570,0.0046692211,137,114
20,4.00002000,0.0061437120,0.0047511373,150,116
21,4.20000000,0.0068809574,0.0050378438,168,123
22,4.40000000,0.0073314963,0.0052835923,179,129
23,4.60001000,0.0077410771,0.0056931731,189,139
24,4.80001000,0.0083144902,0.0061027539,203,149
25,5.00001000,0.0091336518,0.0062256282,223,152
26,5.20000000,0.0097480230,0.0064713766,238,158
27,5.40001000,0.0103623942,0.0071267059,253,174
28,5.60001000,0.0108538912,0.0073314963,265,179
29,5.80001000,0.0113044301,0.0075772448,276,185
30,6.00001000,0.0120826336,0.0078229933,295,191
31,6.20001000,0.0124102982,0.0080277837,303,196
32,6.40001000,0.0130656275,0.0082735322,319,202
33,6.60000000,0.0135980826,0.0083554483,332,204
34,6.80000000,0.0141714957,0.0086421549,346,211
35,7.00002000,0.0143762861,0.0088879034,351,217
36,7.20001000,0.0149087411,0.0091336518,364,223
37,7.40002000,0.0156050285,0.0090926938,381,222
38,7.60001000,0.0160965254,0.0092155680,393,225
39,7.80001000,0.0167518547,0.0095841907,409,234
40,8.00002000,0.0174071840,0.0096661069,425,236
