# method=IsoSurface connected-component profile closure with interface z=0
step,time_s,top_phase_sunk_volume_per_thickness_m2,bottom_phase_bulged_volume_per_thickness_m2,top_n_components,bottom_n_components,top_segment_points,bottom_segment_points
0,0.00000000,0.0000000000,0.0000000000,1350,1992,-1,-1
1,0.20000700,0.0000000000,0.0000000000,1510,1991,-1,-1
2,0.40000100,0.0000000000,0.0000000000,1624,1992,-1,-1
3,0.60001400,0.0000000000,0.0000000000,1839,1991,-1,-1
4,0.80001300,0.0000000000,0.0000000000,2119,1993,-1,-1
5,1.00000000,0.0000000000,0.0000000000,2249,2100,-1,-1
6,1.20001000,0.0000000000,0.0000000000,2497,1995,-1,-1
7,1.40001000,0.0000000000,0.0000000000,2643,2312,-1,-1
8,1.60001000,0.0000000000,0.0000000000,2725,2305,-1,-1
9,1.80001000,0.0000000000,0.0000000000,2831,2091,-1,-1
10,2.00001000,0.0000000000,0.0000000000,2937,2131,-1,-1
11,2.20001000,0.0000000000,0.0000000000,3066,2121,-1,-1
12,2.40001000,0.0000000000,0.0000000000,2971,2133,-1,-1
13,2.60001000,0.0000000000,0.0000000000,3009,2118,-1,-1
14,2.80001000,0.0000000000,0.0000000000,3041,2131,-1,-1
15,3.00000000,0.0000000000,0.0000000000,3126,2181,-1,-1
16,3.20001000,0.0000000000,0.0000000000,3099,2212,-1,-1
17,3.40000000,0.0000000000,0.0000000000,3137,2353,-1,-1
18,3.60000000,0.0000000000,0.0000000000,3119,2307,-1,-1
19,3.80001000,0.0000000000,0.0000000000,3149,2220,-1,-1
20,4.00002000,0.0000000000,0.0000000000,3238,2191,-1,-1
21,4.20000000,0.0000000000,0.0000000000,3229,2186,-1,-1
22,4.40000000,0.0000000000,0.0000000000,3204,2216,-1,-1
23,4.60001000,0.0000000000,0.0000000000,3240,2200,-1,-1
24,4.80001000,0.0000000000,0.0000000000,3241,2195,-1,-1
25,5.00001000,0.0000000000,0.0000000000,3326,2226,-1,-1
26,5.20000000,0.0000000000,0.0000000000,3277,2225,-1,-1
27,5.40001000,0.0000000000,0.0000000000,3275,2196,-1,-1
28,5.60001000,0.0000000000,0.0000000000,3278,2208,-1,-1
29,5.80001000,0.0000000000,0.0000000000,3293,2171,-1,-1
30,6.00001000,0.0000000000,0.0000000000,3283,2191,-1,-1
31,6.20001000,0.0000000000,0.0000000000,3337,2241,-1,-1
32,6.40001000,0.0000000000,0.0000000000,3347,2282,-1,-1
33,6.60000000,0.0000000000,0.0000000000,3363,2226,-1,-1
34,6.80000000,0.0000000000,0.0000000000,3324,2222,-1,-1
35,7.00002000,0.0000000000,0.0000000000,3337,2227,-1,-1
36,7.20001000,0.0000000000,0.0000000000,3343,2247,-1,-1
37,7.40002000,0.0000000000,0.0000000000,3351,2274,-1,-1
38,7.60001000,0.0000000000,0.0000000000,3341,2251,-1,-1
39,7.80001000,0.0000000000,0.0000000000,3352,2245,-1,-1
40,8.00002000,0.0000000000,0.0000000000,3365,2307,-1,-1
