# method=IsoSurface selected-branch closure with z=0
step,time_s,top_phase_sunk_volume_per_thickness_m2,bottom_phase_bulged_volume_per_thickness_m2,top_component,top_xa,top_xb,bottom_component,bottom_xa,bottom_xb
0,0.0,0.0,0.0,-1,nan,nan,-1,nan,nan
1,0.200007,0.0,0.0,-1,nan,nan,-1,nan,nan
2,0.400001,0.0,0.0,-1,nan,nan,-1,nan,nan
3,0.600014,0.0,0.0,-1,nan,nan,-1,nan,nan
4,0.800013,0.0,0.0,-1,nan,nan,-1,nan,nan
5,1.0,0.0,0.0,-1,nan,nan,-1,nan,nan
6,1.20001,0.0,0.0,-1,nan,nan,-1,nan,nan
7,1.40001,0.0,0.0,-1,nan,nan,-1,nan,nan
8,1.60001,0.0,0.0,-1,nan,nan,-1,nan,nan
9,1.80001,0.0,0.0,-1,nan,nan,-1,nan,nan
10,2.00001,0.0,0.0,-1,nan,nan,-1,nan,nan
11,2.20001,0.0,0.0,-1,nan,nan,-1,nan,nan
12,2.40001,0.0,0.0,-1,nan,nan,-1,nan,nan
13,2.60001,0.0,0.0,-1,nan,nan,-1,nan,nan
14,2.80001,0.0,0.0,-1,nan,nan,-1,nan,nan
15,3.0,0.0,0.0,-1,nan,nan,-1,nan,nan
16,3.20001,0.0,0.0,-1,nan,nan,-1,nan,nan
17,3.4,0.0,0.0,-1,nan,nan,-1,nan,nan
18,3.6,0.0,0.0,-1,nan,nan,-1,nan,nan
19,3.80001,0.0,0.0,-1,nan,nan,-1,nan,nan
20,4.00002,0.0,0.0,-1,nan,nan,-1,nan,nan
21,4.2,0.0,0.0,-1,nan,nan,-1,nan,nan
22,4.4,0.0,0.0,-1,nan,nan,-1,nan,nan
23,4.60001,0.0,0.0,-1,nan,nan,-1,nan,nan
24,4.80001,0.0,0.0,-1,nan,nan,-1,nan,nan
25,5.00001,0.0,0.0,-1,nan,nan,-1,nan,nan
26,5.2,0.0,0.0,-1,nan,nan,-1,nan,nan
27,5.40001,0.0,0.0,-1,nan,nan,-1,nan,nan
28,5.60001,0.0,0.0,-1,nan,nan,-1,nan,nan
29,5.80001,0.0,0.0,-1,nan,nan,-1,nan,nan
30,6.00001,0.0,0.0,-1,nan,nan,-1,nan,nan
31,6.20001,0.0,0.0,-1,nan,nan,-1,nan,nan
32,6.40001,0.0,0.0,-1,nan,nan,-1,nan,nan
33,6.6,0.0,0.0,-1,nan,nan,-1,nan,nan
34,6.8,0.0,0.0,-1,nan,nan,-1,nan,nan
35,7.00002,0.0,0.0,-1,nan,nan,-1,nan,nan
36,7.20001,0.0,0.0,-1,nan,nan,-1,nan,nan
37,7.40002,0.0,0.0,-1,nan,nan,-1,nan,nan
38,7.60001,0.0,0.0,-1,nan,nan,-1,nan,nan
39,7.80001,0.0,0.0,-1,nan,nan,-1,nan,nan
40,8.00002,0.0,0.0,-1,nan,nan,-1,nan,nan
