# inferred_top_mk=1, inferred_bottom_mk=2
# interface_z=0.0, particle_dx=0.00639980, particle_dz=0.00639990
# reconstruction_grid_dx=0.00319990, reconstruction_grid_dz=0.00319995, cell_area=0.0000102395
step,time_s,top_phase_sunk_volume_per_thickness_m2,bottom_phase_bulged_volume_per_thickness_m2
0,0.00000000,0.0000000000,0.0047920954
1,0.20000700,0.0000000000,0.0000204790
2,0.40000100,0.0000000000,0.0000204790
3,0.60001400,0.0000000000,0.0000204790
4,0.80001300,0.0000000000,0.0000204790
5,1.00000000,0.0000000000,0.0000204790
6,1.20001000,0.0000307186,0.0000409581
7,1.40001000,0.0006758083,0.0004402994
8,1.60001000,0.0013413771,0.0007167664
9,1.80001000,0.0018943112,0.0010649101
10,2.00001000,0.0023243710,0.0013925747
11,2.20001000,0.0028465866,0.0014744909
12,2.40001000,0.0032049698,0.0016997603
13,2.60001000,0.0036145506,0.0017816765
14,2.80001000,0.0041265266,0.0017509579
15,3.00000000,0.0046692211,0.0020069459
16,3.20001000,0.0051504786,0.0020888621
17,3.40000000,0.0055702989,0.0023346106
18,3.60000000,0.0063280234,0.0024165267
19,3.80001000,0.0068297598,0.0025598800
20,4.00002000,0.0075465262,0.0025701195
21,4.20000000,0.0078434723,0.0028773051
22,4.40000000,0.0084168854,0.0030923350
23,4.60001000,0.0092053285,0.0031742512
24,4.80001000,0.0098196997,0.0035121554
25,5.00001000,0.0103521547,0.0036964667
26,5.20000000,0.0110894002,0.0037886224
27,5.40001000,0.0114068253,0.0040958080
28,5.60001000,0.0121338312,0.0040446104
29,5.80001000,0.0127277234,0.0042903589
30,6.00001000,0.0133728131,0.0045361074
31,6.20001000,0.0139667053,0.0046589816
32,6.40001000,0.0142431723,0.0048125744
33,6.60000000,0.0147961064,0.0050480834
34,6.80000000,0.0152568848,0.0052119157
35,7.00002000,0.0158405374,0.0052835923
36,7.20001000,0.0166085014,0.0054576642
37,7.40002000,0.0170692798,0.0058877240
38,7.60001000,0.0176631720,0.0059389216
39,7.80001000,0.0180932318,0.0060515563
40,8.00002000,0.0185744893,0.0063689814
