# inferred_top_mk=1, inferred_bottom_mk=2
# meeting_step=0, meeting_time_s=0.00000000, meeting_x_m=-1.30560000
step,time_since_meeting_s,runoff_distance_m,deepest_point_x_relative_m,top_front_x_m,deepest_point_x_m,top_min_z_m,bottom_front_x_m
0,0.00000000,0.00000000,-0.07040000,-1.30560000,-1.37600000,0.59359998,2.99519990
1,0.20000700,0.10291140,0.09102220,-1.20268860,-1.21457780,0.53343540,2.99538230
2,0.40000100,0.33184190,0.30457190,-0.97375810,-1.00102810,0.43762693,2.99536110
3,0.60001400,0.56139637,0.55569853,-0.74420363,-0.74990147,0.34001356,2.99544140
4,0.80001300,0.82404093,0.81081821,-0.48155907,-0.49478179,0.22677021,2.99545880
5,1.00000000,1.10392356,1.05935792,-0.20167644,-0.24624208,0.11854531,2.99541090
6,1.20001000,1.38790192,1.33864538,0.08230192,0.03304538,0.00297209,2.99533820
7,1.40001000,1.63843046,1.35218594,0.33283046,0.04658594,-0.00414577,2.99546100
8,1.60001000,1.80200948,1.35398253,0.49640948,0.04838253,-0.00766404,2.99551220
9,1.80001000,1.92738570,1.38755977,0.62178570,0.08195977,-0.00962899,2.99549060
10,2.00001000,2.02366675,1.38879827,0.71806675,0.08319827,-0.01089640,2.99549560
11,2.20001000,2.08938576,1.35586628,0.78378576,0.05026628,-0.01215527,2.99543980
12,2.40001000,2.13692255,1.35605973,0.83132255,0.05045973,-0.01354254,2.99544170
13,2.60001000,2.17683126,1.35641519,0.87123126,0.05081519,-0.01502642,2.99541350
14,2.80001000,2.20917703,1.35687462,0.90357703,0.05127462,-0.01643224,2.99545500
15,3.00000000,2.23920114,1.35708472,0.93360114,0.05148472,-0.01758875,2.99548860
16,3.20001000,2.26281710,1.35714762,0.95721710,0.05154762,-0.01844234,2.99608040
17,3.40000000,2.28490443,1.35720319,0.97930443,0.05160319,-0.01930122,2.99676490
18,3.60000000,2.30838660,1.42438086,1.00278660,0.11878086,-0.02008234,2.99673080
19,3.80001000,2.32611040,1.42501020,1.02051040,0.11941020,-0.02149938,2.99630570
20,4.00002000,2.34458320,1.42547621,1.03898320,0.11987621,-0.02276401,2.99616620
21,4.20000000,2.36371050,1.40747466,1.05811050,0.10187466,-0.02414410,2.99631910
22,4.40000000,2.38108790,1.40759945,1.07548790,0.10199945,-0.02590787,2.99663070
23,4.60001000,2.39579060,1.40786782,1.09019060,0.10226782,-0.02746855,2.99662450
24,4.80001000,2.41114090,1.40842615,1.10554090,0.10282615,-0.02887104,2.99641850
25,5.00001000,2.42622120,1.40904582,1.12062120,0.10344582,-0.03012647,2.99641230
26,5.20000000,2.43865380,1.40969117,1.13305380,0.10409117,-0.03120520,2.99623580
27,5.40001000,2.44763910,1.41034753,1.14203910,0.10474753,-0.03229240,2.99628020
28,5.60001000,2.45821400,1.41080978,1.15261400,0.10520978,-0.03318393,2.99698450
29,5.80001000,2.46796730,1.41120477,1.16236730,0.10560477,-0.03422462,2.99736790
30,6.00001000,2.47753420,1.41161310,1.17193420,0.10601310,-0.03538606,2.99742700
31,6.20001000,2.48707270,1.41207218,1.18147270,0.10647218,-0.03640338,2.99748520
32,6.40001000,2.49618970,1.41229185,1.19058970,0.10669185,-0.03705210,2.99783350
33,6.60000000,2.50531350,1.41248449,1.19971350,0.10688449,-0.03769473,2.99806810
34,6.80000000,2.51381850,1.41262793,1.20821850,0.10702793,-0.03837924,2.99822400
35,7.00002000,2.52145490,1.41280580,1.21585490,0.10720580,-0.03881020,2.99833560
36,7.20001000,2.52828370,1.41307978,1.22268370,0.10747978,-0.03913275,2.99839740
37,7.40002000,2.53639370,1.41333675,1.23079370,0.10773675,-0.03949077,2.99840260
38,7.60001000,2.54495870,1.41359937,1.23935870,0.10799937,-0.03981291,2.99844720
39,7.80001000,2.55347660,1.41378301,1.24787660,0.10818301,-0.04009013,2.99850680
40,8.00002000,2.56131820,1.45726745,1.25571820,0.15166745,-0.04067454,2.99853800
