# inferred_top_mk=1, inferred_bottom_mk=2
# meeting_criterion=first time min(z_top)<=0
# meeting_step=7, meeting_time_s=1.40001000, meeting_front_x_m=0.33283046, meeting_top_min_z_m=-0.00414577
step,time_since_meeting_s,runoff_distance_m,deepest_point_x_relative_m,top_front_x_m,deepest_point_x_m,top_min_z_m
7,0.00000000,0.00000000,-0.28624452,0.33283046,0.04658594,-0.00414577
8,0.20000000,0.16357902,-0.28444793,0.49640948,0.04838253,-0.00766404
9,0.40000000,0.28895524,-0.25087069,0.62178570,0.08195977,-0.00962899
10,0.60000000,0.38523629,-0.24963219,0.71806675,0.08319827,-0.01089640
11,0.80000000,0.45095530,-0.28256418,0.78378576,0.05026628,-0.01215527
12,1.00000000,0.49849209,-0.28237073,0.83132255,0.05045973,-0.01354254
13,1.20000000,0.53840080,-0.28201527,0.87123126,0.05081519,-0.01502642
14,1.40000000,0.57074657,-0.28155584,0.90357703,0.05127462,-0.01643224
15,1.59999000,0.60077068,-0.28134574,0.93360114,0.05148472,-0.01758875
16,1.80000000,0.62438664,-0.28128284,0.95721710,0.05154762,-0.01844234
17,1.99999000,0.64647397,-0.28122727,0.97930443,0.05160319,-0.01930122
18,2.19999000,0.66995614,-0.21404960,1.00278660,0.11878086,-0.02008234
19,2.40000000,0.68767994,-0.21342026,1.02051040,0.11941020,-0.02149938
20,2.60001000,0.70615274,-0.21295425,1.03898320,0.11987621,-0.02276401
21,2.79999000,0.72528004,-0.23095580,1.05811050,0.10187466,-0.02414410
22,2.99999000,0.74265744,-0.23083101,1.07548790,0.10199945,-0.02590787
23,3.20000000,0.75736014,-0.23056264,1.09019060,0.10226782,-0.02746855
24,3.40000000,0.77271044,-0.23000431,1.10554090,0.10282615,-0.02887104
25,3.60000000,0.78779074,-0.22938464,1.12062120,0.10344582,-0.03012647
26,3.79999000,0.80022334,-0.22873929,1.13305380,0.10409117,-0.03120520
27,4.00000000,0.80920864,-0.22808293,1.14203910,0.10474753,-0.03229240
28,4.20000000,0.81978354,-0.22762068,1.15261400,0.10520978,-0.03318393
29,4.40000000,0.82953684,-0.22722569,1.16236730,0.10560477,-0.03422462
30,4.60000000,0.83910374,-0.22681736,1.17193420,0.10601310,-0.03538606
31,4.80000000,0.84864224,-0.22635828,1.18147270,0.10647218,-0.03640338
32,5.00000000,0.85775924,-0.22613861,1.19058970,0.10669185,-0.03705210
33,5.19999000,0.86688304,-0.22594597,1.19971350,0.10688449,-0.03769473
34,5.39999000,0.87538804,-0.22580253,1.20821850,0.10702793,-0.03837924
35,5.60001000,0.88302444,-0.22562466,1.21585490,0.10720580,-0.03881020
36,5.80000000,0.88985324,-0.22535068,1.22268370,0.10747978,-0.03913275
37,6.00001000,0.89796324,-0.22509371,1.23079370,0.10773675,-0.03949077
38,6.20000000,0.90652824,-0.22483109,1.23935870,0.10799937,-0.03981291
39,6.40000000,0.91504614,-0.22464745,1.24787660,0.10818301,-0.04009013
40,6.60001000,0.92288774,-0.18116301,1.25571820,0.15166745,-0.04067454
