# inferred_top_mk=1, inferred_bottom_mk=2, z_ref=0.0
step,time_s,top_phase_min_z_m,sinking_depth_m,top_phase_particle_count
0,0.000000,0.59359998,-0.59359998,7316
1,0.200007,0.53343540,-0.53343540,7316
2,0.400001,0.43762693,-0.43762693,7316
3,0.600014,0.34001356,-0.34001356,7316
4,0.800013,0.22677021,-0.22677021,7316
5,1.000000,0.11854531,-0.11854531,7316
6,1.200010,0.00297209,-0.00297209,7316
7,1.400010,-0.00414577,0.00414577,7316
8,1.600010,-0.00766404,0.00766404,7316
9,1.800010,-0.00962899,0.00962899,7316
10,2.000010,-0.01089640,0.01089640,7316
11,2.200010,-0.01215527,0.01215527,7316
12,2.400010,-0.01354254,0.01354254,7316
13,2.600010,-0.01502642,0.01502642,7316
14,2.800010,-0.01643224,0.01643224,7316
15,3.000000,-0.01758875,0.01758875,7316
16,3.200010,-0.01844234,0.01844234,7316
17,3.400000,-0.01930122,0.01930122,7316
18,3.600000,-0.02008234,0.02008234,7316
19,3.800010,-0.02149938,0.02149938,7316
20,4.000020,-0.02276401,0.02276401,7316
21,4.200000,-0.02414410,0.02414410,7316
22,4.400000,-0.02590787,0.02590787,7316
23,4.600010,-0.02746855,0.02746855,7316
24,4.800010,-0.02887104,0.02887104,7316
25,5.000010,-0.03012647,0.03012647,7316
26,5.200000,-0.03120520,0.03120520,7316
27,5.400010,-0.03229240,0.03229240,7316
28,5.600010,-0.03318393,0.03318393,7316
29,5.800010,-0.03422462,0.03422462,7316
30,6.000010,-0.03538606,0.03538606,7316
31,6.200010,-0.03640338,0.03640338,7316
32,6.400010,-0.03705210,0.03705210,7316
33,6.600000,-0.03769473,0.03769473,7316
34,6.800000,-0.03837924,0.03837924,7316
35,7.000020,-0.03881020,0.03881020,7316
36,7.200010,-0.03913275,0.03913275,7316
37,7.400020,-0.03949077,0.03949077,7316
38,7.600010,-0.03981291,0.03981291,7316
39,7.800010,-0.04009013,0.04009013,7316
40,8.000020,-0.04067454,0.04067454,7316
