time_since_meeting_s,runoff_distance_x_from_meeting_m,deepest_point_x_m
0.0,0.0,0.046585944
0.19999999999999996,0.16357902000000002,0.048382532
0.3999999999999999,0.28895524,0.081959769
0.5999999999999999,0.38523629,0.083198272
0.8,0.4509553,0.050266281
1.0000000000000002,0.49849209,0.050459728
1.2,0.5384008,0.050815191
1.4000000000000001,0.5707465700000001,0.051274616
1.5999999999999999,0.6007706800000001,0.051484715
1.8,0.62438664,0.051547617
2.0,0.64647397,0.051603187
2.2,0.66995614,0.11878086
2.4000000000000004,0.68767994,0.1194102
2.5999999999999996,0.7061527400000001,0.11987621
2.8,0.7252800399999999,0.10187466
3.0,0.7426574399999999,0.10199945
3.2,0.7573601399999998,0.10226782
3.4000000000000004,0.77271044,0.10282615
3.5999999999999996,0.7877907399999999,0.10344582
3.8,0.8002233400000001,0.10409117
4.0,0.80920864,0.10474753
4.2,0.81978354,0.10520978
4.4,0.82953684,0.10560477
4.6,0.8391037399999999,0.1060131
4.8,0.84864224,0.10647218
5.0,0.85775924,0.10669185
5.2,0.86688304,0.10688449
5.4,0.87538804,0.10702793
5.6,0.88302444,0.1072058
5.8,0.8898532399999999,0.10747978
6.0,0.8979632399999999,0.10773675
6.2,0.9065282399999999,0.10799937
6.4,0.9150461399999998,0.10818301
6.6,0.92288774,0.15166745
