time_s,moment_base_axis_Nm
0.000000,0.000000
0.200211,0.000000
0.400601,0.000000
0.600925,0.000000
0.800659,0.000000
1.000062,0.000000
1.200863,0.000000
1.400103,0.000000
1.600698,0.000000
1.800668,0.000000
2.000421,0.000000
2.200435,0.000000
2.400121,0.000000
2.600592,0.000000
2.800167,0.000000
3.000326,0.000000
3.200126,0.000000
3.400530,0.000000
3.600460,0.000000
3.800255,-61405055.424590
4.000003,-96300312.605920
4.200237,-120024644.782600
4.400441,-107786689.163100
4.600389,-105747331.886800
4.800753,-96210381.049860
5.000608,-86848437.700110
5.200093,-80751777.162630
5.400851,-74766480.802810
5.600018,-70797481.567600
5.800723,-67239008.180900
6.000529,-66289958.482430
6.200728,-65119677.887280
6.400062,-63485754.962660
6.600421,-62103864.491850
6.800629,-63732244.875290
7.000756,-67181677.925040
7.200570,-73803635.674710
7.400714,-84162038.821050
7.600589,-93007857.617850
7.800164,-103100427.873300
8.000595,-104888467.652600
8.200023,-99613875.084470
8.400218,-87727805.639460
8.600465,-81389975.741580
8.800017,-61693428.468060
9.000371,-38404780.017000
9.200003,-46328951.309660
9.400031,-49894689.058260
9.600070,-46228599.567350
9.800228,-41907811.802410
10.000795,-39810245.992200
