time_s,force_x_N
0.000000,0.000000
0.200211,0.000000
0.400601,0.000000
0.600925,0.000000
0.800659,0.000000
1.000062,0.000000
1.200863,0.000000
1.400103,0.000000
1.600698,0.000000
1.800668,0.000000
2.000421,0.000000
2.200435,0.000000
2.400121,0.000000
2.600592,0.000000
2.800167,0.000000
3.000326,0.000000
3.200126,0.000000
3.400530,0.000000
3.600460,0.000000
3.800255,21121225.248520
4.000003,25540606.317700
4.200237,26224893.355470
4.400441,22625653.425870
4.600389,20844664.118400
4.800753,18806213.208070
5.000608,17031310.402970
5.200093,15856026.582000
5.400851,14765213.765870
5.600018,14001219.582020
5.800723,13335939.481200
6.000529,13044704.099900
6.200728,12830893.836440
6.400062,12537343.875840
6.600421,12252295.376130
6.800629,12505209.314500
7.000756,13125559.035170
7.200570,14144561.742890
7.400714,15760160.231370
7.600589,17214943.075600
7.800164,19026751.389150
8.000595,19890869.903360
8.200023,19088618.613880
8.400218,17203007.403080
8.600465,16790123.253090
8.800017,12699615.929260
9.000371,8366778.140971
9.200003,10577060.476150
9.400031,11273338.076370
9.600070,10573419.431950
9.800228,9850237.636486
10.000795,9564922.859316
