Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N];Moment [Nm]
0;0.000000;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
1;0.200211;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
2;0.400601;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
3;0.600925;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
4;0.800659;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
5;1.000062;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
6;1.200863;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
7;1.400103;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
8;1.600698;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
9;1.800668;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
10;2.000421;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
11;2.200435;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
12;2.400121;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
13;2.600592;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
14;2.800167;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
15;3.000326;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
16;3.200126;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
17;3.400530;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
18;3.600460;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
19;3.800255;5886;  2.112122524852E+07; -6.579873193910E+04; -9.225017133869E+04;  2.112152919573E+07; -6.140505542459E+07
20;4.000003;5886;  2.554060631770E+07;  2.720116378157E+05; -1.081633599971E+05;  2.554228378042E+07; -9.630031260592E+07
21;4.200237;5886;  2.622489335547E+07;  8.057642825739E+05;  1.728275758933E+05;  2.623783826759E+07; -1.200246447826E+08
22;4.400441;5886;  2.262565342587E+07;  4.108005520108E+05; -2.525019698711E+05;  2.263079113257E+07; -1.077866891631E+08
23;4.600389;5886;  2.084466411840E+07; -7.927597756452E+04; -1.490159009375E+05;  2.084534750558E+07; -1.057473318868E+08
24;4.800753;5886;  1.880621320807E+07;  1.910183856091E+03; -7.757306889483E+04;  1.880637329357E+07; -9.621038104986E+07
25;5.000608;5886;  1.703131040297E+07;  3.510385213911E+05; -1.092631720483E+05;  1.703527811709E+07; -8.684843770011E+07
26;5.200093;5886;  1.585602658200E+07;  2.979224413334E+05; -1.080675229748E+05;  1.585919340130E+07; -8.075177716263E+07
27;5.400851;5886;  1.476521376587E+07; -7.440713040303E+04; -1.355932088988E+05;  1.476602382130E+07; -7.476648080281E+07
28;5.600018;5886;  1.400121958202E+07;  2.577198636069E+05; -1.393264600038E+05;  1.400428438637E+07; -7.079748156760E+07
29;5.800723;5886;  1.333593948120E+07; -7.050270489602E+04; -1.389752987616E+05;  1.333684995084E+07; -6.723900818090E+07
30;6.000529;5886;  1.304470409990E+07; -1.457271806978E+04; -1.664333587204E+05;  1.304577393185E+07; -6.628995848243E+07
31;6.200728;5886;  1.283089383644E+07;  1.136239815042E+05; -1.886200963238E+05;  1.283278319741E+07; -6.511967788728E+07
32;6.400062;5886;  1.253734387584E+07;  1.915870678900E+05; -2.220799026451E+05;  1.254077416066E+07; -6.348575496266E+07
33;6.600421;5886;  1.225229537613E+07;  1.361254890294E+05; -3.042925998714E+05;  1.225682936648E+07; -6.210386449185E+07
34;6.800629;5886;  1.250520931450E+07;  1.156194025839E+05; -5.618813464661E+05;  1.251836005606E+07; -6.373224487529E+07
35;7.000756;5886;  1.312555903517E+07;  2.305421914144E+05; -1.224793778626E+06;  1.318459591675E+07; -6.718167792504E+07
36;7.200570;5886;  1.414456174289E+07;  1.571321603370E+05; -2.552907090298E+06;  1.437395742396E+07; -7.380363567471E+07
37;7.400714;5886;  1.576016023137E+07;  5.677147317295E+04; -5.566747604064E+06;  1.671450126106E+07; -8.416203882105E+07
38;7.600589;5886;  1.721494307560E+07;  3.490238325831E+05; -5.652059345057E+06;  1.812241312773E+07; -9.300785761785E+07
39;7.800164;5886;  1.902675138915E+07;  4.687334710589E+05; -5.537114040138E+06;  1.982161979720E+07; -1.031004278733E+08
40;8.000595;5886;  1.989086990336E+07;  3.611701308539E+05; -4.846447718011E+06;  2.047596651832E+07; -1.048884676526E+08
41;8.200023;5886;  1.908861861388E+07;  2.828612186719E+05; -3.904364349595E+06;  1.948587775877E+07; -9.961387508447E+07
42;8.400218;5886;  1.720300740308E+07;  4.546910917556E+05; -2.948007346583E+06;  1.745969515813E+07; -8.772780563946E+07
43;8.600465;5886;  1.679012325309E+07;  5.745302598780E+05; -3.062692848546E+06;  1.707683844739E+07; -8.138997574158E+07
44;8.800017;5886;  1.269961592926E+07;  4.302474797180E+05; -2.198085239347E+06;  1.289561694390E+07; -6.169342846806E+07
45;9.000371;5886;  8.366778140971E+06;  2.648033471686E+04; -1.909679645083E+06;  8.581990096429E+06; -3.840478001700E+07
46;9.200003;5886;  1.057706047615E+07;  2.417361331341E+05; -2.119560438849E+06;  1.079005009850E+07; -4.632895130966E+07
47;9.400031;5886;  1.127333807637E+07;  4.097947523246E+05; -1.769947063913E+06;  1.141879134288E+07; -4.989468905826E+07
48;9.600070;5886;  1.057341943195E+07;  3.256578470023E+05; -1.956422892931E+06;  1.075782701354E+07; -4.622859956735E+07
49;9.800228;5886;  9.850237636486E+06;  1.363458668864E+05; -1.634186122139E+06;  9.985806726172E+06; -4.190781180241E+07
50;10.000795;5886;  9.564922859316E+06; -9.088155582955E+04; -1.535670365087E+06;  9.687842496245E+06; -3.981024599220E+07
