frame,time_s,max_fluid_x_m,gap_to_barrier_m
0,0.000000,15.000000,-16.000000
1,0.200000,15.672779,-16.672779
2,0.400000,17.092857,-18.092857
3,0.600000,18.923512,-19.923512
4,0.800000,21.505196,-22.505196
5,1.000000,24.309401,-25.309401
6,1.200000,27.570141,-28.570141
7,1.400000,30.860023,-31.860023
8,1.600000,34.391876,-35.391876
9,1.800000,38.091499,-39.091499
10,2.000000,41.809349,-42.809349
11,2.200000,45.846912,-46.846912
12,2.400000,50.230659,-51.230659
13,2.600000,54.551712,-55.551712
14,2.800000,59.025276,-60.025276
15,3.000000,63.602364,-64.602364
16,3.200000,68.042618,-69.042618
17,3.400000,72.593391,-73.593391
18,3.600000,77.196381,-78.196381
19,3.800000,80.870010,-81.870010
20,4.000000,85.053864,-86.053864
21,4.200000,87.324905,-88.324905
22,4.400000,88.417885,-89.417885
23,4.600000,88.768143,-89.768143
24,4.800000,88.819603,-89.819603
25,5.000000,89.399490,-90.399490
26,5.200000,90.585510,-91.585510
27,5.400000,91.779449,-92.779449
28,5.600000,92.873016,-93.873016
29,5.800000,93.758636,-94.758636
30,6.000000,94.642845,-95.642845
31,6.200000,95.531761,-96.531761
32,6.400000,96.232422,-97.232422
33,6.600000,96.865822,-97.865822
34,6.800000,97.493538,-98.493538
35,7.000000,98.001396,-99.001396
36,7.200000,98.434868,-99.434868
37,7.400000,98.877319,-99.877319
38,7.600000,98.907402,-99.907402
39,7.800000,98.774940,-99.774940
40,8.000000,98.931068,-99.931068
41,8.200000,98.584389,-99.584389
42,8.400000,98.281288,-99.281288
43,8.600000,97.986923,-98.986923
44,8.800000,97.830704,-98.830704
45,9.000000,97.739426,-98.739426
46,9.200000,99.327583,-100.327583
47,9.400000,99.192612,-100.192612
48,9.600000,99.093010,-100.093010
49,9.800000,99.036507,-100.036507
50,10.000000,99.041489,-100.041489
