time_s,front_x_m
0.000000,15.000000
0.200000,15.672779
0.400000,17.092857
0.600000,18.923512
0.800000,21.505196
1.000000,24.309401
1.200000,27.570141
1.400000,30.860023
1.600000,34.391876
1.800000,38.091499
2.000000,41.809349
2.200000,45.846912
2.400000,50.230659
2.600000,54.551712
2.800000,59.025276
3.000000,63.602364
3.200000,68.042618
3.400000,72.593391
3.600000,77.196381
3.800000,80.870010
4.000000,85.053864
4.200000,87.324905
4.400000,88.417885
4.600000,88.768143
4.800000,88.819603
5.000000,89.399490
5.200000,90.585510
5.400000,91.779449
5.600000,92.873016
5.800000,93.758636
6.000000,94.642845
6.200000,95.531761
6.400000,96.232422
6.600000,96.865822
6.800000,97.493538
7.000000,98.001396
7.200000,98.434868
7.400000,98.877319
7.600000,98.907402
7.800000,98.774940
8.000000,98.931068
8.200000,98.584389
8.400000,98.281288
8.600000,97.986923
8.800000,97.830704
9.000000,97.739426
9.200000,99.327583
9.400000,99.192612
9.600000,99.093010
9.800000,99.036507
10.000000,99.041489
