frame,time_s,front_x_m,front_height_m
0,0.000000,15.259000,30.258913
1,0.200000,15.845000,30.189550
2,0.400000,17.242001,29.063061
3,0.600000,19.120001,8.587690
4,0.800000,21.615000,5.047687
5,1.000000,24.400999,4.165446
6,1.200000,27.652000,3.531739
7,1.400000,30.797001,3.692039
8,1.600000,34.375999,4.030605
9,1.800000,38.075001,4.095188
10,2.000000,41.665001,4.515277
11,2.200000,45.758999,4.541907
12,2.400000,50.030998,4.519288
13,2.600000,54.179001,4.517662
14,2.800000,58.710999,4.054028
15,3.000000,63.280998,3.612110
16,3.200000,68.031998,3.008412
17,3.400000,72.644997,2.623343
18,3.600000,77.190002,2.667289
19,3.800000,78.101997,4.507917
20,4.000000,78.033997,11.665073
21,4.200000,78.023003,15.504331
22,4.400000,78.032997,16.519094
23,4.600000,78.043999,20.044088
24,4.800000,78.065002,23.005886
25,5.000000,78.059998,25.196655
26,5.200000,78.074997,27.506779
27,5.400000,78.121002,28.530115
28,5.600000,78.246002,29.757038
29,5.800000,78.521004,25.009422
30,6.000000,78.637001,25.030491
31,6.200000,78.816002,25.219730
32,6.400000,79.101997,25.011866
33,6.600000,79.379997,24.536766
34,6.800000,80.035004,23.513281
35,7.000000,80.658997,21.545687
36,7.200000,81.481003,20.058235
37,7.400000,82.473000,16.856096
38,7.600000,84.265999,14.763767
39,7.800000,86.226997,13.711116
40,8.000000,88.032997,12.590055
41,8.200000,89.610001,11.535033
42,8.400000,91.232002,10.017429
43,8.600000,92.762001,8.057284
44,8.800000,94.199997,5.688509
45,9.000000,96.109001,2.691514
46,9.200000,99.106003,1.663655
47,9.400000,98.924004,3.270964
48,9.600000,98.906998,4.810823
49,9.800000,98.848000,5.801543
50,10.000000,98.809998,6.511767
