time_s,force_x_N
0.0,0.0
0.200211,0.0
0.400601,0.0
0.600925,0.0
0.800659,0.0
1.000062,0.0
1.200863,0.0
1.400103,0.0
1.600698,0.0
1.800668,0.0
2.000421,0.0
2.200435,0.0
2.400121,0.0
2.600592,0.0
2.800167,0.0
3.000326,0.0
3.200126,0.0
3.40053,0.0
3.60046,0.0
3.800255,21127683.96848
4.000003,25555369.86656
4.200237,26235303.79744
4.400441,22631727.00361
4.600389,20849572.35942
4.800753,18810175.09752
5.000608,17034611.91822
5.200093,15858835.15887
5.400851,14767705.39457
5.600018,14003398.91629
5.800723,13338000.49085
6.000529,13046801.06272
6.200728,12832912.24376
6.400062,12539266.64767
6.600421,12254260.77761
6.800629,12507193.99389
7.000756,13127986.56886
7.20057,14148712.21384
7.400714,15767943.38532
7.600589,17223809.9761
7.800164,19036320.05976
8.000595,19900347.34816
8.200023,19097597.59033
8.400218,17210692.72138
8.600465,16797021.74814
8.800017,12704413.92382
9.000371,8370132.272796
9.200003,10580466.44835
9.400031,11276940.40925
9.60007,10576647.31744
9.800228,9852798.406952
10.000795,9566900.897334
