frame,time_s,xmax_m,x99_m,n_x_ge_90,n_x_ge_95,n_x_ge_98,zmax_x_ge_95
0,0.0,15.0,15.0,0,0,0,nan
1,0.2,15.672779,15.313491,0,0,0,nan
2,0.4,17.092857,16.149131669999996,0,0,0,nan
3,0.6000000000000001,18.923512,17.49822014,0,0,0,nan
4,0.8,21.505196,19.46755269999999,0,0,0,nan
5,1.0,24.309401,21.9584854,0,0,0,nan
6,1.2000000000000002,27.570141,24.851682699999998,0,0,0,nan
7,1.4000000000000001,30.860023,28.21383915999999,0,0,0,nan
8,1.6,34.391876,31.84622494999997,0,0,0,nan
9,1.8,38.091499,35.695616709999996,0,0,0,nan
10,2.0,41.809349,39.62213718999999,0,0,0,nan
11,2.2,45.846912,43.628109509999994,0,0,0,nan
12,2.4000000000000004,50.230659,47.76068770999998,0,0,0,nan
13,2.6,54.551712,51.92462569,0,0,0,nan
14,2.8000000000000003,59.025276,56.092156319999965,0,0,0,nan
15,3.0,63.602364,60.34194472999996,0,0,0,nan
16,3.2,68.042618,64.64035460999999,0,0,0,nan
17,3.4000000000000004,72.593391,68.91944875999998,0,0,0,nan
18,3.6,77.196381,73.16922262999996,0,0,0,nan
19,3.8000000000000003,80.87001,76.73658835,0,0,0,nan
20,4.0,85.053864,77.7000525,0,0,0,nan
21,4.2,87.324905,77.92900915,0,0,0,nan
22,4.4,88.417885,77.99563945,0,0,0,nan
23,4.6000000000000005,88.768143,78.01502415,0,0,0,nan
24,4.800000000000001,88.819603,78.04286735000001,0,0,0,nan
25,5.0,89.39949,78.04746835,0,0,0,nan
26,5.2,90.58551,78.07014769999999,7,0,0,nan
27,5.4,91.779449,78.09212085,8,0,0,nan
28,5.6000000000000005,92.873016,78.1462009,17,0,0,nan
29,5.800000000000001,93.758636,78.21099975000001,26,0,0,nan
30,6.0,94.642845,78.37526115,34,0,0,nan
31,6.2,95.531761,78.63210040000001,41,7,0,1.2104703
32,6.4,96.232422,78.91757505,50,7,0,1.3564037
33,6.6000000000000005,96.865822,79.2659017,56,7,0,1.4789889
34,6.800000000000001,97.493538,79.64892145,63,10,0,1.9266706
35,7.0,98.001396,80.10096635,76,15,1,2.5167902
36,7.2,98.434868,80.71106390000001,81,15,7,2.7053759
37,7.4,98.877319,81.54874690000001,85,17,7,2.5016234
38,7.6000000000000005,98.907402,82.7077141,92,19,10,1.9059757
39,7.800000000000001,98.77494,84.22582315000001,100,22,15,1.3205171
40,8.0,98.931068,85.77165875000001,119,24,15,1.765231
41,8.200000000000001,98.584389,87.27199805000001,127,25,12,2.079284
42,8.4,98.281288,88.73133425,380,26,5,1.9675136
43,8.6,97.986923,90.0873682,726,30,0,1.4613848
44,8.8,97.830704,91.41291825000003,1045,33,0,1.298414
45,9.0,97.739426,92.71666245000003,1309,181,0,2.2029521
46,9.200000000000001,99.327583,93.47896925,1516,438,109,2.5292826
47,9.4,99.192612,94.74464240000002,1636,671,267,3.5982523
48,9.600000000000001,99.09301,96.19030345000003,1714,866,376,4.8189363
49,9.8,99.036507,97.08956310000002,1719,1032,462,5.8163333
50,10.0,99.041489,97.45568255,1726,1136,511,6.4598174
first_x_ge_90=5.2
first_x_ge_95=6.2
first_x_ge_98=7.0
estimated_barrier_hit_time=7.800000000000001
