Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N];Moment [Nm]
0;0.000000;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
1;0.200211;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
2;0.400601;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
3;0.600925;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
4;0.800659;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
5;1.000062;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
6;1.200863;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
7;1.400103;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
8;1.600698;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
9;1.800668;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
10;2.000421;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
11;2.200435;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
12;2.400121;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
13;2.600592;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
14;2.800167;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
15;3.000326;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
16;3.200126;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
17;3.400530;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
18;3.600460;5886;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
19;3.800255;5886;  2.112768396848E+07; -6.472070204943E+04; -3.008907892079E+04;  2.112780452376E+07; -8.265828341077E+07
20;4.000003;5886;  2.555536986656E+07;  2.716477205092E+05; -4.306800622878E+04;  2.555684989105E+07; -1.220427875365E+08
21;4.200237;5886;  2.623530379744E+07;  8.063560931412E+05;  2.289830861041E+05;  2.624869156256E+07; -1.464087157795E+08
22;4.400441;5886;  2.263172700361E+07;  4.109528528227E+05; -2.080589137004E+05;  2.263641398112E+07; -1.305166504391E+08
23;4.600389;5886;  2.084957235942E+07; -7.925512100571E+04; -1.136132446796E+05;  2.085003253989E+07; -1.266820143264E+08
24;4.800753;5886;  1.881017509752E+07;  1.989652322163E+03; -5.038596413653E+04;  1.881024268593E+07; -1.150880963782E+08
25;5.000608;5886;  1.703461191822E+07;  3.510278884648E+05; -8.861862246920E+04;  1.703845876373E+07; -1.039359838003E+08
26;5.200093;5886;  1.585883515887E+07;  2.981408592436E+05; -9.072375199062E+04;  1.586189684014E+07; -9.665479627054E+07
27;5.400851;5886;  1.476770539457E+07; -7.404930956847E+04; -1.213015528852E+05;  1.476838921439E+07; -8.957155807580E+07
28;5.600018;5886;  1.400339891629E+07;  2.579315092234E+05; -1.275663803078E+05;  1.400635509522E+07; -8.483302202999E+07
29;5.800723;5886;  1.333800049085E+07; -7.042352423381E+04; -1.292627528667E+05;  1.333881274424E+07; -8.060488390040E+07
30;6.000529;5886;  1.304680106272E+07; -1.461233563310E+04; -1.587398007856E+05;  1.304777489900E+07; -7.936130231285E+07
31;6.200728;5886;  1.283291224376E+07;  1.134904294968E+05; -1.827840892869E+05;  1.283471568664E+07; -7.797342806421E+07
32;6.400062;5886;  1.253926664767E+07;  1.914541622791E+05; -2.176364788005E+05;  1.254261648918E+07; -7.604250572779E+07
33;6.600421;5886;  1.225426077761E+07;  1.360302609639E+05; -3.014497472035E+05;  1.225872274700E+07; -7.437299372131E+07
34;6.800629;5886;  1.250719399389E+07;  1.155412959751E+05; -5.605374588155E+05;  1.252028169151E+07; -7.625207567474E+07
35;7.000756;5886;  1.312798656886E+07;  2.305952240491E+05; -1.224814824743E+06;  1.318701546464E+07; -8.032430928935E+07
36;7.200570;5886;  1.414871221384E+07;  1.570783107324E+05; -2.554623544553E+06;  1.437834595356E+07; -8.798302011495E+07
37;7.400714;5886;  1.576794338532E+07;  5.680342668812E+04; -5.570334893334E+06;  1.672303489370E+07; -9.999497891230E+07
38;7.600589;5886;  1.722380997610E+07;  3.491910413527E+05; -5.656934469644E+06;  1.813235980423E+07; -1.103022577558E+08
39;7.800164;5886;  1.903632005976E+07;  4.690491981516E+05; -5.542939431800E+06;  1.983243974181E+07; -1.222089673687E+08
40;8.000595;5886;  1.990034734816E+07;  3.616145635301E+05; -4.851272937410E+06;  2.048632321290E+07; -1.248590646961E+08
41;8.200023;5886;  1.909759759033E+07;  2.830099490098E+05; -3.907868350900E+06;  1.949537800099E+07; -1.187765724717E+08
42;8.400218;5886;  1.721069272138E+07;  4.545719139236E+05; -2.950843977236E+06;  1.746774340757E+07; -1.049938940999E+08
43;8.600465;5886;  1.679702174814E+07;  5.740734633139E+05; -3.064045194667E+06;  1.708384830487E+07; -9.823666070747E+07
44;8.800017;5886;  1.270441392382E+07;  4.302007791599E+05; -2.197492562992E+06;  1.290023951028E+07; -7.443484983184E+07
45;9.000371;5886;  8.370132272796E+06;  2.605381198688E+04; -1.913295568189E+06;  8.586063882622E+06; -4.679528378353E+07
46;9.200003;5886;  1.058046644835E+07;  2.418395475448E+05; -2.122737729444E+06;  1.079401556879E+07; -5.693047514783E+07
47;9.400031;5886;  1.127694040925E+07;  4.098492913177E+05; -1.772652093332E+06;  1.142276922989E+07; -6.119317165141E+07
48;9.600070;5886;  1.057664731744E+07;  3.257435741587E+05; -1.957928288307E+06;  1.076127597154E+07; -5.682511481296E+07
49;9.800228;5886;  9.852798406952E+06;  1.365340963101E+05; -1.635993825175E+06;  9.988631227726E+06; -5.177380844380E+07
50;10.000795;5886;  9.566900897334E+06; -9.072440305662E+04; -1.537016029353E+06;  9.690007325653E+06; -4.938589288338E+07
