time_s,moment_yy_Nm
0.0,0.0
0.200211,0.0
0.400601,0.0
0.600925,0.0
0.800659,0.0
1.000062,0.0
1.200863,0.0
1.400103,0.0
1.600698,0.0
1.800668,0.0
2.000421,0.0
2.200435,0.0
2.400121,0.0
2.600592,0.0
2.800167,0.0
3.000326,0.0
3.200126,0.0
3.40053,0.0
3.60046,0.0
3.800255,-82658283.41077
4.000003,-122042787.5365
4.200237,-146408715.7795
4.400441,-130516650.4391
4.600389,-126682014.3264
4.800753,-115088096.3782
5.000608,-103935983.8003
5.200093,-96654796.27054
5.400851,-89571558.0758
5.600018,-84833022.02999
5.800723,-80604883.9004
6.000529,-79361302.31285
6.200728,-77973428.06421
6.400062,-76042505.72779
6.600421,-74372993.72131
6.800629,-76252075.67474
7.000756,-80324309.28935
7.20057,-87983020.11495
7.400714,-99994978.9123
7.600589,-110302257.7558
7.800164,-122208967.3687
8.000595,-124859064.6961
8.200023,-118776572.4717
8.400218,-104993894.0999
8.600465,-98236660.70747
8.800017,-74434849.83184
9.000371,-46795283.78353
9.200003,-56930475.14783
9.400031,-61193171.65141
9.60007,-56825114.81296
9.800228,-51773808.4438
10.000795,-49385892.88338
