time_s,front_x_m,particles_in_band
0.000000,15.000000,7200
0.200000,15.666994,7200
0.400000,17.092857,7200
0.600000,18.923512,7200
0.800000,21.505196,7200
1.000000,24.309401,7200
1.200000,27.570141,7200
1.400000,30.860023,7200
1.600000,34.391876,7200
1.800000,38.091499,7161
2.000000,41.683376,7023
2.200000,45.768120,6899
2.400000,49.981895,6779
2.600000,54.222439,6740
2.800000,58.703423,6784
3.000000,63.290218,6815
3.200000,67.921577,6858
3.400000,72.555649,6933
3.600000,77.196381,6980
3.800000,78.479004,7031
4.000000,78.324409,7064
4.200000,78.349854,7067
4.400000,78.234558,7058
4.600000,78.219772,7043
4.800000,78.235054,7028
5.000000,78.242340,7025
5.200000,78.231087,7008
5.400000,78.243347,7009
5.600000,78.407249,7008
5.800000,78.609589,6999
6.000000,78.823769,6990
6.200000,79.041832,6981
6.400000,79.276489,6972
6.600000,79.527245,6967
6.800000,79.980659,6982
7.000000,80.640350,7000
7.200000,81.445435,7007
7.400000,82.415031,7047
7.600000,84.274643,7115
7.800000,86.226128,7175
8.000000,87.988937,7221
8.200000,89.664124,7256
8.400000,91.277855,7297
8.600000,92.828445,7351
8.800000,94.341316,7409
9.000000,96.265816,7428
9.200000,99.235245,7434
9.400000,99.083458,7434
9.600000,98.978302,7415
9.800000,98.969246,7423
10.000000,98.957809,7381
10.200000,50.000000,6
