time_s,x_m,z_top_m
0.000000,0.750000,30.000000
0.000000,1.250000,30.000000
0.000000,1.750000,30.000000
0.000000,2.250000,30.000000
0.000000,2.750000,30.000000
0.000000,3.250000,30.000000
0.000000,3.750000,30.000000
0.000000,4.250000,30.000000
0.000000,4.750000,30.000000
0.000000,5.250000,30.000000
0.000000,5.750000,30.000000
0.000000,6.250000,30.000000
0.000000,6.750000,30.000000
0.000000,7.250000,30.000000
0.000000,7.750000,30.000000
0.000000,8.250000,30.000000
0.000000,8.750000,30.000000
0.000000,9.250000,30.000000
0.000000,9.750000,30.000000
0.000000,10.250000,30.000000
0.000000,10.750000,30.000000
0.000000,11.250000,30.000000
0.000000,11.750000,30.000000
0.000000,12.250000,30.000000
0.000000,12.750000,30.000000
0.000000,13.250000,30.000000
0.000000,13.750000,30.000000
0.000000,14.250000,30.000000
0.000000,14.750000,30.000000
0.000000,15.250000,30.000000
2.400000,0.722114,23.983969
2.400000,1.222114,23.651417
2.400000,1.722114,22.915928
2.400000,2.222114,21.199598
2.400000,2.722114,20.842834
2.400000,3.222114,20.285776
2.400000,3.722114,19.836391
2.400000,4.222114,19.342529
2.400000,4.722114,19.136106
2.400000,5.222114,18.827700
2.400000,5.722114,17.527279
2.400000,6.222114,18.253565
2.400000,6.722114,16.853514
2.400000,7.222114,17.656322
2.400000,7.722114,17.412035
2.400000,8.222114,17.129124
2.400000,8.722114,16.935568
2.400000,9.222114,16.682419
2.400000,9.722114,16.463814
2.400000,10.222114,16.258677
2.400000,10.722114,15.427955
2.400000,11.222114,16.022655
2.400000,11.722114,15.778360
2.400000,12.222114,15.532813
2.400000,12.722114,14.729292
2.400000,13.222114,15.219898
2.400000,13.722114,14.976275
2.400000,14.222114,14.715624
2.400000,14.722114,13.713356
2.400000,15.222114,14.324415
2.400000,15.722114,14.088818
2.400000,16.222114,13.965117
2.400000,16.722114,13.616209
2.400000,17.222114,12.834999
2.400000,17.722114,13.299731
2.400000,18.222114,12.887793
2.400000,18.722114,12.079400
2.400000,19.222114,12.477738
2.400000,19.722114,12.049146
2.400000,20.222114,11.827279
2.400000,20.722114,11.214883
2.400000,21.222114,11.372226
2.400000,21.722114,10.284636
2.400000,22.222114,10.953257
2.400000,22.722114,10.786883
2.400000,23.222114,10.511125
2.400000,23.722114,10.223612
2.400000,24.222114,10.142397
2.400000,24.722114,9.939568
2.400000,25.222114,9.209497
2.400000,25.722114,9.583179
2.400000,26.222114,9.297365
2.400000,26.722114,8.364100
2.400000,27.222114,8.963599
2.400000,27.722114,8.713330
2.400000,28.222114,8.455142
2.400000,28.722114,8.425653
2.400000,29.222114,8.268672
2.400000,29.722114,8.156180
2.400000,30.222114,7.991979
2.400000,30.722114,7.749136
2.400000,31.222114,7.601603
2.400000,31.722114,7.576119
2.400000,32.222114,7.414589
2.400000,32.722114,7.256283
2.400000,33.222114,6.118347
2.400000,33.722114,7.075580
2.400000,34.222114,6.954250
2.400000,34.722114,6.753710
2.400000,35.222114,5.838088
2.400000,35.722114,6.564271
2.400000,36.222114,6.464499
2.400000,36.722114,6.358434
2.400000,37.222114,6.235144
2.400000,37.722114,6.133116
2.400000,38.222114,5.987576
2.400000,38.722114,5.906279
