idp,x,y,z,category
149790,0.48348984,0.47804612,0.45322964,trapped
149791,0.57020962,0.57912987,0.92709291,trapped
149792,0.46324611,0.45674673,1.3750322,trapped
149793,0.56909019,0.58418369,1.8699422,trapped
149794,0.52396524,0.51770616,2.3070972,trapped
149795,0.56869251,0.56841034,2.8011317,trapped
149796,0.5776915,0.57812423,3.2377892,trapped
149797,0.62379104,0.61459607,3.6856339,trapped
149798,0.63354594,0.63072401,4.1209116,trapped
149799,0.6498003,0.64245462,4.5544944,trapped
149800,0.69151825,0.6519745,4.9926062,trapped
149801,0.7191028,0.67598516,5.3907647,trapped
149802,0.72298706,0.73921555,5.7836361,trapped
149803,0.78543258,0.8195641,6.1418934,trapped
149804,0.87804729,0.82347602,6.358974,trapped
149805,0.90280855,0.78343052,6.5593562,trapped
149806,0.73511291,0.80659783,6.955018,trapped
149807,0.72084123,0.91173321,7.180563,trapped
149808,1.4097273,0.85496563,6.72574,trapped
149809,0.90777999,1.6617907,6.8343215,trapped
149810,1.5621763,1.6670877,6.4979897,trapped
149811,1.9658546,1.718538,6.3616648,trapped
149812,2.2091508,1.028958,7.1048651,trapped
149813,1.0307306,0.85257792,7.4872093,trapped
149814,0.86318946,2.3333986,7.0934339,trapped
149815,0.91484851,2.6984992,7.1264529,trapped
149816,1.0446256,2.2071655,6.9902396,trapped
149817,3.4931698,1.4668616,6.9147692,trapped
149818,3.7553842,2.9878845,6.0156054,trapped
149819,4.1731653,2.8982158,6.5693784,trapped
149820,3.8864655,2.4294062,6.6400552,trapped
149821,2.8819234,1.037697,7.0795465,trapped
149822,0.89226705,1.1946596,7.4297638,trapped
149823,1.9766172,0.9887116,7.2393985,trapped
149824,3.9935632,2.6530247,6.6182547,trapped
149825,3.6630723,2.2824411,6.6931062,trapped
149826,2.5757978,1.1675527,7.0455236,trapped
149827,0.89095265,2.3511426,7.2809358,trapped
149828,3.7204688,3.1936593,6.6384172,trapped
149829,1.0293858,1.5748284,7.3855534,trapped
149830,2.9479108,2.1363571,6.3250933,trapped
149831,3.1846449,1.7570664,6.8161097,trapped
149832,2.7194653,1.3970976,6.9407301,trapped
149833,1.2306322,0.96013051,7.5208178,trapped
149834,3.1498587,1.8602666,6.8248796,trapped
149835,1.82561,1.1663362,7.2773004,trapped
149836,1.3985237,1.1798724,7.4288898,trapped
149837,2.8691199,1.8275473,6.8429403,trapped
149838,3.2467282,2.7655406,6.5537081,trapped
149839,1.862664,3.0471478,6.8618731,trapped
149840,1.3902282,1.5243549,7.2805672,trapped
149841,1.4667376,1.5525453,7.2344694,trapped
149842,3.1374202,2.8986378,6.5960083,trapped
149843,3.0235584,3.0150096,6.6265078,trapped
149844,2.8619623,3.0239739,6.6422124,trapped
149845,2.0625353,2.206605,6.8339844,trapped
149846,2.0652626,2.2063427,6.8438416,trapped
149847,2.06517,2.2064049,6.8433194,trapped
149848,2.0635688,2.1998663,6.863708,trapped
149849,2.0272105,2.1318991,7.1064558,trapped
149850,0.60704637,0.97582662,0.59007609,trapped
149851,0.44701791,1.0770756,1.0067068,trapped
149852,0.5779776,1.0174885,1.4453378,trapped
149853,0.5574854,1.0962989,1.8533276,trapped
149854,0.54959702,1.077356,2.2865467,trapped
149855,0.58263868,1.0948619,2.7015398,trapped
149856,0.55272293,1.1606619,3.1298938,trapped
149857,0.60139889,1.1703697,3.5467248,trapped
149858,0.60550326,1.18931,3.949518,trapped
149859,0.61402553,1.2409568,4.3440576,trapped
149860,0.68922263,1.26985,4.7078815,trapped
149861,0.73239464,1.2746683,5.0229077,trapped
149862,0.72210944,1.3312286,5.3328695,trapped
149863,0.68041778,1.4418981,5.70751,trapped
149864,0.79881823,1.5230864,5.9648595,trapped
149865,1.1656898,1.6440723,5.9712019,trapped
149866,1.0524822,1.7300676,6.218101,trapped
149867,0.6321916,1.7553984,6.5273709,trapped
149868,0.87437963,2.1028054,6.4880033,trapped
149869,2.0567031,2.3647544,5.8909173,trapped
149870,1.6270622,2.3223228,6.1265545,trapped
149871,1.5673907,2.6382093,6.2579408,trapped
149872,2.0394163,2.9361863,6.2284713,trapped
149873,2.4344642,2.7820897,5.9865832,trapped
149874,2.3704195,3.2400632,6.0203614,trapped
149875,1.0430372,3.1836691,6.9197955,trapped
149876,1.3503164,3.1754758,6.8740621,trapped
149877,4.1547098,4.5904303,6.6108866,trapped
149878,4.131741,4.3097458,6.0604382,trapped
149879,4.9722443,4.2584815,6.6447005,trapped
149880,4.509131,3.8033397,6.56776,trapped
149881,4.4306121,4.1060319,6.5691285,trapped
149882,0.87221122,3.411201,7.2026463,trapped
149883,5.1755428,4.7180266,6.6381931,trapped
149884,5.9202662,5.0937963,6.6780186,trapped
149885,3.2124131,4.7117467,6.5722818,trapped
149886,3.979866,4.0194149,6.5384135,trapped
149887,4.9989743,4.5516124,6.6443434,trapped
149888,6.2318873,4.9689598,6.7046304,trapped
149889,1.550041,4.1121469,6.8165154,trapped
149890,6.8057342,5.4318042,6.7535381,trapped
149891,7.3542342,5.3143778,6.6639252,trapped
149892,7.3472595,5.3049521,6.6633162,trapped
149893,6.0955868,4.7618918,6.699564,trapped
149894,2.6665683,4.7971101,6.6671906,trapped
149895,1.8872985,4.2346015,6.7281575,trapped
149896,3.6153774,4.0481424,6.5720601,trapped
149897,5.2343812,5.1184154,6.6527462,trapped
149898,5.6250091,5.3646226,6.6777072,trapped
149899,1.9530258,3.7942307,6.76754,trapped
149900,4.4459529,4.9210649,6.620357,trapped
149901,4.0371346,4.948781,6.6280308,trapped
149902,2.8405273,4.7253742,6.6316371,trapped
149903,3.348052,4.1452951,6.5670953,trapped
149904,2.7450867,3.889102,6.6275759,trapped
149905,1.4445601,2.8879118,6.9663997,trapped
149906,2.6197786,3.8513613,6.6428962,trapped
149907,3.0870981,4.1548948,6.5883608,trapped
149908,1.9924343,3.9936068,6.7176776,trapped
149909,2.7764463,2.8551123,6.6996112,trapped
149910,0.43960804,1.4192532,0.42462498,trapped
149911,0.57428944,1.5930376,0.92301899,trapped
149912,0.53916067,1.5683839,1.3958182,trapped
149913,0.60170329,1.6178535,1.803221,trapped
149914,0.5423938,1.6762036,2.2432222,trapped
149915,0.69115859,1.6303374,2.5975223,trapped
149916,0.69901192,1.6762999,2.9892147,trapped
149917,0.78928417,1.7103571,3.3411682,trapped
149918,0.79102916,1.7219148,3.6798289,trapped
149919,0.80234355,1.7584685,4.0360031,trapped
149920,0.90857726,1.8151892,4.3592114,trapped
149921,0.97897857,1.8438812,4.6566367,trapped
149922,0.94466126,1.8276969,4.9657245,trapped
149923,0.78563482,1.9038053,5.3154359,trapped
149924,0.99996579,2.0791726,5.5354085,trapped
149925,1.4001209,2.3130629,5.3943849,trapped
149926,1.6702582,2.2971256,5.5582843,trapped
149927,0.80070931,2.3343141,6.0646191,trapped
149928,1.6754775,2.8623128,5.7785773,trapped
149929,2.0893545,3.0669522,5.4713984,trapped
149930,2.5437291,2.7932904,5.5762377,trapped
149931,0.73229367,2.717427,6.6146007,trapped
149932,2.8004286,3.5848355,5.8227963,trapped
149933,3.2873523,3.5422678,5.7600121,trapped
149934,2.9054992,3.8919055,5.8253388,trapped
149935,2.140434,3.6632404,6.0795217,trapped
149936,3.9775326,4.2597833,5.6180034,trapped
149937,4.6778369,4.7241058,5.8598676,trapped
149938,3.501924,3.9954729,5.8571835,trapped
149939,4.5364141,3.9121373,5.7557659,trapped
149940,5.000351,3.4336839,5.7327075,trapped
149941,4.0985737,4.8435512,5.8735142,trapped
149942,4.4428306,5.0982194,6.6212912,trapped
149943,5.8668222,5.0561047,5.9495478,trapped
149944,6.0627475,4.4578242,5.991806,trapped
149945,1.1068691,4.4217343,7.0141435,trapped
149946,7.5589576,5.8412857,6.7182841,trapped
149947,8.2382793,5.900187,6.74651,trapped
149948,6.0748878,5.5819864,6.6606226,trapped
149949,6.3692255,5.5248137,6.6943183,trapped
149950,6.940495,5.0061545,6.0316577,trapped
149951,5.1483316,4.4071622,5.9521379,trapped
149952,8.073451,5.6062155,6.1546645,trapped
149953,6.7367878,4.7399545,6.72229,trapped
149954,9.7277889,6.5044022,6.7271633,trapped
149955,1.0634867,4.3095407,7.0827298,trapped
149956,9.9486427,6.0658193,6.7130051,trapped
149957,8.8589411,6.0278873,6.7221537,trapped
149958,13.513269,6.9155707,6.7159696,trapped
149959,3.22559,5.2060375,6.6070991,trapped
149960,3.6336455,5.2222166,6.6114736,trapped
149961,12.261873,6.4267874,6.72226,trapped
149962,11.73163,6.4461565,6.7240591,trapped
149963,2.2023797,4.6562452,6.7675323,trapped
149964,18.110659,7.1929512,6.6235828,trapped
149965,15.437895,6.9750128,6.6539154,trapped
149966,14.100796,6.8464432,6.6592717,trapped
149967,7.2750635,5.9394689,6.7475171,trapped
149968,8.7404375,6.1726279,6.7141805,trapped
149969,3.5043898,4.7276015,6.5949402,trapped
149970,0.5788303,1.9833069,0.56695855,trapped
149971,0.52726692,2.0786898,0.9786765,trapped
149972,0.52660155,2.0819356,1.4443784,trapped
149973,0.7148962,2.1411283,1.8047329,trapped
149974,0.69877481,2.1621561,2.171046,trapped
149975,0.62362278,2.1701331,2.5691895,trapped
149976,0.63753378,2.1941154,2.9694777,trapped
149977,0.6431337,2.2283077,3.3502502,trapped
149978,0.61343598,2.2916009,3.7188756,trapped
149979,0.64152938,2.2477999,4.096724,trapped
149980,0.71302658,2.3777611,4.4143968,trapped
149981,0.70339471,2.4032307,4.7144957,trapped
149982,0.64473587,2.4188771,5.0641356,trapped
149983,0.73666,2.5948017,5.3019652,trapped
149984,0.90774816,2.8012848,5.5186443,trapped
149985,0.93184841,2.8507981,5.7666831,trapped
149986,0.74753261,2.8757076,5.9965816,trapped
149987,0.72916555,3.0957644,6.1330194,trapped
149988,1.5934143,3.5111728,5.6809654,trapped
149989,1.6572212,3.7590201,5.9197273,trapped
149990,1.102829,3.3473432,6.2862883,trapped
149991,0.78916544,3.6699951,6.8361907,trapped
149992,2.294723,4.1768017,5.769237,trapped
149993,3.0465078,4.4092474,5.7967162,trapped
149994,1.6318655,3.5638106,6.3602762,trapped
149995,2.1896441,4.5693731,6.4616232,trapped
149996,3.4916627,5.0848064,5.9108448,trapped
149997,2.6451612,4.6902261,5.9160252,trapped
149998,0.88241935,3.6948118,7.124083,trapped
149999,4.2905102,5.5954304,6.631496,trapped
150000,5.0028367,5.179131,5.9491773,trapped
150001,1.3667583,4.8738995,6.9609284,trapped
150002,1.2225569,4.6358461,6.9976783,trapped
150003,6.4609466,6.3338737,6.7199755,trapped
150004,6.6494884,5.6168933,6.0278893,trapped
150005,5.6217012,6.1985521,6.7311797,trapped
150006,5.93607,6.0666342,6.6890721,trapped
150007,6.9116902,5.9945383,6.0465708,trapped
150008,9.0492373,6.656374,6.7329788,trapped
150009,2.7759449,5.6757507,6.6715889,trapped
150010,3.6089604,5.8391371,6.6840067,trapped
150011,10.299091,6.8592072,6.7038383,trapped
150012,9.9826851,6.565855,6.7019906,trapped
150013,8.5064278,6.4114847,6.7407579,trapped
150014,3.0878599,5.4865246,6.624681,trapped
150015,3.2466168,5.5453734,6.6303391,trapped
150016,11.78877,6.9602933,6.7175326,trapped
150017,3.7345684,6.2767873,6.6752658,trapped
150018,13.946989,7.1060891,6.6242628,trapped
150019,11.214363,6.8447556,6.7565002,trapped
150020,5.0406346,5.9866538,6.7074032,trapped
150021,18.493212,7.4048214,6.6450734,trapped
150022,17.214745,7.4371476,6.6511188,trapped
150023,4.3236613,5.5197406,6.6327958,trapped
150024,20.519716,7.5987158,6.5473137,trapped
150025,4.9377027,5.4194818,6.6585464,trapped
150026,5.2915492,5.544085,6.7070327,trapped
150027,7.8356619,6.0603838,6.7346973,trapped
150028,10.836474,6.3714638,6.7614298,trapped
150029,10.084414,6.3231459,6.7038345,trapped
150030,0.46114722,2.4525807,0.45050663,trapped
150031,0.5290333,2.57833,0.94209385,trapped
150032,0.52314156,2.6020329,1.4519713,trapped
150033,0.76159626,2.6252847,1.7897406,trapped
150034,0.48317796,2.6726727,2.2918351,trapped
150035,1.0257535,2.6897609,2.4068744,trapped
150036,0.63256824,2.677206,2.8895643,trapped
150037,1.0389057,2.7252924,3.1245334,trapped
150038,0.9085995,2.7604711,3.4868472,trapped
150039,0.79437965,2.748296,3.858083,trapped
150040,1.1236057,2.7866166,4.0701904,trapped
150041,1.3379266,2.9439366,4.2929749,trapped
150042,1.0402043,2.8533506,4.6526794,trapped
150043,1.3405094,2.8999512,4.8460827,trapped
150044,1.6465433,3.4600706,4.7617826,trapped
150045,1.5968165,3.2221673,5.0589151,trapped
150046,1.5361475,3.3768792,5.3183942,trapped
150047,2.1220896,3.7474227,5.0555472,trapped
150048,2.5796285,4.1417394,5.1186705,trapped
150049,2.2381167,4.3014359,5.4057775,trapped
150050,2.1215613,3.8415966,5.5154939,trapped
150051,3.1665912,4.3218408,5.4221239,trapped
150052,3.591229,4.8112469,5.4018588,trapped
150053,3.2342176,4.8805466,5.6686859,trapped
150054,2.036953,4.6588426,6.1805124,trapped
150055,4.017519,5.3076048,5.8610897,trapped
150056,4.44031,5.3715434,5.6802206,trapped
150057,5.822669,5.5435247,5.6948237,trapped
150058,5.4965529,5.4453197,5.9145484,trapped
150059,4.8831649,5.7419109,6.0624681,trapped
150060,5.1903124,5.8269958,5.7222538,trapped
150061,4.1476245,5.9123039,6.6777163,trapped
150062,5.4288435,6.1102967,6.1262269,trapped
150063,7.3784251,6.0367751,5.7884483,trapped
150064,8.4791737,6.3210344,6.0646586,trapped
150065,7.692925,6.3498783,6.1228633,trapped
150066,2.2154665,5.5336885,6.6673698,trapped
150067,9.3081665,6.5697937,6.0697098,trapped
150068,8.1428671,6.7123022,6.1304145,trapped
150069,2.4016643,5.703999,6.6448283,trapped
150070,10.546046,7.2997384,6.723989,trapped
150071,11.689551,6.9435287,6.0451903,trapped
150072,12.451771,6.8182359,6.248282,trapped
150073,4.3441315,6.3592453,6.6737404,trapped
150074,7.7198267,6.4731913,6.7406187,trapped
150075,13.747948,7.2977667,6.6690044,trapped
150076,13.074244,7.0484037,6.1325622,trapped
150077,4.6851034,6.5418005,6.65417,trapped
150078,17.392948,7.2185435,5.9742427,trapped
150079,10.749671,6.5695386,6.2232785,trapped
150080,12.674272,7.1494665,6.7497368,trapped
150081,20.885511,7.6845384,6.5448003,trapped
150082,10.904111,7.0102797,6.7520967,trapped
150083,6.353992,5.9205627,6.6778817,trapped
150084,22.059647,7.8745937,6.6067567,trapped
150085,7.0725908,6.4603844,6.6967773,trapped
150086,22.290449,7.675796,6.6053014,trapped
150087,9.2130423,6.3355222,6.7491732,trapped
150088,15.021827,7.3195362,6.6791129,trapped
150089,14.209723,7.1024723,6.6290202,trapped
150090,0.54546392,3.0299466,0.52527183,trapped
150091,0.56428939,3.075844,0.98038954,trapped
150092,0.63332123,3.0995524,1.3883772,trapped
150093,0.58219779,3.1025488,1.8187557,trapped
150094,0.65884042,3.1680012,2.2355824,trapped
150095,0.89738268,3.1717799,2.5122852,trapped
150096,0.52614999,3.1640983,2.9675276,trapped
150097,0.74796265,3.2321801,3.2593386,trapped
150098,0.63609076,3.2644362,3.6348555,trapped
150099,0.61015916,3.2464728,4.0393615,trapped
150100,0.72200018,3.3149476,4.3597555,trapped
150101,0.71510047,3.312748,4.6646881,trapped
150102,0.65310991,3.350642,4.9955411,trapped
150103,0.7315889,3.5610042,5.230793,trapped
150104,0.80994821,3.4907179,5.5605984,trapped
150105,1.1429814,3.8825843,5.5451512,trapped
150106,0.85121459,3.8941953,5.8314428,trapped
150107,0.69360512,3.7772706,6.1912594,trapped
150108,1.5045688,4.4152699,5.7397623,trapped
150109,1.050208,4.1094971,6.2971559,trapped
150110,0.64098072,3.9715495,6.7325644,trapped
150111,1.7911702,4.9077587,5.8985043,trapped
150112,2.5728209,5.1343508,5.9354148,trapped
150113,1.4975277,4.7419915,6.279685,trapped
150114,1.0003594,5.1383605,6.9866524,trapped
150115,3.8269765,5.7884121,5.7373409,trapped
150116,3.4825249,5.6887803,5.9017549,trapped
150117,1.1255987,4.8276405,6.9606638,trapped
150118,1.5083921,5.2506423,6.8939843,trapped
150119,6.0652866,5.9823742,5.9094625,trapped
150120,6.9012027,6.3705506,5.7230082,trapped
150121,5.8987751,6.4893522,6.0060573,trapped
150122,4.5112958,6.1037803,6.6553473,trapped
150123,2.0675609,5.5982571,6.6883478,trapped
150124,2.2053859,5.6151481,6.6425834,trapped
150125,6.5359979,6.5596008,6.0094404,trapped
150126,6.4471574,6.8476834,6.7475572,trapped
150127,10.279581,7.0583172,6.6704707,trapped
150128,6.9127526,6.8230071,6.711422,trapped
150129,9.224966,7.097239,6.7328587,trapped
150130,12.431512,7.2488732,6.7164245,trapped
150131,8.7849407,7.0040417,6.0542612,trapped
150132,3.3900793,6.4678359,6.6284852,trapped
150133,5.0764208,6.6465988,6.6679454,trapped
150134,14.674167,7.3713851,6.085146,trapped
150135,13.546804,7.5002594,6.7047787,trapped
150136,14.753141,7.6230078,6.7009792,trapped
150137,4.8198318,6.5675602,6.6513996,trapped
