Internal barrier identified from boundary mk=11
mk=11
n=5886
xmin=79.0
xmax=83.0
ymin=2.0
ymax=18.0
zmin=-1.0
zmax=11.0
xc=81.0
yc=10.0
zc=5.0
spacing=0.5
contact_dist=0.75
first_contact=3.8000000000000003
sustained_contact=3.8000000000000003
frame,time_s,n_fluid_in_expanded_bbox,min_dist_to_barrier,n_contact_particles
0,0.0,0,nan,0
1,0.2,0,nan,0
2,0.4,0,nan,0
3,0.6000000000000001,0,nan,0
4,0.8,0,nan,0
5,1.0,0,nan,0
6,1.2000000000000002,0,nan,0
7,1.4000000000000001,0,nan,0
8,1.6,0,nan,0
9,1.8,0,nan,0
10,2.0,0,nan,0
11,2.2,0,nan,0
12,2.4000000000000004,0,nan,0
13,2.6,0,nan,0
14,2.8000000000000003,0,nan,0
15,3.0,0,nan,0
16,3.2,0,nan,0
17,3.4000000000000004,0,nan,0
18,3.6,0,nan,0
19,3.8000000000000003,39,0.37345560727622257,28
20,4.0,22,0.43229009991186546,11
21,4.2,14,0.4090397214609356,7
22,4.4,8,0.4179732356498543,3
23,4.6000000000000005,8,0.43119313015155175,5
24,4.800000000000001,4,0.4174297877962702,3
25,5.0,5,0.4127542650519931,3
26,5.2,3,0.41166181408822794,3
27,5.4,4,0.4128793287700552,3
28,5.6000000000000005,4,0.41583605168859594,3
29,5.800000000000001,5,0.4201289680652962,3
30,6.0,4,0.4252279916986775,3
31,6.2,6,0.4306262187730313,3
32,6.4,9,0.4358281683478121,5
33,6.6000000000000005,12,0.4405778560095831,4
34,6.800000000000001,9,0.4446942248237098,4
35,7.0,14,0.44816153013440274,5
36,7.2,9,0.45085981661793784,1
37,7.4,12,0.7591898285776888,0
38,7.6000000000000005,13,0.7377867742740087,3
39,7.800000000000001,12,0.7352021082090351,3
40,8.0,11,0.7488998801919586,2
41,8.200000000000001,8,0.7639940587104348,0
42,8.4,14,0.7533268335624174,0
43,8.6,9,0.7479032786189931,1
44,8.8,9,0.7670143011766448,0
45,9.0,10,0.7474810208162255,1
46,9.200000000000001,9,0.7503559368627677,0
47,9.4,12,0.7537041192079951,0
48,9.600000000000001,11,0.735310456266964,3
49,9.8,11,0.7334589364459154,1
50,10.0,11,0.7417120799856616,3
