frame,time_s,n_downstream,mass_downstream_constkg,mass_downstream_rhokg,n_downstream_yspan,mass_downstream_yspan_constkg,mass_downstream_yspan_rhokg
0,0.0,0,0.0,0.0,0,0.0,0.0
1,0.2,0,0.0,0.0,0,0.0,0.0
2,0.4,0,0.0,0.0,0,0.0,0.0
3,0.6000000000000001,0,0.0,0.0,0,0.0,0.0
4,0.8,0,0.0,0.0,0,0.0,0.0
5,1.0,0,0.0,0.0,0,0.0,0.0
6,1.2000000000000002,0,0.0,0.0,0,0.0,0.0
7,1.4000000000000001,0,0.0,0.0,0,0.0,0.0
8,1.6,0,0.0,0.0,0,0.0,0.0
9,1.8,0,0.0,0.0,0,0.0,0.0
10,2.0,0,0.0,0.0,0,0.0,0.0
11,2.2,0,0.0,0.0,0,0.0,0.0
12,2.4000000000000004,0,0.0,0.0,0,0.0,0.0
13,2.6,0,0.0,0.0,0,0.0,0.0
14,2.8000000000000003,0,0.0,0.0,0,0.0,0.0
15,3.0,0,0.0,0.0,0,0.0,0.0
16,3.2,0,0.0,0.0,0,0.0,0.0
17,3.4000000000000004,0,0.0,0.0,0,0.0,0.0
18,3.6,0,0.0,0.0,0,0.0,0.0
19,3.8000000000000003,0,0.0,0.0,0,0.0,0.0
20,4.0,1,212.5,186.7441,0,0.0,0.0
21,4.2,24,5100.0,5068.280425000001,0,0.0,0.0
22,4.4,37,7862.5,7837.2561749999995,0,0.0,0.0
23,4.6000000000000005,57,12112.5,12100.8966875,8,1700.0,1702.24555
24,4.800000000000001,66,14025.0,14009.414962500001,16,3400.0,3402.0092624999997
25,5.0,80,17000.0,16985.4517625,38,8075.0,8076.4193625
26,5.2,104,22100.0,22048.3024125,44,9350.0,9342.905862500002
27,5.4,117,24862.5,24833.768337499998,55,11687.5,11687.012025
28,5.6000000000000005,129,27412.5,27404.323750000003,65,13812.5,13814.194675
29,5.800000000000001,145,30812.5,30782.557775,90,19125.0,19127.6621125
30,6.0,162,34425.0,34394.8666875,99,21037.5,21040.2413875
31,6.2,171,36337.5,36290.1418,108,22950.0,22953.773975
32,6.4,180,38250.0,38251.0623125,122,25925.0,25928.6009125
33,6.6000000000000005,205,43562.5,43530.1891,136,28900.0,28893.484800000002
34,6.800000000000001,211,44837.5,44821.355112499994,155,32937.5,32950.439912500005
35,7.0,218,46325.0,46289.478737499994,166,35275.0,35279.7839125
36,7.2,220,46750.0,46717.86585,174,36975.0,36977.044725
37,7.4,302,64175.0,64143.982612499996,244,51850.0,51857.726775
38,7.6000000000000005,622,132175.0,132146.82994999998,530,112625.0,112610.92188750001
39,7.800000000000001,1004,213350.0,213302.35278749999,863,183387.5,183354.887625
40,8.0,1374,291975.0,291908.0043625,1202,255425.0,255382.43910000002
41,8.200000000000001,1686,358275.0,358130.512475,1484,315350.0,315223.45113750006
42,8.4,1954,415225.0,415087.65987499995,1718,365075.0,364959.6918125
43,8.6,2163,459637.5,459536.9439875,1912,406300.0,406244.329875
44,8.8,2323,493637.5,493494.6651625,2116,449650.0,449582.972825
45,9.0,2461,522962.5,523283.684025,2265,481312.5,481694.7658
46,9.200000000000001,2571,546337.5,546358.8666999999,2326,494275.0,494272.4300875
47,9.4,2669,567162.5,567435.27165,2384,506600.0,506827.2826625
48,9.600000000000001,2729,579912.5,580272.9291000001,2429,516162.5,516477.882275
49,9.8,2781,590962.5,591329.3565375,2445,519562.5,519907.5318
50,10.0,2818,598825.0,599143.9672125,2459,522537.5,522815.0829125
