idp,final_x,final_y,final_z,final_rhop,mass_kg,ever_overtop,ever_leak,final_category
149790,0.48348984,0.47804612,0.45322964,1701.4012,212.67515,0,0,upstream
149791,0.57020962,0.57912987,0.92709291,1703.5973,212.9496625,0,0,upstream
149792,0.46324611,0.45674673,1.3750322,1702.271,212.783875,0,0,upstream
149793,0.56909019,0.58418369,1.8699422,1702.4712,212.8089,0,0,upstream
149794,0.52396524,0.51770616,2.3070972,1702.8621,212.8577625,0,0,upstream
149795,0.56869251,0.56841034,2.8011317,1701.9165,212.7395625,0,0,upstream
149796,0.5776915,0.57812423,3.2377892,1702.5255,212.8156875,0,0,upstream
149797,0.62379104,0.61459607,3.6856339,1702.0416,212.7552,0,0,upstream
149798,0.63354594,0.63072401,4.1209116,1701.3125,212.6640625,0,0,upstream
149799,0.6498003,0.64245462,4.5544944,1702.41,212.80125,0,0,upstream
149800,0.69151825,0.6519745,4.9926062,1701.8633,212.7329125,0,0,upstream
149801,0.7191028,0.67598516,5.3907647,1701.4264,212.6783,0,0,upstream
149802,0.72298706,0.73921555,5.7836361,1703.0756,212.88445,0,0,upstream
149803,0.78543258,0.8195641,6.1418934,1700.9824,212.6228,0,0,upstream
149804,0.87804729,0.82347602,6.358974,1699.8743,212.4842875,0,0,upstream
149805,0.90280855,0.78343052,6.5593562,1700.7062,212.588275,0,0,upstream
149806,0.73511291,0.80659783,6.955018,1704.0343,213.0042875,0,0,upstream
149807,0.72084123,0.91173321,7.180563,1697.1995,212.1499375,0,0,upstream
149808,1.4097273,0.85496563,6.72574,1703.213,212.901625,0,0,upstream
149809,0.90777999,1.6617907,6.8343215,1703.6046,212.950575,0,0,upstream
149810,1.5621763,1.6670877,6.4979897,1697.3989,212.1748625,0,0,upstream
149811,1.9658546,1.718538,6.3616648,1705.2749,213.1593625,0,0,upstream
149812,2.2091508,1.028958,7.1048651,1699.953,212.494125,0,0,upstream
149813,1.0307306,0.85257792,7.4872093,1699.3972,212.42465,0,0,upstream
149814,0.86318946,2.3333986,7.0934339,1699.1631,212.3953875,0,0,upstream
149815,0.91484851,2.6984992,7.1264529,1699.6538,212.456725,0,0,upstream
149816,1.0446256,2.2071655,6.9902396,1698.9856,212.3732,0,0,upstream
149817,3.4931698,1.4668616,6.9147692,1699.7671,212.4708875,0,0,upstream
149818,3.7553842,2.9878845,6.0156054,1702.7233,212.8404125,0,0,upstream
149819,4.1731653,2.8982158,6.5693784,1700.0259,212.5032375,0,0,upstream
149820,3.8864655,2.4294062,6.6400552,1699.7494,212.468675,0,0,upstream
149821,2.8819234,1.037697,7.0795465,1700.2218,212.527725,0,0,upstream
149822,0.89226705,1.1946596,7.4297638,1699.7175,212.4646875,0,0,upstream
149823,1.9766172,0.9887116,7.2393985,1699.7645,212.4705625,0,0,upstream
149824,3.9935632,2.6530247,6.6182547,1699.9268,212.49085,0,0,upstream
149825,3.6630723,2.2824411,6.6931062,1699.7423,212.4677875,0,0,upstream
149826,2.5757978,1.1675527,7.0455236,1700.1437,212.5179625,0,0,upstream
149827,0.89095265,2.3511426,7.2809358,1699.9698,212.496225,0,0,upstream
149828,3.7204688,3.1936593,6.6384172,1700.0875,212.5109375,0,0,upstream
149829,1.0293858,1.5748284,7.3855534,1700.0052,212.50065,0,0,upstream
149830,2.9479108,2.1363571,6.3250933,1701.6262,212.703275,0,0,upstream
149831,3.1846449,1.7570664,6.8161097,1699.5869,212.4483625,0,0,upstream
149832,2.7194653,1.3970976,6.9407301,1699.6787,212.4598375,0,0,upstream
149833,1.2306322,0.96013051,7.5208178,1699.8414,212.480175,0,0,upstream
149834,3.1498587,1.8602666,6.8248796,1699.7985,212.4748125,0,0,upstream
149835,1.82561,1.1663362,7.2773004,1699.8014,212.475175,0,0,upstream
149836,1.3985237,1.1798724,7.4288898,1699.9353,212.4919125,0,0,upstream
149837,2.8691199,1.8275473,6.8429403,1699.7971,212.4746375,0,0,upstream
149838,3.2467282,2.7655406,6.5537081,1699.8662,212.483275,0,0,upstream
149839,1.862664,3.0471478,6.8618731,1700.1775,212.5221875,0,0,upstream
149840,1.3902282,1.5243549,7.2805672,1699.8572,212.48215,0,0,upstream
149841,1.4667376,1.5525453,7.2344694,1699.7665,212.4708125,0,0,upstream
149842,3.1374202,2.8986378,6.5960083,1700.0536,212.5067,0,0,upstream
149843,3.0235584,3.0150096,6.6265078,1700.1323,212.5165375,0,0,upstream
149844,2.8619623,3.0239739,6.6422124,1700.1549,212.5193625,0,0,upstream
149845,2.0625353,2.206605,6.8339844,1699.9479,212.4934875,0,0,upstream
149846,2.0652626,2.2063427,6.8438416,1699.9786,212.497325,0,0,upstream
149847,2.06517,2.2064049,6.8433194,1699.9774,212.497175,0,0,upstream
149848,2.0635688,2.1998663,6.863708,1700.025,212.503125,0,0,upstream
149849,2.0272105,2.1318991,7.1064558,1700.3154,212.539425,0,0,upstream
149850,0.60704637,0.97582662,0.59007609,1703.2626,212.907825,0,0,upstream
149851,0.44701791,1.0770756,1.0067068,1702.9802,212.872525,0,0,upstream
149852,0.5779776,1.0174885,1.4453378,1702.3032,212.7879,0,0,upstream
149853,0.5574854,1.0962989,1.8533276,1702.5089,212.8136125,0,0,upstream
149854,0.54959702,1.077356,2.2865467,1702.4274,212.803425,0,0,upstream
149855,0.58263868,1.0948619,2.7015398,1701.7529,212.7191125,0,0,upstream
149856,0.55272293,1.1606619,3.1298938,1702.6819,212.8352375,0,0,upstream
149857,0.60139889,1.1703697,3.5467248,1701.7303,212.7162875,0,0,upstream
149858,0.60550326,1.18931,3.949518,1701.1801,212.6475125,0,0,upstream
149859,0.61402553,1.2409568,4.3440576,1702.4951,212.8118875,0,0,upstream
149860,0.68922263,1.26985,4.7078815,1702.0742,212.759275,0,0,upstream
149861,0.73239464,1.2746683,5.0229077,1700.3468,212.54335,0,0,upstream
149862,0.72210944,1.3312286,5.3328695,1700.5842,212.573025,0,0,upstream
149863,0.68041778,1.4418981,5.70751,1702.9484,212.86855,0,0,upstream
149864,0.79881823,1.5230864,5.9648595,1700.5399,212.5674875,0,0,upstream
149865,1.1656898,1.6440723,5.9712019,1700.0385,212.5048125,0,0,upstream
149866,1.0524822,1.7300676,6.218101,1700.9526,212.619075,0,0,upstream
149867,0.6321916,1.7553984,6.5273709,1697.8424,212.2303,0,0,upstream
149868,0.87437963,2.1028054,6.4880033,1703.807,212.975875,0,0,upstream
149869,2.0567031,2.3647544,5.8909173,1701.6368,212.7046,0,0,upstream
149870,1.6270622,2.3223228,6.1265545,1700.3524,212.54405,0,0,upstream
149871,1.5673907,2.6382093,6.2579408,1701.1299,212.6412375,0,0,upstream
149872,2.0394163,2.9361863,6.2284713,1702.1025,212.7628125,0,0,upstream
149873,2.4344642,2.7820897,5.9865832,1700.9702,212.621275,0,0,upstream
149874,2.3704195,3.2400632,6.0203614,1699.267,212.408375,0,0,upstream
149875,1.0430372,3.1836691,6.9197955,1699.3221,212.4152625,0,0,upstream
149876,1.3503164,3.1754758,6.8740621,1699.5939,212.4492375,0,0,upstream
149877,4.1547098,4.5904303,6.6108866,1699.786,212.47325,0,0,upstream
149878,4.131741,4.3097458,6.0604382,1704.0961,213.0120125,0,0,upstream
149879,4.9722443,4.2584815,6.6447005,1699.9579,212.4947375,0,0,upstream
149880,4.509131,3.8033397,6.56776,1699.8682,212.483525,0,0,upstream
149881,4.4306121,4.1060319,6.5691285,1699.7047,212.4630875,0,0,upstream
149882,0.87221122,3.411201,7.2026463,1700.348,212.5435,0,0,upstream
149883,5.1755428,4.7180266,6.6381931,1699.9166,212.489575,0,0,upstream
149884,5.9202662,5.0937963,6.6780186,1699.9092,212.48865,0,0,upstream
149885,3.2124131,4.7117467,6.5722818,1700.1125,212.5140625,0,0,upstream
149886,3.979866,4.0194149,6.5384135,1699.8984,212.4873,0,0,upstream
149887,4.9989743,4.5516124,6.6443434,1699.9423,212.4927875,0,0,upstream
149888,6.2318873,4.9689598,6.7046304,1699.9163,212.4895375,0,0,upstream
149889,1.550041,4.1121469,6.8165154,1699.415,212.426875,0,0,upstream
149890,6.8057342,5.4318042,6.7535381,1699.9318,212.491475,0,0,upstream
149891,7.3542342,5.3143778,6.6639252,1699.6581,212.4572625,0,0,upstream
149892,7.3472595,5.3049521,6.6633162,1699.657,212.457125,0,0,upstream
149893,6.0955868,4.7618918,6.699564,1699.9083,212.4885375,0,0,upstream
149894,2.6665683,4.7971101,6.6671906,1700.1616,212.5202,0,0,upstream
149895,1.8872985,4.2346015,6.7281575,1699.8165,212.4770625,0,0,upstream
149896,3.6153774,4.0481424,6.5720601,1700.1097,212.5137125,0,0,upstream
149897,5.2343812,5.1184154,6.6527462,1699.8568,212.4821,0,0,upstream
149898,5.6250091,5.3646226,6.6777072,1699.9025,212.4878125,0,0,upstream
149899,1.9530258,3.7942307,6.76754,1700.15,212.51875,0,0,upstream
149900,4.4459529,4.9210649,6.620357,1699.9303,212.4912875,0,0,upstream
149901,4.0371346,4.948781,6.6280308,1699.9462,212.493275,0,0,upstream
149902,2.8405273,4.7253742,6.6316371,1700.1959,212.5244875,0,0,upstream
149903,3.348052,4.1452951,6.5670953,1700.161,212.520125,0,0,upstream
149904,2.7450867,3.889102,6.6275759,1700.059,212.507375,0,0,upstream
149905,1.4445601,2.8879118,6.9663997,1699.976,212.497,0,0,upstream
149906,2.6197786,3.8513613,6.6428962,1700.0076,212.50095,0,0,upstream
149907,3.0870981,4.1548948,6.5883608,1700.1748,212.52185,0,0,upstream
149908,1.9924343,3.9936068,6.7176776,1700.035,212.504375,0,0,upstream
149909,2.7764463,2.8551123,6.6996112,1700.1705,212.5213125,0,0,upstream
