time_s,force_x_N
0.0,0.0
0.200211,0.0
0.400601,0.0
0.600925,0.0
0.800659,0.0
1.000062,0.0
1.200863,0.0
1.400103,0.0
1.600698,0.0
1.800668,0.0
2.000421,0.0
2.200435,0.0
2.400121,0.0
2.600592,0.0
2.800167,0.0
3.000326,0.0
3.200126,0.0
3.40053,0.0
3.60046,0.0
3.800255,21377302.88682
4.000003,26055187.47188
4.200237,26770472.89382
4.400441,23084712.4647
4.600389,21229255.72855
4.800753,19187846.62613
5.000608,17338627.86502
5.200093,16122330.59375
5.400851,15064612.35675
5.600018,14285926.34169
5.800723,13602153.0637
6.000529,13298467.59322
6.200728,13124156.35082
6.400062,12804260.6109
6.600421,12494755.29905
6.800629,12826453.67778
7.000756,13483716.52691
7.20057,14525874.2249
7.400714,16150321.88844
7.600589,17626103.06922
7.800164,19467933.38572
8.000595,20402425.66037
8.200023,19538620.80956
8.400218,17617138.42156
8.600465,17224196.01519
8.800017,13052096.05508
9.000371,8553836.971941
9.200003,10883000.55143
9.400031,11603071.47681
9.60007,10878808.15416
9.800228,10124939.9837
10.000795,9821872.565461
