time_s,moment_about_axis_Nm
0.0,0.0
0.200211,0.0
0.400601,0.0
0.600925,0.0
0.800659,0.0
1.000062,0.0
1.200863,0.0
1.400103,0.0
1.600698,0.0
1.800668,0.0
2.000421,0.0
2.200435,0.0
2.400121,0.0
2.600592,0.0
2.800167,0.0
3.000326,0.0
3.200126,0.0
3.40053,0.0
3.60046,0.0
3.800255,-60885441.10767
4.000003,-97195130.90797
4.200237,-121022811.7082
4.400441,-109933234.3382
4.600389,-107624925.1052
4.800753,-97790696.51332
5.000608,-88263538.11374
5.200093,-82033201.76615
5.400851,-76207683.18636
5.600018,-72096301.89353
5.800723,-68545327.67139
6.000529,-67566637.35437
6.200728,-66716085.76422
6.400062,-65092202.10384
6.600421,-63800479.79775
6.800629,-66253083.67519
7.000756,-71233927.40279
7.20057,-80793035.05998
7.400714,-97354912.44938
7.600589,-106410861.9344
7.800164,-116265219.1883
8.000595,-116838155.7358
8.200023,-109495599.5756
8.400218,-95314109.87427
8.600465,-89150948.79087
8.800017,-67746803.07209
9.000371,-43137325.82594
9.200003,-51723716.94862
9.400031,-54698438.07782
9.60007,-51428886.49638
9.800228,-46305320.436
10.000795,-43834201.08358
