Earliest hit indicators for barrier upstream face x=79 m
full_front_x: 3.6981927679686764
center_front_x: 7.6193778953492375
full_near_count: 3.8000000000000003
center_near_count: nan
full_ahead_count: 3.8000000000000003
center_ahead_count: 7.800000000000001

Rows up to 5 s:
 step  time_s  full_front_x  center_front_x  full_near_count  center_near_count  full_ahead_count  center_ahead_count
    0     0.0     15.000000       15.000000                0                  0                 0                   0
    1     0.2     15.672779       15.666994                0                  0                 0                   0
    2     0.4     17.092857       17.092857                0                  0                 0                   0
    3     0.6     18.923512       18.923512                0                  0                 0                   0
    4     0.8     21.505196       21.505196                0                  0                 0                   0
    5     1.0     24.309401       24.309401                0                  0                 0                   0
    6     1.2     27.570141       27.570141                0                  0                 0                   0
    7     1.4     30.860023       30.860023                0                  0                 0                   0
    8     1.6     34.391876       34.391876                0                  0                 0                   0
    9     1.8     38.091499       38.091499                0                  0                 0                   0
   10     2.0     41.809349       41.650330                0                  0                 0                   0
   11     2.2     45.846912       45.749569                0                  0                 0                   0
   12     2.4     50.230659       49.961037                0                  0                 0                   0
   13     2.6     54.551712       54.190731                0                  0                 0                   0
   14     2.8     59.025276       58.682629                0                  0                 0                   0
   15     3.0     63.602364       63.250858                0                  0                 0                   0
   16     3.2     68.042618       67.921577                0                  0                 0                   0
   17     3.4     72.593391       72.555649                0                  0                 0                   0
   18     3.6     77.196381       77.160545                0                  0                 0                   0
   19     3.8     80.870010       78.479004               29                  0                23                   0
   20     4.0     85.053864       78.280380               54                  0               120                   0
   21     4.2     87.324905       78.349854               84                  0               207                   0
   22     4.4     88.417885       78.219154               82                  0               269                   0
   23     4.6     88.768143       78.219772               89                  0               302                   0
   24     4.8     88.819603       78.235054               80                  0               327                   0
   25     5.0     89.399490       78.242340               73                  0               338                   0
