step,time_s,full_front_x,center_front_x,full_near_count,center_near_count,full_ahead_count,center_ahead_count
0,0.0,15.0,15.0,0,0,0,0
1,0.2,15.672779,15.666994,0,0,0,0
2,0.4,17.092857,17.092857,0,0,0,0
3,0.6000000000000001,18.923512,18.923512,0,0,0,0
4,0.8,21.505196,21.505196,0,0,0,0
5,1.0,24.309401,24.309401,0,0,0,0
6,1.2000000000000002,27.570141,27.570141,0,0,0,0
7,1.4000000000000001,30.860023,30.860023,0,0,0,0
8,1.6,34.391876,34.391876,0,0,0,0
9,1.8,38.091499,38.091499,0,0,0,0
10,2.0,41.809349,41.65033,0,0,0,0
11,2.2,45.846912,45.749569,0,0,0,0
12,2.4000000000000004,50.230659,49.961037,0,0,0,0
13,2.6,54.551712,54.190731,0,0,0,0
14,2.8000000000000003,59.025276,58.682629,0,0,0,0
15,3.0,63.602364,63.250858,0,0,0,0
16,3.2,68.042618,67.921577,0,0,0,0
17,3.4000000000000004,72.593391,72.555649,0,0,0,0
18,3.6,77.196381,77.160545,0,0,0,0
19,3.8000000000000003,80.87001,78.479004,29,0,23,0
20,4.0,85.053864,78.28038,54,0,120,0
21,4.2,87.324905,78.349854,84,0,207,0
22,4.4,88.417885,78.219154,82,0,269,0
23,4.6000000000000005,88.768143,78.219772,89,0,302,0
24,4.800000000000001,88.819603,78.235054,80,0,327,0
25,5.0,89.39949,78.24234,73,0,338,0
26,5.2,90.58551,78.231087,75,0,347,0
27,5.4,91.779449,78.218369,69,0,350,0
28,5.6000000000000005,92.873016,78.243057,59,0,352,0
29,5.800000000000001,93.758636,78.236763,58,0,358,0
30,6.0,94.642845,78.241447,55,0,361,0
31,6.2,95.531761,78.233223,57,0,366,0
32,6.4,96.232422,78.249069,50,0,371,0
33,6.6000000000000005,96.865822,78.287209,54,0,373,0
34,6.800000000000001,97.493538,78.248825,49,0,381,0
35,7.0,98.001396,78.248276,55,0,387,0
36,7.2,98.434868,78.243568,59,0,394,0
37,7.4,98.877319,78.274704,69,0,399,0
38,7.6000000000000005,98.907402,78.238907,83,0,423,0
39,7.800000000000001,98.77494,86.094177,90,0,549,4
40,8.0,98.931068,87.988937,90,0,812,22
41,8.200000000000001,98.584389,89.664124,95,0,1196,46
42,8.4,98.281288,91.277855,91,0,1574,78
43,8.6,97.986923,92.828445,87,0,1921,97
44,8.8,97.830704,94.341316,75,0,2177,109
45,9.0,97.739426,96.265816,65,0,2391,124
46,9.200000000000001,99.327583,99.235245,61,0,2557,130
47,9.4,99.192612,99.083458,56,0,2677,140
48,9.600000000000001,99.09301,98.978302,61,0,2788,150
49,9.8,99.036507,98.969246,55,0,2850,156
50,10.0,99.041489,98.880829,52,0,2903,178
51,10.200000000000001,,,0,0,0,0
