step,time_s,front_x_slab_m,min_abs_dx_to_face_m,n_slab,n_contact_band
0,0.0,15.0,64.0,1980,0
1,0.2,15.666994,63.333006,1980,0
2,0.4,17.092857,61.907143000000005,2064,0
3,0.6000000000000001,18.923512,60.076488,2184,0
4,0.8,21.505196,57.494804,2349,0
5,1.0,24.309401,54.690599,2550,0
6,1.2000000000000002,27.570141,51.429859,2781,0
7,1.4000000000000001,30.860023,48.139977,3054,0
8,1.6,34.391876,44.608124,3346,0
9,1.8,38.091499,40.908501,3584,0
10,2.0,41.65033,37.34967,3648,0
11,2.2,45.749569,33.250431,3680,0
12,2.4000000000000004,49.961037,29.038963000000003,3646,0
13,2.6,54.190731,24.809269,3605,0
14,2.8000000000000003,58.682629,20.317371,3573,0
15,3.0,63.250858,15.749141999999999,3619,0
16,3.2,67.921577,11.078423,3706,0
17,3.4000000000000004,72.555649,6.4443509999999975,3846,0
18,3.6,77.160545,1.839455000000001,3966,0
19,3.8000000000000003,78.479004,0.5209959999999967,4041,0
20,4.0,78.28038,0.7196200000000061,4122,0
21,4.2,78.349854,0.6501460000000066,4149,0
22,4.4,78.219154,0.7808459999999968,4175,0
23,4.6000000000000005,78.219772,0.7802279999999939,4186,0
24,4.800000000000001,78.235054,0.7649459999999948,4156,0
25,5.0,78.24234,0.7576600000000013,4158,0
26,5.2,78.231087,0.7689129999999977,4140,0
27,5.4,78.218369,0.7816310000000044,4108,0
28,5.6000000000000005,78.243057,0.7569430000000068,4088,0
29,5.800000000000001,78.236763,0.7632370000000037,4063,0
30,6.0,78.241447,0.7585530000000063,4053,0
31,6.2,78.233223,0.7667770000000047,4045,0
32,6.4,78.249069,0.7509309999999942,4023,0
33,6.6000000000000005,78.287209,0.7127909999999957,4022,0
34,6.800000000000001,78.248825,0.7511750000000035,4004,0
35,7.0,78.248276,0.7517239999999958,3984,0
36,7.2,78.243568,0.7564320000000038,3962,0
37,7.4,78.274704,0.7252960000000002,3935,0
38,7.6000000000000005,78.238907,0.7610930000000025,3922,0
39,7.800000000000001,78.248077,0.751923000000005,3927,0
40,8.0,87.988937,0.7523350000000022,3945,0
41,8.200000000000001,89.664124,0.7649080000000055,3991,0
42,8.4,91.277855,0.7670750000000055,4048,0
43,8.6,92.828445,0.761573999999996,4104,0
44,8.8,94.341316,0.7607119999999981,4177,0
45,9.0,96.265816,0.7609479999999991,4217,0
46,9.200000000000001,99.235245,0.7585219999999993,4241,0
47,9.4,99.083458,0.7562559999999934,4281,0
48,9.600000000000001,98.978302,0.753380000000007,4332,0
49,9.8,98.969246,0.7559200000000033,4372,0
50,10.0,98.880829,0.7571030000000007,4405,0
51,10.200000000000001,,,0,0
