step,time_s,front_x_m,particles_in_band,y_center_m,y_tol_m
0,0.0,15.0,1800,10.0,0.38
1,0.2,15.666994,1800,10.0,0.38
2,0.4,17.092857,1800,10.0,0.38
3,0.6000000000000001,18.923512,1800,10.0,0.38
4,0.8,21.505196,1800,10.0,0.38
5,1.0,24.309401,1800,10.0,0.38
6,1.2000000000000002,27.570141,1800,10.0,0.38
7,1.4000000000000001,30.860023,1800,10.0,0.38
8,1.6,34.391876,1800,10.0,0.38
9,1.8,38.086964,1802,10.0,0.38
10,2.0,41.65033,1802,10.0,0.38
11,2.2,45.749569,1805,10.0,0.38
12,2.4000000000000004,49.961037,1808,10.0,0.38
13,2.6,54.190731,1863,10.0,0.38
14,2.8000000000000003,58.682629,1997,10.0,0.38
15,3.0,63.250858,2111,10.0,0.38
16,3.2,67.921577,2208,10.0,0.38
17,3.4000000000000004,72.555649,2283,10.0,0.38
18,3.6,77.160545,2351,10.0,0.38
19,3.8000000000000003,78.479004,2389,10.0,0.38
20,4.0,78.261063,2430,10.0,0.38
21,4.2,78.349854,2475,10.0,0.38
22,4.4,78.219154,2511,10.0,0.38
23,4.6000000000000005,78.219772,2502,10.0,0.38
24,4.800000000000001,78.235054,2513,10.0,0.38
25,5.0,78.24234,2514,10.0,0.38
26,5.2,78.210182,2523,10.0,0.38
27,5.4,78.218369,2532,10.0,0.38
28,5.6000000000000005,78.359039,2536,10.0,0.38
29,5.800000000000001,78.562752,2528,10.0,0.38
30,6.0,78.768196,2530,10.0,0.38
31,6.2,78.971046,2533,10.0,0.38
32,6.4,79.188271,2536,10.0,0.38
33,6.6000000000000005,79.424103,2542,10.0,0.38
34,6.800000000000001,79.943275,2557,10.0,0.38
35,7.0,80.64035,2580,10.0,0.38
36,7.2,81.445435,2593,10.0,0.38
37,7.4,82.415031,2613,10.0,0.38
38,7.6000000000000005,84.274643,2634,10.0,0.38
39,7.800000000000001,86.226128,2663,10.0,0.38
40,8.0,87.988937,2684,10.0,0.38
41,8.200000000000001,89.664124,2706,10.0,0.38
42,8.4,91.277855,2718,10.0,0.38
43,8.6,92.828445,2728,10.0,0.38
44,8.8,94.341316,2743,10.0,0.38
45,9.0,96.265816,2760,10.0,0.38
46,9.200000000000001,99.235245,2776,10.0,0.38
47,9.4,99.032326,2768,10.0,0.38
48,9.600000000000001,98.934578,2764,10.0,0.38
49,9.8,98.943008,2766,10.0,0.38
50,10.0,98.880829,2747,10.0,0.38
51,10.200000000000001,,0,10.0,0.38
