step,time_s,n_particles_downstream,mass_downstream_kg
0,0.0,0,0.0
1,0.2,0,0.0
2,0.4,0,0.0
3,0.6000000000000001,0,0.0
4,0.8,0,0.0
5,1.0,0,0.0
6,1.2000000000000002,0,0.0
7,1.4000000000000001,0,0.0
8,1.6,0,0.0
9,1.8,0,0.0
10,2.0,0,0.0
11,2.2,0,0.0
12,2.4000000000000004,0,0.0
13,2.6,0,0.0
14,2.8000000000000003,0,0.0
15,3.0,0,0.0
16,3.2,0,0.0
17,3.4000000000000004,0,0.0
18,3.6,0,0.0
19,3.8000000000000003,0,0.0
20,4.0,1,212.5
21,4.2,24,5100.0
22,4.4,37,7862.5
23,4.6000000000000005,57,12112.5
24,4.800000000000001,66,14025.0
25,5.0,80,17000.0
26,5.2,104,22100.0
27,5.4,117,24862.5
28,5.6000000000000005,129,27412.5
29,5.800000000000001,145,30812.5
30,6.0,162,34425.0
31,6.2,171,36337.5
32,6.4,180,38250.0
33,6.6000000000000005,205,43562.5
34,6.800000000000001,211,44837.5
35,7.0,218,46325.0
36,7.2,220,46750.0
37,7.4,302,64175.0
38,7.6000000000000005,622,132175.0
39,7.800000000000001,1004,213350.0
40,8.0,1374,291975.0
41,8.200000000000001,1686,358275.0
42,8.4,1954,415225.0
43,8.6,2163,459637.5
44,8.8,2323,493637.5
45,9.0,2461,522962.5
46,9.200000000000001,2571,546337.5
47,9.4,2669,567162.5
48,9.600000000000001,2729,579912.5
49,9.8,2781,590962.5
50,10.0,2818,598825.0
51,10.200000000000001,0,0.0
