Part;Time [s];Np;ForceFluid.x [N/m];ForceFluid.y [N/m];ForceFluid.z [N/m];ForceFluid [N/m];Weight.x [N/m];Weight.y [N/m];Weight.z [N/m];ForceTotal.x [N/m];ForceTotal.y [N/m];ForceTotal.z [N/m];ForceTotal [N/m]
0;0.000000;80;  0.000000000000E+00;  0.000000000000E+00; -3.356933639793E-06;  3.356933639793E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400429249E+01;  6.278400429249E+01
1;0.010022;80;  4.945308829029E+01;  3.268625490416E-38; -6.125621123994E-01;  4.945688196590E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  4.945308829029E+01;  3.268625490416E-38; -6.339656304795E+01;  8.040355805398E+01
2;0.020021;80;  3.035102357808E+01; -7.403255185102E-37; -3.070341079687E+00;  3.050592772860E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  3.035102357808E+01; -7.403255185102E-37; -6.585434201524E+01;  7.251192311956E+01
3;0.030008;80;  1.497125848000E+00; -3.150429022784E-36; -6.416252537016E+00;  6.588602463612E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  1.497125848000E+00; -3.150429022784E-36; -6.920025347257E+01;  6.921644650278E+01
4;0.040035;80;  7.450250913047E+01; -6.566136295991E-36; -2.793732370045E+00;  7.455487111713E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  7.450250913047E+01; -6.566136295991E-36; -6.557773330560E+01;  9.925252123869E+01
5;0.050043;80; -1.760381768564E-01;  1.604364703018E-35; -8.902210578057E+00;  8.903950955379E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.760381768564E-01;  1.604364703018E-35; -7.168621151361E+01;  7.168642765973E+01
6;0.060015;80;  2.046864433387E+01;  1.288592383932E-35; -9.605075807647E+00;  2.261023843610E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  2.046864433387E+01;  1.288592383932E-35; -7.238907674320E+01;  7.522728117246E+01
7;0.070039;80;  8.614614281127E+01;  1.218990941629E-34; -5.599726874824E+00;  8.632794948528E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  8.614614281127E+01;  1.218990941629E-34; -6.838372781038E+01;  1.099886000934E+02
8;0.080014;80;  2.653786756900E+01;  1.773921853280E-34; -1.036369688800E+01;  2.848972847003E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  2.653786756900E+01;  1.773921853280E-34; -7.314769782355E+01;  7.781287883118E+01
9;0.090007;80;  7.740304932040E+01;  1.650904128545E-34; -6.737177431839E+00;  7.769569874739E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  7.740304932040E+01;  1.650904128545E-34; -6.952117836739E+01;  1.040405031019E+02
10;0.100018;80;  9.532521356983E+01; -1.543610914470E-34; -1.016956646069E+01;  9.586613804745E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  9.532521356983E+01; -1.543610914470E-34; -7.295356739625E+01;  1.200379912277E+02
11;0.110033;80;  5.131853684440E+01; -1.438015454998E-34; -1.150003100604E+01;  5.259128194853E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  5.131853684440E+01; -1.438015454998E-34; -7.428403194159E+01;  9.028681866889E+01
