Part;Time [s];Np;ForceFluid.x [N/m];ForceFluid.y [N/m];ForceFluid.z [N/m];ForceFluid [N/m];Weight.x [N/m];Weight.y [N/m];Weight.z [N/m];ForceTotal.x [N/m];ForceTotal.y [N/m];ForceTotal.z [N/m];ForceTotal [N/m]
0;0.000000;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
1;0.010022;80; -9.061409043580E-02;  2.364307238000E-40;  5.409695705916E-01;  5.485061437136E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01; -9.061409043580E-02;  2.364307238000E-40; -6.224303405051E+01;  6.224310000897E+01
2;0.020021;80; -4.855055503250E-01; -4.042188413022E-40; -2.395957028806E-01;  5.414071852453E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01; -4.855055503250E-01; -4.042188413022E-40; -6.302359932398E+01;  6.302546935477E+01
3;0.030008;80; -5.650752948515E-03;  2.534458505267E-41; -5.563221060682E-02;  5.591845729172E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01; -5.650752948515E-03;  2.534458505267E-41; -6.283963583171E+01;  6.283963608578E+01
4;0.040035;80; -8.337194645639E-02; -1.537958718677E-40; -9.451370380094E-02;  1.260306377914E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01; -8.337194645639E-02; -1.537958718677E-40; -6.287851732490E+01;  6.287857259719E+01
5;0.050043;80;  2.278373459602E-02;  5.824324794044E-40;  2.953100248472E-02;  3.729850760948E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  2.278373459602E-02;  5.824324794044E-40; -6.275447261862E+01;  6.275447675457E+01
6;0.060015;80;  9.132444063312E-04; -1.108226716114E-40;  1.681327844878E-03;  1.913342276661E-03;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  9.132444063312E-04; -1.108226716114E-40; -6.278232229326E+01;  6.278232229990E+01
7;0.070039;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
8;0.080014;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
9;0.090007;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
10;0.100018;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
11;0.110033;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
12;0.120004;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
13;0.130035;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
14;0.140001;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
15;0.150039;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
16;0.160021;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
17;0.170014;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
18;0.180016;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
19;0.190028;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
20;0.200024;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
21;0.210031;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
22;0.220023;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
23;0.230022;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
24;0.240015;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
25;0.250032;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
26;0.260035;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
27;0.270035;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
28;0.280013;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
29;0.290014;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
30;0.300015;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
31;0.310022;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
32;0.320015;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
