Part;Time [s];Np;ForceFluid.x [N/m];ForceFluid.y [N/m];ForceFluid.z [N/m];ForceFluid [N/m];Weight.x [N/m];Weight.y [N/m];Weight.z [N/m];ForceTotal.x [N/m];ForceTotal.y [N/m];ForceTotal.z [N/m];ForceTotal [N/m]
0;0.000000;80;  0.000000000000E+00;  0.000000000000E+00; -3.356933639793E-06;  3.356933639793E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400429249E+01;  6.278400429249E+01
1;0.010022;80;  8.841189173167E-01;  3.201738486912E-39; -3.225625200653E+00;  3.344596267870E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  8.841189173167E-01;  3.201738486912E-39; -6.600962613621E+01;  6.601554672122E+01
2;0.020021;80; -1.336131116006E+01;  7.953106827325E-39; -7.181115848737E+00;  1.516881869985E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.336131116006E+01;  7.953106827325E-39; -6.996511678429E+01;  7.122950373655E+01
3;0.030008;80; -2.490302465776E+01; -9.861758889973E-37; -1.208810025108E+01;  2.768181361084E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.490302465776E+01; -9.861758889973E-37; -7.487210118663E+01;  7.890495658200E+01
4;0.040035;80; -2.441995062769E+01;  3.994189017142E-37; -1.064480856545E+01;  2.663918050643E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.441995062769E+01;  3.994189017142E-37; -7.342880950100E+01;  7.738297004764E+01
5;0.050043;80; -1.947690484185E+01;  2.645368047296E-36; -1.768885631217E+01;  2.631055795401E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.947690484185E+01;  2.645368047296E-36; -8.047285724772E+01;  8.279631982057E+01
6;0.060015;80; -6.104142757791E+00;  3.836172522518E-38; -1.654228437278E+01;  1.763257584919E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -6.104142757791E+00;  3.836172522518E-38; -7.932628530834E+01;  7.956079499117E+01
7;0.070039;80; -3.492303560120E+01;  6.992513296128E-36; -1.792718954097E+01;  3.925560521047E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -3.492303560120E+01;  6.992513296128E-36; -8.071119047652E+01;  8.794267839758E+01
8;0.080014;80; -5.329255777992E+00;  1.044227008826E-36; -1.775193986642E+01;  1.853462533121E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -5.329255777992E+00;  1.044227008826E-36; -8.053594080198E+01;  8.071207300031E+01
9;0.090007;80; -1.200649207143E+01;  9.668610946896E-37; -1.651437070659E+01;  2.041764657584E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.200649207143E+01;  9.668610946896E-37; -7.929837164215E+01;  8.020216703405E+01
10;0.100018;80;  8.060023910561E+00; -8.670486149842E-36; -1.348640473435E+01;  1.571136843491E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  8.060023910561E+00; -8.670486149842E-36; -7.627040566990E+01;  7.669510262390E+01
11;0.110033;80;  1.145852964727E+01; -4.827481752944E-36; -1.040531595476E+01;  1.547800057488E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  1.145852964727E+01; -4.827481752944E-36; -7.318931689032E+01;  7.408086128380E+01
12;0.120004;80; -2.150636828168E+00;  3.032532012708E-35; -8.586109689863E+00;  8.851356866212E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.150636828168E+00;  3.032532012708E-35; -7.137011062542E+01;  7.140250646477E+01
13;0.130035;80;  7.270682659245E+00; -1.108037635776E-34; -2.065342547675E+00;  7.558337526909E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  7.270682659245E+00; -1.108037635776E-34; -6.484934348323E+01;  6.525565244894E+01
14;0.140001;80; -2.559741868477E+00; -7.669202633170E-35; -6.708388380831E-01;  2.646186535359E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.559741868477E+00; -7.669202633170E-35; -6.345483977364E+01;  6.350644824844E+01
15;0.150039;80; -2.145248403230E+00; -1.197152434904E-34;  1.987891677140E+00;  2.924688706786E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.145248403230E+00; -1.197152434904E-34; -6.079610925841E+01;  6.083394604719E+01
16;0.160021;80; -1.470354650981E-01; -6.543380796543E-36; -1.884699086617E-01;  2.390404452547E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.470354650981E-01; -6.543380796543E-36; -6.297247084422E+01;  6.297264250175E+01
17;0.170014;80;  5.501870960016E-03; -1.018432222920E-35; -1.486534331538E-01;  1.487552142699E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  5.501870960016E-03; -1.018432222920E-35; -6.293265436871E+01;  6.293265460921E+01
18;0.180016;80;  6.591247897084E-03; -1.398709754817E-35; -1.636463380403E-01;  1.637790233908E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  6.591247897084E-03; -1.398709754817E-35; -6.294764727359E+01;  6.294764761868E+01
19;0.190028;80;  1.564054682087E-02; -8.402926016978E-36; -2.015728217598E-01;  2.021787060426E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  1.564054682087E-02; -8.402926016978E-36; -6.298557375731E+01;  6.298557569924E+01
20;0.200024;80;  1.819312303138E-02; -1.141959292109E-35; -2.056490165837E-01;  2.064521924017E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  1.819312303138E-02; -1.141959292109E-35; -6.298964995214E+01;  6.298965257947E+01
21;0.210031;80;  2.901004464389E-02; -2.583917759994E-35; -2.428207624379E-01;  2.445475523516E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  2.901004464389E-02; -2.583917759994E-35; -6.302682169799E+01;  6.302682837438E+01
22;0.220023;80;  2.354010896095E-02;  5.091606607966E-35; -2.014088851423E-01;  2.027798701651E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  2.354010896095E-02;  5.091606607966E-35; -6.298540982070E+01;  6.298541421963E+01
23;0.230022;80;  2.086226512373E-02;  7.650750246911E-35; -1.817319134136E-01;  1.829254560171E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  2.086226512373E-02;  7.650750246911E-35; -6.296573284897E+01;  6.296573630509E+01
24;0.240015;80;  3.166048322089E-02;  3.830585421639E-35; -1.943637113923E-01;  1.969254643361E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  3.166048322089E-02;  3.830585421639E-35; -6.297836464695E+01;  6.297837260513E+01
25;0.250032;80;  2.374837369158E-02;  1.007729390156E-35; -1.636589265415E-01;  1.653730010906E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  2.374837369158E-02;  1.007729390156E-35; -6.294765986210E+01;  6.294766434189E+01
26;0.260035;80;  4.875013843750E-02;  5.385059897596E-36; -2.154405816710E-01;  2.208873473706E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  4.875013843750E-02;  5.385059897596E-36; -6.299944151723E+01;  6.299946037910E+01
27;0.270035;80;  6.622938133964E-02; -6.926926638218E-35; -2.561109771745E-01;  2.645357510468E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  6.622938133964E-02; -6.926926638218E-35; -6.304011191273E+01;  6.304014670272E+01
28;0.280013;80;  6.966253455699E-02; -8.685448671013E-35; -2.519788970348E-01;  2.614311252926E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  6.966253455699E-02; -8.685448671013E-35; -6.303597983259E+01;  6.303601832543E+01
29;0.290014;80;  3.416903171222E-02; -7.530237057868E-35; -1.556579803773E-01;  1.593641414601E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  3.416903171222E-02; -7.530237057868E-35; -6.293965891593E+01;  6.293966819087E+01
30;0.300015;80;  5.842001437765E-02; -1.097867306023E-34; -1.889784078148E-01;  1.978022666708E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  5.842001437765E-02; -1.097867306023E-34; -6.297297934337E+01;  6.297300644148E+01
31;0.310022;80;  5.042569528082E-02; -1.385802049925E-34; -1.590795731407E-01;  1.668803803183E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  5.042569528082E-02; -1.385802049925E-34; -6.294308050870E+01;  6.294310070750E+01
32;0.320015;80;  6.081441049088E-02; -1.373355964016E-34; -1.670788980585E-01;  1.778025610046E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  6.081441049088E-02; -1.373355964016E-34; -6.295107983361E+01;  6.295110920874E+01
33;0.330012;80;  5.963150688108E-02; -1.121838940210E-34; -1.484703276823E-01;  1.599979837842E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  5.963150688108E-02; -1.121838940210E-34; -6.293247126324E+01;  6.293249951507E+01
34;0.340002;80;  3.088106497009E-02; -2.590992096296E-34; -1.146394937432E-01;  1.187259605115E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  3.088106497009E-02; -2.590992096296E-34; -6.289864042930E+01;  6.289864801007E+01
35;0.350033;80;  6.304872134438E-02; -1.163724132753E-34; -1.451353285482E-01;  1.582384430407E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  6.304872134438E-02; -1.163724132753E-34; -6.292913626410E+01;  6.292916784836E+01
36;0.360039;80; -1.502387749746E-02; -2.896113624889E-34; -1.958677321056E-02;  2.468518948400E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.502387749746E-02; -2.896113624889E-34; -6.280358770877E+01;  6.280358950577E+01
37;0.370006;80;  3.757280838244E-02; -1.589897110705E-34; -9.653322363694E-02;  1.035875436309E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  3.757280838244E-02; -1.589897110705E-34; -6.288053415919E+01;  6.288054538457E+01
38;0.380038;80;  3.990409558943E-02; -2.286785199087E-34; -1.078754631858E-01;  1.150193566421E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  3.990409558943E-02; -2.286785199087E-34; -6.289187639874E+01;  6.289188905806E+01
39;0.390017;80; -2.055004907549E-02; -1.350167503010E-34;  1.659582162792E-02;  2.641450004279E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.055004907549E-02; -1.350167503010E-34; -6.276740511393E+01;  6.276740847797E+01
40;0.400025;80;  2.045190563153E-02; -1.744289467856E-34; -6.261036012486E-02;  6.586605832237E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  2.045190563153E-02; -1.744289467856E-34; -6.284661129568E+01;  6.284661462347E+01
41;0.410013;80;  2.460777152039E-02; -2.823899861795E-34; -8.272440079934E-02;  8.630683001251E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  2.460777152039E-02; -2.823899861795E-34; -6.286672533635E+01;  6.286673015243E+01
42;0.420014;80;  5.206220809715E-02; -2.232364508832E-34; -1.190893381698E-01;  1.299720892256E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  5.206220809715E-02; -2.232364508832E-34; -6.290309027372E+01;  6.290311181856E+01
43;0.430033;80;  1.738510084838E-02; -1.141392242154E-34; -4.456083364130E-02;  4.783209828469E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  1.738510084838E-02; -1.141392242154E-34; -6.282856176920E+01;  6.282856417449E+01
44;0.440032;80; -4.145129682415E-06; -3.606675914078E-39; -4.005432148801E-07;  4.164436930849E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.145129682415E-06; -3.606675914078E-39; -6.278400133610E+01;  6.278400133610E+01
45;0.450023;80; -6.595926760455E-02; -1.373858720170E-34;  9.685171271640E-02;  1.171788344328E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -6.595926760455E-02; -1.373858720170E-34; -6.268714922284E+01;  6.268718392392E+01
46;0.460013;80;  2.125674121745E-02; -1.008536121688E-34; -4.954216077241E-02;  5.390987610063E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  2.125674121745E-02; -1.008536121688E-34; -6.283354309633E+01;  6.283354669193E+01
47;0.470017;80;  3.686176207372E-03; -5.497692529169E-35; -1.338026066691E-02;  1.387873447207E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  3.686176207372E-03; -5.497692529169E-35; -6.279738119622E+01;  6.279738130441E+01
48;0.480026;80; -5.812911129319E-02; -7.408115830846E-35;  9.070957319006E-02;  1.077368100886E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -5.812911129319E-02; -7.408115830846E-35; -6.269329136236E+01;  6.269331831096E+01
49;0.490039;80;  1.669426018692E-02; -1.024306059367E-34; -4.196521821566E-02;  4.516389999852E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  1.669426018692E-02; -1.024306059367E-34; -6.282596615377E+01;  6.282596837179E+01
50;0.500005;80; -5.500484307674E-03; -3.531905505454E-36;  9.065704480797E-03;  1.060388256027E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -5.500484307674E-03; -3.531905505454E-36; -6.277493523107E+01;  6.277493547206E+01
51;0.510023;80; -1.175602872563E-03; -7.284212510589E-37;  1.948051481669E-03;  2.275290462603E-03;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.175602872563E-03; -7.284212510589E-37; -6.278205288407E+01;  6.278205289508E+01
52;0.520041;80; -6.545014382756E-02; -1.598730448520E-34;  9.304197450045E-02;  1.137564518873E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -6.545014382756E-02; -1.598730448520E-34; -6.269095896105E+01;  6.269099312643E+01
