time_s,mk_60_com_x,mk_61_com_x,mk_62_com_x,mk_63_com_x,mk_64_com_x,mk_65_com_x
0,43,43,43,43,43,43
0.2,43,43,43,43,43,43
0.4,43,43,43,43,43,43
0.6,43,43,43,43,43,43
0.8,43,43,43,43,43,43
1,43,43,43,43,43,43
1.2,43,43,43,43,43,43
1.4,43,43,43,43,43,43
1.6,43,43,43,43,43,43
1.8,43,43,43,43,43,43
2,43,43,43,43,43,43
2.2,43.11341476,43.23125458,43.13834763,43.01309967,43.00468826,43.00183487
2.4,43.57831573,43.95269775,43.85552597,43.21442413,43.13718414,43.09717941
2.6,44.02759933,44.89327621,44.81344604,43.54557419,43.50379944,43.36015701
2.8,44.39874268,45.92955017,46.11103439,43.9082489,44.08082581,43.73361969
3,44.59294128,46.96177292,47.56563187,44.19810486,44.76383591,44.05312729
3.2,44.63626099,48.03384781,49.11798096,44.29443741,45.61544037,44.23426437
3.4,44.60553741,49.05577469,50.91973495,44.18781662,46.62953568,44.30886459
3.6,44.62623978,50.05778503,53.1011467,43.97724152,47.76907349,44.3543129
3.8,44.75623322,51.10243988,55.40166473,43.73670197,49.03878021,44.43888092
4,44.98926926,52.23497772,57.7070694,43.55834579,50.45455551,44.6641922
4.2,45.2963829,53.47938156,60.01752853,43.60457611,51.91320419,45.14167023
4.4,45.66744614,54.80513,62.31463623,43.85447311,53.32225037,45.86221313
4.6,46.10733414,56.20277405,64.61860657,44.24530792,54.68860245,46.77262878
4.8,46.6144104,57.65578079,66.93409729,44.72304535,56.03087234,47.80016708
5,47.175457,59.13877106,69.23898315,45.26947784,57.34626007,48.86671448
5.2,47.78215027,60.65502548,71.53398895,45.87417603,58.62923813,49.92748642
5.4,48.43706131,62.22845078,73.84933472,46.53839111,59.88962173,51.04873657
5.6,49.13159561,63.83481216,76.14981079,47.25228882,61.10534286,52.24500656
5.8,49.88151169,65.48245239,78.457901,48.02285004,62.29430008,53.51103592
6,50.70014191,67.15782166,80.76313782,48.86196518,63.45563507,54.81860733
6.2,51.60314941,68.86806488,83.068367,49.77362061,64.58384705,56.18847656
6.4,52.5952034,70.61782074,85.36724854,50.75225067,65.6657486,57.60108566
6.6,53.66963196,72.47814941,87.67475128,51.78699112,66.65971375,59.03843689
6.8,54.76530838,74.4304657,89.98062897,52.84522629,67.5725174,60.46192169
7,55.84229279,76.4087677,92.28613281,53.90265274,68.48446655,61.83325195
7.2,56.88406372,78.39715576,94.59523773,54.94878769,69.49465179,63.1068306
7.4,57.86404419,80.38424683,94.95339966,55.96623993,70.59217072,64.2726593
7.6,58.78179932,82.37717438,93.10322571,56.94304657,71.73968506,65.36231232
7.8,59.64925385,83.93878174,91.68515778,57.86849976,72.90592194,66.42072296
8,60.46354294,82.7502594,93.12288666,58.73064041,74.06840515,67.45720673
8.2,61.22499084,81.98810577,94.5634079,59.52899551,74.87393188,68.45476532
8.4,61.93669891,82.7394104,95.73522186,60.26547623,74.83770752,68.97669983
8.6,62.57640076,84.05644989,95.56889343,60.9301033,74.74163055,69.33492279
8.8,63.11679459,85.39700317,94.39425659,61.5181694,74.85974884,69.75076294
9,63.55176163,85.10063934,94.7348175,62.0194931,75.22673035,70.06972504
9.2,63.91869354,83.80448151,96.00818634,62.42896652,75.67721558,70.37134552
9.4,64.22277069,83.7515564,94.79685974,62.7498436,75.09720612,70.68811035
9.6,64.39038849,84.10118866,92.92042542,62.97211456,74.46443176,70.99594879
9.8,64.50981903,84.17424774,91.3235321,63.09613419,74.03659821,71.2999115
10,64.57531738,83.03755188,91.05291748,63.13692856,73.91035461,71.57476044
