mk,time_s,com_x
60,0,43
60,0.2,43
60,0.4,43
60,0.6,43
60,0.8,43
60,1,43
60,1.2,43
60,1.4,43
60,1.6,43
60,1.8,43
60,2,43
60,2.2,43.11341476
60,2.4,43.57831573
60,2.6,44.02759933
60,2.8,44.39874268
60,3,44.59294128
60,3.2,44.63626099
60,3.4,44.60553741
60,3.6,44.62623978
60,3.8,44.75623322
60,4,44.98926926
60,4.2,45.2963829
60,4.4,45.66744614
60,4.6,46.10733414
60,4.8,46.6144104
60,5,47.175457
60,5.2,47.78215027
60,5.4,48.43706131
60,5.6,49.13159561
60,5.8,49.88151169
60,6,50.70014191
60,6.2,51.60314941
60,6.4,52.5952034
60,6.6,53.66963196
60,6.8,54.76530838
60,7,55.84229279
60,7.2,56.88406372
60,7.4,57.86404419
60,7.6,58.78179932
60,7.8,59.64925385
60,8,60.46354294
60,8.2,61.22499084
60,8.4,61.93669891
60,8.6,62.57640076
60,8.8,63.11679459
60,9,63.55176163
60,9.2,63.91869354
60,9.4,64.22277069
60,9.6,64.39038849
60,9.8,64.50981903
60,10,64.57531738
61,0,43
61,0.2,43
61,0.4,43
61,0.6,43
61,0.8,43
61,1,43
61,1.2,43
61,1.4,43
61,1.6,43
61,1.8,43
61,2,43
61,2.2,43.23125458
61,2.4,43.95269775
61,2.6,44.89327621
61,2.8,45.92955017
61,3,46.96177292
61,3.2,48.03384781
61,3.4,49.05577469
61,3.6,50.05778503
61,3.8,51.10243988
61,4,52.23497772
61,4.2,53.47938156
61,4.4,54.80513
61,4.6,56.20277405
61,4.8,57.65578079
61,5,59.13877106
61,5.2,60.65502548
61,5.4,62.22845078
61,5.6,63.83481216
61,5.8,65.48245239
61,6,67.15782166
61,6.2,68.86806488
61,6.4,70.61782074
61,6.6,72.47814941
61,6.8,74.4304657
61,7,76.4087677
61,7.2,78.39715576
61,7.4,80.38424683
61,7.6,82.37717438
61,7.8,83.93878174
61,8,82.7502594
61,8.2,81.98810577
61,8.4,82.7394104
61,8.6,84.05644989
61,8.8,85.39700317
61,9,85.10063934
61,9.2,83.80448151
61,9.4,83.7515564
61,9.6,84.10118866
61,9.8,84.17424774
61,10,83.03755188
62,0,43
62,0.2,43
62,0.4,43
62,0.6,43
62,0.8,43
62,1,43
62,1.2,43
62,1.4,43
62,1.6,43
62,1.8,43
62,2,43
62,2.2,43.13834763
