mk,step,time_s,com_x,num_particles
10,0,0.0,50.0,115515
60,0,0.0,43.0,2028
61,0,0.0,43.0,2028
62,0,0.0,43.0,2028
63,0,0.0,43.0,2197
64,0,0.0,43.0,2197
65,0,0.0,43.0,2197
10,1,0.2,50.0,115515
60,1,0.2,43.0,2028
61,1,0.2,43.0,2028
62,1,0.2,43.0,2028
63,1,0.2,43.0,2197
64,1,0.2,43.0,2197
65,1,0.2,43.0,2197
10,2,0.4,50.0,115515
60,2,0.4,43.0,2028
61,2,0.4,43.0,2028
62,2,0.4,43.0,2028
63,2,0.4,43.0,2197
64,2,0.4,43.0,2197
65,2,0.4,43.0,2197
10,3,0.6000000000000001,50.0,115515
60,3,0.6000000000000001,43.0,2028
61,3,0.6000000000000001,43.0,2028
62,3,0.6000000000000001,43.0,2028
63,3,0.6000000000000001,43.0,2197
64,3,0.6000000000000001,43.0,2197
65,3,0.6000000000000001,43.0,2197
10,4,0.8,50.0,115515
60,4,0.8,43.0,2028
61,4,0.8,43.0,2028
62,4,0.8,43.0,2028
63,4,0.8,43.0,2197
64,4,0.8,43.0,2197
65,4,0.8,43.0,2197
10,5,1.0,50.0,115515
60,5,1.0,43.0,2028
61,5,1.0,43.0,2028
62,5,1.0,43.0,2028
63,5,1.0,43.0,2197
64,5,1.0,43.0,2197
65,5,1.0,43.0,2197
10,6,1.2000000000000002,50.0,115515
60,6,1.2000000000000002,43.0,2028
61,6,1.2000000000000002,43.0,2028
62,6,1.2000000000000002,43.0,2028
63,6,1.2000000000000002,43.0,2197
64,6,1.2000000000000002,43.0,2197
65,6,1.2000000000000002,43.0,2197
10,7,1.4000000000000001,50.0,115515
60,7,1.4000000000000001,43.0,2028
61,7,1.4000000000000001,43.0,2028
62,7,1.4000000000000001,43.0,2028
63,7,1.4000000000000001,43.0,2197
64,7,1.4000000000000001,43.0,2197
65,7,1.4000000000000001,43.0,2197
10,8,1.6,50.0,115515
60,8,1.6,43.0,2028
61,8,1.6,43.0,2028
62,8,1.6,43.0,2028
63,8,1.6,43.0,2197
64,8,1.6,43.0,2197
65,8,1.6,43.0,2197
10,9,1.8,50.0,115515
60,9,1.8,43.0,2028
61,9,1.8,43.0,2028
62,9,1.8,43.0,2028
63,9,1.8,43.0,2197
64,9,1.8,43.0,2197
65,9,1.8,43.0,2197
10,10,2.0,50.0,115515
60,10,2.0,43.0,2028
61,10,2.0,43.0,2028
62,10,2.0,43.0,2028
63,10,2.0,43.0,2197
64,10,2.0,43.0,2197
65,10,2.0,43.0,2197
10,11,2.2,50.0,115515
60,11,2.2,43.11341626429981,2028
61,11,2.2,43.231257285502956,2028
62,11,2.2,43.13835045660749,2028
63,11,2.2,43.013099536185706,2197
64,11,2.2,43.00468866545289,2197
65,11,2.2,43.00183446745562,2197
10,12,2.4000000000000004,50.0,115515
60,12,2.4000000000000004,43.57831426282051,2028
61,12,2.4000000000000004,43.95269715384616,2028
62,12,2.4000000000000004,43.85552627071006,2028
63,12,2.4000000000000004,43.2144251679563,2197
64,12,2.4000000000000004,43.13718366226673,2197
65,12,2.4000000000000004,43.09718005962676,2197
10,13,2.6,50.0,115515
60,13,2.6,44.0275959566075,2028
61,13,2.6,44.893274741617354,2028
62,13,2.6,44.813450320019726,2028
63,13,2.6,43.54557302776514,2197
