block,step,time_s,com_x,num_particles
1,0,0.0,0.5,2340
2,0,0.0,1.0,2340
3,0,0.0,1.5,2340
4,0,0.0,2.0,2340
5,0,0.0,2.5,2340
6,0,0.0,3.0,2340
7,0,0.0,3.5,2340
8,0,0.0,4.0,2340
9,0,0.0,4.5,2340
10,0,0.0,5.0,2340
11,0,0.0,5.5,2340
12,0,0.0,6.0,2340
13,0,0.0,6.5,2340
14,0,0.0,7.0,2340
15,0,0.0,7.5,2340
16,0,0.0,8.0,2340
17,0,0.0,8.5,2340
18,0,0.0,9.0,2340
19,0,0.0,9.5,2340
20,0,0.0,10.0,2340
21,0,0.0,10.5,2340
22,0,0.0,11.0,2340
23,0,0.0,11.5,2340
24,0,0.0,12.0,2340
25,0,0.0,12.5,2340
26,0,0.0,13.0,2340
27,0,0.0,13.5,2340
28,0,0.0,14.0,2340
29,0,0.0,14.5,2340
30,0,0.0,15.0,2340
1,1,0.2,0.4970435661196581,2340
2,1,0.2,0.9991479426880341,2340
3,1,0.2,1.4981412823931624,2340
4,1,0.2,1.999455196111111,2340
5,1,0.2,2.5001747780769232,2340
6,1,0.2,3.001250722307692,2340
7,1,0.2,3.5025658017521373,2340
8,1,0.2,4.0038815260256415,2340
9,1,0.2,4.505351591495726,2340
10,1,0.2,5.006886477649573,2340
11,1,0.2,5.508478496068376,2340
12,1,0.2,6.01014038474359,2340
13,1,0.2,6.511851999487179,2340
14,1,0.2,7.013617496153846,2340
15,1,0.2,7.515437453675215,2340
16,1,0.2,8.017311532948717,2340
17,1,0.2,8.519251160555555,2340
18,1,0.2,9.021266230085471,2340
19,1,0.2,9.523394312051282,2340
20,1,0.2,10.025686533760682,2340
21,1,0.2,10.528324836324787,2340
22,1,0.2,11.031355482905983,2340
23,1,0.2,11.535812156837608,2340
24,1,0.2,12.041011738888889,2340
25,1,0.2,12.55159575042735,2340
26,1,0.2,13.063062997008545,2340
27,1,0.2,13.592095086752137,2340
28,1,0.2,14.120901145299145,2340
29,1,0.2,14.704344239316237,2340
30,1,0.2,15.272853345726496,2340
1,2,0.4,0.5030831955683761,2340
2,2,0.4,1.0070930762264958,2340
3,2,0.4,1.5118086379487181,2340
4,2,0.4,2.0180995232905983,2340
5,2,0.4,2.52449200008547,2340
6,2,0.4,3.032177038675214,2340
7,2,0.4,3.539820896752136,2340
8,2,0.4,4.048341053589744,2340
9,2,0.4,4.556966977948718,2340
10,2,0.4,5.066056283632478,2340
11,2,0.4,5.575414084743589,2340
12,2,0.4,6.085060074401709,2340
13,2,0.4,6.595057598290598,2340
14,2,0.4,7.105406202094017,2340
15,2,0.4,7.616255933290598,2340
16,2,0.4,8.127701426666665,2340
17,2,0.4,8.640035592564102,2340
18,2,0.4,9.153473019444444,2340
19,2,0.4,9.668543161752137,2340
20,2,0.4,10.185719587179488,2340
21,2,0.4,10.705789212393164,2340
22,2,0.4,11.229762179059827,2340
23,2,0.4,11.75877916068376,2340
24,2,0.4,12.294617526923076,2340
25,2,0.4,12.839380654273505,2340
26,2,0.4,13.39534855042735,2340
27,2,0.4,13.968021413675213,2340
28,2,0.4,14.557650956410257,2340
29,2,0.4,15.183928195299147,2340
30,2,0.4,15.830185886752137,2340
1,3,0.6000000000000001,0.507238285940171,2340
