block,x_layer_initial,initial_particles,x0_mean,y0_mean,z0_mean
1,0.5,2340,0.5,10.0,15.25
2,1.0,2340,1.0,10.0,15.25
3,1.5,2340,1.5,10.0,15.25
4,2.0,2340,2.0,10.0,15.25
5,2.5,2340,2.5,10.0,15.25
6,3.0,2340,3.0,10.0,15.25
7,3.5,2340,3.5,10.0,15.25
8,4.0,2340,4.0,10.0,15.25
9,4.5,2340,4.5,10.0,15.25
10,5.0,2340,5.0,10.0,15.25
11,5.5,2340,5.5,10.0,15.25
12,6.0,2340,6.0,10.0,15.25
13,6.5,2340,6.5,10.0,15.25
14,7.0,2340,7.0,10.0,15.25
15,7.5,2340,7.5,10.0,15.25
16,8.0,2340,8.0,10.0,15.25
17,8.5,2340,8.5,10.0,15.25
18,9.0,2340,9.0,10.0,15.25
19,9.5,2340,9.5,10.0,15.25
20,10.0,2340,10.0,10.0,15.25
21,10.5,2340,10.5,10.0,15.25
22,11.0,2340,11.0,10.0,15.25
23,11.5,2340,11.5,10.0,15.25
24,12.0,2340,12.0,10.0,15.25
25,12.5,2340,12.5,10.0,15.25
26,13.0,2340,13.0,10.0,15.25
27,13.5,2340,13.5,10.0,15.25
28,14.0,2340,14.0,10.0,15.25
29,14.5,2340,14.5,10.0,15.25
30,15.0,2340,15.0,10.0,15.25
