time_s mass_flow_rate_kg_per_s
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000044e+00 0.000000000000000000e+00
1.500000000000000000e+00 0.000000000000000000e+00
1.700000000000000178e+00 7.798787499999998429e-02
1.900000000000000133e+00 2.620392599999999739e+00
2.100000000000000089e+00 3.451520524999999395e+00
2.300000000000000266e+00 3.438151174999999782e+00
2.500000000000000000e+00 3.155166599999999821e+00
2.700000000000000178e+00 2.774140124999999735e+00
2.900000000000000355e+00 2.404254774999999622e+00
3.100000000000000089e+00 2.156921799999999667e+00
3.300000000000000266e+00 1.967522674999999888e+00
3.500000000000000000e+00 1.775895325000000025e+00
3.700000000000000178e+00 1.651114724999999783e+00
3.900000000000000355e+00 1.492910749999999842e+00
4.100000000000000533e+00 1.432748674999999805e+00
4.299999999999999822e+00 1.319109199999999760e+00
4.500000000000000000e+00 1.254490675000000000e+00
4.700000000000000178e+00 1.127481849999999897e+00
4.900000000000000355e+00 1.085145574999999862e+00
5.100000000000000533e+00 1.007157699999999823e+00
5.300000000000000711e+00 1.011614149999999990e+00
5.500000000000000000e+00 9.113440250000000020e-01
5.700000000000000178e+00 8.734641999999999129e-01
5.900000000000000355e+00 8.266714749999999334e-01
6.100000000000000533e+00 7.932480999999999005e-01
6.300000000000000711e+00 7.776505249999999814e-01
6.500000000000000000e+00 7.531400499999999498e-01
6.700000000000000178e+00 6.929779749999999128e-01
6.900000000000000355e+00 6.506416999999999895e-01
7.100000000000000533e+00 6.684674999999998812e-01
7.300000000000000711e+00 6.127618749999999004e-01
7.500000000000000000e+00 5.993925249999999538e-01
7.700000000000000178e+00 6.060771999999999826e-01
7.900000000000000355e+00 5.191764249999999414e-01
