time_s,mass_flux_kg_per_s,mass_flux_smoothed_kg_per_s,particles_in_section,cumulative_mass_kg
0.000000,0.000000,0.000000,0,0.000000
0.200000,0.000000,0.000000,0,0.000000
0.400000,0.000000,0.000000,0,0.000000
0.600000,0.000000,0.000000,0,0.000000
0.800000,0.000000,0.000000,0,0.000000
1.000000,0.000000,0.000000,0,0.000000
1.200000,0.000000,0.000000,0,0.000000
1.400000,0.000000,14.200661,0,0.000000
1.600000,0.000000,41.646494,0,0.000000
1.800000,71.003306,69.324148,612,7.100331
2.000000,137.229162,94.827476,1621,27.923577
2.200000,138.388272,117.054808,2002,55.485321
2.400000,127.516641,122.224543,2212,82.075812
2.600000,111.136656,111.725129,2310,105.941142
2.800000,96.851984,99.305265,2393,126.740006
3.000000,84.732091,87.483222,2466,144.898413
3.200000,76.288953,77.816827,2539,161.000518
3.400000,68.406423,70.004089,2578,175.470055
3.600000,62.804683,63.925613,2633,188.591166
3.800000,57.788296,58.787348,2678,200.650464
4.000000,54.339710,54.537598,2735,211.863265
4.200000,50.597626,50.779332,2773,222.356998
4.400000,47.157672,47.505075,2806,232.132528
4.600000,44.013355,44.569400,2835,241.249631
4.800000,41.417009,41.959251,2890,249.792667
5.000000,39.661336,39.644986,2922,257.900502
5.200000,37.546885,37.640022,2950,265.621324
5.400000,35.586347,35.871995,3001,272.934647
5.600000,33.988534,34.154645,3033,279.892135
5.800000,32.576875,32.588923,3052,286.548676
6.000000,31.074584,31.215908,3098,292.913822
6.200000,29.718273,29.927666,3115,298.993108
6.400000,28.721274,28.697671,3145,304.837062
6.600000,27.547324,27.627493,3197,310.463922
6.800000,26.426899,26.633293,3218,315.861344
7.000000,25.723693,25.663206,3262,321.076404
7.200000,24.747278,24.740982,3283,326.123501
7.400000,23.870839,23.924470,3301,330.985312
7.600000,22.936199,23.114368,3297,335.666016
7.800000,22.344342,22.499548,3331,340.194070
8.000000,21.673181,22.060017,3345,344.595822
