time_s,relative_time_after_impact_s,x_m,z_m
1.800000000000000044e+00,0.000000000000000000e+00,-1.485428094863891602e+00,6.517685651779174805e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.479422807693481445e+00,6.549685001373291016e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.473417520523071289e+00,6.560174226760864258e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.467412233352661133e+00,6.567396521568298340e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.461406946182250977e+00,6.553983688354492188e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.455401778221130371e+00,6.529247164726257324e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.449396491050720215e+00,6.532409787178039551e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.443391203880310059e+00,6.519937515258789062e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.437385916709899902e+00,6.499322056770324707e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.431380629539489746e+00,6.495449542999267578e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.425375342369079590e+00,6.489158868789672852e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.419370174407958984e+00,6.487655043601989746e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.413364887237548828e+00,6.454415917396545410e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.407359600067138672e+00,6.439059972763061523e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.401354312896728516e+00,6.425826549530029297e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.395349025726318359e+00,6.418382525444030762e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.389343738555908203e+00,6.398618817329406738e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.383338451385498047e+00,6.375243663787841797e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.377333164215087891e+00,6.362492442131042480e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.371327877044677734e+00,6.336635947227478027e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.365322589874267578e+00,6.306899785995483398e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.359317421913146973e+00,6.290382742881774902e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.353312134742736816e+00,6.253908276557922363e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.347306847572326660e+00,6.240733861923217773e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.341301560401916504e+00,6.226382255554199219e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.335296273231506348e+00,6.189731359481811523e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.329290986061096191e+00,6.176915168762207031e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.323285818099975586e+00,6.172560453414916992e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.317280530929565430e+00,6.147865056991577148e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.311275243759155273e+00,6.120660901069641113e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.305269956588745117e+00,6.098721623420715332e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.299264669418334961e+00,6.077350974082946777e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.293259382247924805e+00,6.052715778350830078e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.287254095077514648e+00,6.034382581710815430e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.281248807907104492e+00,6.010502576828002930e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.275243520736694336e+00,5.981816649436950684e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.269238233566284180e+00,5.957266688346862793e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.263233065605163574e+00,5.937331318855285645e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.257227778434753418e+00,5.919697880744934082e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.251222491264343262e+00,5.906382203102111816e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.245217204093933105e+00,5.862337946891784668e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.239211916923522949e+00,5.855545997619628906e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.233206748962402344e+00,5.801762938499450684e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.227201461791992188e+00,5.788164734840393066e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.221196174621582031e+00,5.787085890769958496e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.215190887451171875e+00,5.749753713607788086e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.209185600280761719e+00,5.736134648323059082e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.203180313110351562e+00,5.733894109725952148e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.197175025939941406e+00,5.693644881248474121e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.191169738769531250e+00,5.672852396965026855e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.185164451599121094e+00,5.662921071052551270e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.179159164428710938e+00,5.633550286293029785e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.173153877258300781e+00,5.602114796638488770e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.167148590087890625e+00,5.586382746696472168e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.161143422126770020e+00,5.555438399314880371e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.155138134956359863e+00,5.529378652572631836e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.149132847785949707e+00,5.506929159164428711e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.143127560615539551e+00,5.487605333328247070e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.137122392654418945e+00,5.465450882911682129e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.131117105484008789e+00,5.460525751113891602e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.125111818313598633e+00,5.428695678710937500e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.119106531143188477e+00,5.410099029541015625e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.113101243972778320e+00,5.379975438117980957e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.107095956802368164e+00,5.364665985107421875e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.101090669631958008e+00,5.342458486557006836e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.095085382461547852e+00,5.317878127098083496e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.089080095291137695e+00,5.303565263748168945e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.083074808120727539e+00,5.278998613357543945e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.077069520950317383e+00,5.251153111457824707e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.071064233779907227e+00,5.231456160545349121e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.065059065818786621e+00,5.213078260421752930e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.059053778648376465e+00,5.178842544555664062e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.053048491477966309e+00,5.153335928916931152e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.047043204307556152e+00,5.138382315635681152e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.041038036346435547e+00,5.104210376739501953e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.035032749176025391e+00,5.086947679519653320e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.029027462005615234e+00,5.083483457565307617e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.023022174835205078e+00,5.051951408386230469e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.017016887664794922e+00,5.032483339309692383e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.011011600494384766e+00,5.012379288673400879e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.005006313323974609e+00,4.985336959362030029e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.990010261535644531e-01,4.962758719921112061e-01
1.800000000000000044e+00,0.000000000000000000e+00,-9.929957389831542969e-01,4.931555390357971191e-01
