time_s,relative_time_after_impact_s,x_m,y_positive_m,y_negative_m
1.800000000000000044e+00,0.000000000000000000e+00,-1.484542489051818848e+00,9.162490069866180420e-02,-9.162490069866180420e-02
1.800000000000000044e+00,0.000000000000000000e+00,-1.478542566299438477e+00,1.167428046464920044e-01,-1.167428046464920044e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.472542762756347656e+00,1.243011653423309326e-01,-1.243011653423309326e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.466542959213256836e+00,1.316144764423370361e-01,-1.316144764423370361e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.460543155670166016e+00,1.356118172407150269e-01,-1.356118172407150269e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.454543232917785645e+00,1.370338499546051025e-01,-1.370338499546051025e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.448543429374694824e+00,1.356628835201263428e-01,-1.356628835201263428e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.442543506622314453e+00,1.374771595001220703e-01,-1.374771595001220703e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.436543703079223633e+00,1.380470991134643555e-01,-1.380470991134643555e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.430543899536132812e+00,1.378519386053085327e-01,-1.378519386053085327e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.424544095993041992e+00,1.406663656234741211e-01,-1.406663656234741211e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.418544173240661621e+00,1.407346427440643311e-01,-1.407346427440643311e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.412544369697570801e+00,1.401409208774566650e-01,-1.401409208774566650e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.406544446945190430e+00,1.432120651006698608e-01,-1.432120651006698608e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.400544643402099609e+00,1.408603787422180176e-01,-1.408603787422180176e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.394544839859008789e+00,1.456878036260604858e-01,-1.456878036260604858e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.388544917106628418e+00,1.446340382099151611e-01,-1.446340382099151611e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.382545113563537598e+00,1.435382217168807983e-01,-1.435382217168807983e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.376545190811157227e+00,1.424347162246704102e-01,-1.424347162246704102e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.370545387268066406e+00,1.448826342821121216e-01,-1.448826342821121216e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.364545583724975586e+00,1.424755752086639404e-01,-1.424755752086639404e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.358545780181884766e+00,1.438302844762802124e-01,-1.438302844762802124e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.352545857429504395e+00,1.426194757223129272e-01,-1.426194757223129272e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.346546053886413574e+00,1.471105068922042847e-01,-1.471105068922042847e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.340546131134033203e+00,1.430562585592269897e-01,-1.430562585592269897e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.334546327590942383e+00,1.443950831890106201e-01,-1.443950831890106201e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.328546524047851562e+00,1.452764123678207397e-01,-1.452764123678207397e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.322546720504760742e+00,1.421311199665069580e-01,-1.421311199665069580e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.316546797752380371e+00,1.448813229799270630e-01,-1.448813229799270630e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.310546994209289551e+00,1.466032713651657104e-01,-1.466032713651657104e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.304547071456909180e+00,1.439982205629348755e-01,-1.439982205629348755e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.298547267913818359e+00,1.473263949155807495e-01,-1.473263949155807495e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.292547464370727539e+00,1.454208046197891235e-01,-1.454208046197891235e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.286547541618347168e+00,1.427650153636932373e-01,-1.427650153636932373e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.280547738075256348e+00,1.468286812305450439e-01,-1.468286812305450439e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.274547934532165527e+00,1.416884511709213257e-01,-1.416884511709213257e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.268548011779785156e+00,1.447816193103790283e-01,-1.447816193103790283e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.262548208236694336e+00,1.432525664567947388e-01,-1.432525664567947388e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.256548404693603516e+00,1.439769417047500610e-01,-1.439769417047500610e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.250548481941223145e+00,1.425336152315139771e-01,-1.425336152315139771e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.244548678398132324e+00,1.451281458139419556e-01,-1.451281458139419556e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.238548874855041504e+00,1.426500976085662842e-01,-1.426500976085662842e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.232548952102661133e+00,1.474799066781997681e-01,-1.474799066781997681e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.226549148559570312e+00,1.447661072015762329e-01,-1.447661072015762329e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.220549345016479492e+00,1.424611955881118774e-01,-1.424611955881118774e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.214549422264099121e+00,1.438069939613342285e-01,-1.438069939613342285e-01
