time_s,net_crossings,pos_crossings,neg_crossings,mass_flux_kg_s
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000133e+00,1.093000000000000000e+03,1.093000000000000000e+03,0.000000000000000000e+00,2.435436420493739984e+00
2.100000000000000089e+00,1.517000000000000000e+03,1.517000000000000000e+03,0.000000000000000000e+00,3.380198581783169232e+00
2.300000000000000266e+00,1.516000000000000000e+03,1.516000000000000000e+03,0.000000000000000000e+00,3.377970369138618700e+00
2.500000000000000000e+00,1.389000000000000000e+03,1.389000000000000000e+03,0.000000000000000000e+00,3.094987363280699899e+00
2.700000000000000178e+00,1.241000000000000000e+03,1.241000000000000000e+03,0.000000000000000000e+00,2.765211891887219497e+00
2.900000000000000355e+00,1.085000000000000000e+03,1.085000000000000000e+03,0.000000000000000000e+00,2.417610719337335734e+00
3.100000000000000089e+00,9.690000000000000000e+02,9.690000000000000000e+02,0.000000000000000000e+00,2.159138052569472777e+00
3.300000000000000266e+00,8.730000000000000000e+02,8.730000000000000000e+02,0.000000000000000000e+00,1.945229638692621110e+00
3.500000000000000000e+00,7.790000000000000000e+02,7.790000000000000000e+02,0.000000000000000000e+00,1.735777650104870506e+00
3.700000000000000178e+00,7.500000000000000000e+02,7.500000000000000000e+02,0.000000000000000000e+00,1.671159483412904656e+00
3.900000000000000355e+00,6.800000000000000000e+02,6.800000000000000000e+02,0.000000000000000000e+00,1.515184598294367024e+00
4.100000000000000533e+00,6.210000000000000000e+02,6.240000000000000000e+02,3.000000000000000000e+00,1.383720052265885014e+00
4.299999999999999822e+00,5.800000000000000000e+02,6.000000000000000000e+02,2.000000000000000000e+01,1.292363333839313011e+00
4.500000000000000000e+00,5.470000000000000000e+02,5.620000000000000000e+02,1.500000000000000000e+01,1.218832316569145258e+00
4.700000000000000178e+00,5.060000000000000000e+02,5.220000000000000000e+02,1.600000000000000000e+01,1.127475598142573254e+00
4.900000000000000355e+00,4.870000000000000000e+02,4.970000000000000000e+02,1.000000000000000000e+01,1.085139557896112716e+00
5.100000000000000533e+00,4.690000000000000000e+02,4.840000000000000000e+02,1.500000000000000000e+01,1.045031730294203154e+00
5.300000000000000711e+00,4.220000000000000000e+02,4.530000000000000000e+02,3.100000000000000000e+01,9.403057360003277410e-01
5.500000000000000000e+00,3.990000000000000000e+02,4.220000000000000000e+02,2.300000000000000000e+01,8.890568451756654111e-01
5.700000000000000178e+00,4.090000000000000000e+02,4.270000000000000000e+02,1.800000000000000000e+01,9.113389716211708347e-01
5.900000000000000355e+00,3.730000000000000000e+02,3.940000000000000000e+02,2.100000000000000000e+01,8.311233164173512655e-01
6.100000000000000533e+00,3.550000000000000000e+02,3.720000000000000000e+02,1.700000000000000000e+01,7.910154888154415920e-01
6.300000000000000711e+00,3.440000000000000000e+02,3.690000000000000000e+02,2.500000000000000000e+01,7.665051497253857482e-01
6.500000000000000000e+00,3.290000000000000000e+02,3.510000000000000000e+02,2.200000000000000000e+01,7.330819600571276684e-01
6.700000000000000178e+00,3.120000000000000000e+02,3.340000000000000000e+02,2.200000000000000000e+01,6.952023450997685261e-01
6.900000000000000355e+00,2.950000000000000000e+02,3.170000000000000000e+02,2.200000000000000000e+01,6.573227301424091618e-01
7.100000000000000533e+00,2.940000000000000000e+02,3.230000000000000000e+02,2.900000000000000000e+01,6.550945174978586305e-01
7.300000000000000711e+00,2.930000000000000000e+02,3.120000000000000000e+02,1.900000000000000000e+01,6.528663048533080993e-01
7.500000000000000000e+00,2.620000000000000000e+02,2.850000000000000000e+02,2.300000000000000000e+01,5.837917128722414084e-01
7.700000000000000178e+00,2.800000000000000000e+02,2.990000000000000000e+02,1.900000000000000000e+01,6.238995404741511930e-01
7.900000000000000355e+00,2.510000000000000000e+02,2.800000000000000000e+02,2.900000000000000000e+01,5.592813737821854536e-01
