time_s,net_crossings,pos_crossings,neg_crossings,net_mass_flux_kg_s,positive_mass_flux_kg_s
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000133e+00,1.087000000000000000e+03,1.087000000000000000e+03,0.000000000000000000e+00,2.422067144626436797e+00,2.422067144626436797e+00
2.100000000000000089e+00,1.511000000000000000e+03,1.511000000000000000e+03,0.000000000000000000e+00,3.366829305915866044e+00,3.366829305915866044e+00
2.300000000000000266e+00,1.517000000000000000e+03,1.517000000000000000e+03,0.000000000000000000e+00,3.380198581783169232e+00,3.380198581783169232e+00
2.500000000000000000e+00,1.390000000000000000e+03,1.390000000000000000e+03,0.000000000000000000e+00,3.097215575925250430e+00,3.097215575925250430e+00
2.700000000000000178e+00,1.229000000000000000e+03,1.229000000000000000e+03,0.000000000000000000e+00,2.738473340152613122e+00,2.738473340152613122e+00
2.900000000000000355e+00,1.099000000000000000e+03,1.099000000000000000e+03,0.000000000000000000e+00,2.448805696361043172e+00,2.448805696361043172e+00
3.100000000000000089e+00,9.610000000000000000e+02,9.610000000000000000e+02,0.000000000000000000e+00,2.141312351413068527e+00,2.141312351413068527e+00
3.300000000000000266e+00,8.770000000000000000e+02,8.770000000000000000e+02,0.000000000000000000e+00,1.954142489270823235e+00,1.954142489270823235e+00
3.500000000000000000e+00,7.750000000000000000e+02,7.750000000000000000e+02,0.000000000000000000e+00,1.726864799526668381e+00,1.726864799526668381e+00
3.700000000000000178e+00,7.460000000000000000e+02,7.460000000000000000e+02,0.000000000000000000e+00,1.662246632834702531e+00,1.662246632834702531e+00
3.900000000000000355e+00,6.810000000000000000e+02,6.810000000000000000e+02,0.000000000000000000e+00,1.517412810938917556e+00,1.517412810938917556e+00
4.100000000000000533e+00,6.160000000000000000e+02,6.240000000000000000e+02,8.000000000000000000e+00,1.372578989043132358e+00,1.390404690199537052e+00
4.299999999999999822e+00,5.900000000000000000e+02,6.070000000000000000e+02,1.700000000000000000e+01,1.314645460284818324e+00,1.352525075242177577e+00
4.500000000000000000e+00,5.330000000000000000e+02,5.480000000000000000e+02,1.500000000000000000e+01,1.187637339545437598e+00,1.221060529213695789e+00
4.700000000000000178e+00,5.130000000000000000e+02,5.290000000000000000e+02,1.600000000000000000e+01,1.143073086654426973e+00,1.178724488967235473e+00
4.900000000000000355e+00,4.890000000000000000e+02,4.990000000000000000e+02,1.000000000000000000e+01,1.089595983185214001e+00,1.111878109630719313e+00
5.100000000000000533e+00,4.510000000000000000e+02,4.710000000000000000e+02,2.000000000000000000e+01,1.004923902692293369e+00,1.049488155583304216e+00
5.300000000000000711e+00,4.340000000000000000e+02,4.600000000000000000e+02,2.600000000000000000e+01,9.670442877349342270e-01,1.024977816493248373e+00
5.500000000000000000e+00,3.960000000000000000e+02,4.210000000000000000e+02,2.500000000000000000e+01,8.823722072420138174e-01,9.380775233557772097e-01
5.700000000000000178e+00,4.130000000000000000e+02,4.300000000000000000e+02,1.700000000000000000e+01,9.202518221993729597e-01,9.581314371567321020e-01
5.900000000000000355e+00,3.660000000000000000e+02,3.910000000000000000e+02,2.500000000000000000e+01,8.155258279054975468e-01,8.712311440192610501e-01
6.100000000000000533e+00,3.540000000000000000e+02,3.770000000000000000e+02,2.300000000000000000e+01,7.887872761708910607e-01,8.400361669955536126e-01
6.300000000000000711e+00,3.350000000000000000e+02,3.650000000000000000e+02,3.000000000000000000e+01,7.464512359244308559e-01,8.132976152609470155e-01
