time_s,mass_flux_kg_s,signed_mass_flux_kg_s,n_particles_in_window
0.0,0.0,0.0,0
0.200008,0.0,0.0,0
0.400121,0.0,0.0,0
0.600113,0.0,0.0,0
0.800059,0.0,0.0,0
1.00011,0.0,0.0,0
1.20005,0.0,0.0,0
1.40002,0.0,0.0,0
1.60012,0.0,0.0,0
1.80013,3.0434186536505132,3.0434186536505132,1030
2.00003,4.358966305981818,4.358966305981818,1795
2.2001,4.121858984774652,4.121858984774652,2039
2.40004,3.6839191553679176,3.6839191553679176,2174
2.60006,3.1720904904156417,3.1720904904156417,2219
2.80008,2.809443879782211,2.809443879782211,2294
3.00003,2.447939739850286,2.447939739850286,2328
3.20007,2.1874436922770375,2.1874436922770375,2370
3.40012,1.9615041318177986,1.9615041318177986,2380
3.60011,1.7962480654417992,1.7962480654417992,2416
3.80005,1.6398656266473124,1.6398656266473124,2422
4.00002,1.5543286216550167,1.5543286216550167,2468
4.20001,1.4336200387372007,1.4336200387372007,2474
4.40006,1.3378896542127436,1.3378896542127436,2483
4.60011,1.2412971095796672,1.2412971095796672,2481
4.80006,1.1803855628207907,1.1803855628207907,2515
5.00012,1.122419931933671,1.122419931933671,2522
5.2001,1.060635655122947,1.060635655122947,2518
5.40013,0.9967678448435048,0.9967678448435048,2518
5.60011,0.9509027868261271,0.9509027868261271,2527
5.80014,0.9143430694099604,0.9143430694099604,2531
6.00002,0.8704393539318607,0.8704393539318607,2531
6.20009,0.8313465064385493,0.8313465064385493,2522
6.40001,0.7985627887271747,0.7985627887271747,2518
6.60008,0.764171178460856,0.764171178460856,2525
6.80001,0.7252613219665092,0.7252613219665092,2493
7.00011,0.7097681357302641,0.7097681357302641,2507
7.2001,0.6757534223696653,0.6757534223696653,2493
7.40005,0.6526212956769512,0.6526212956769512,2492
7.60013,0.6357766568888442,0.6357766568888442,2501
7.8001,0.6114058700973581,0.6114058700973581,2474
8.00005,0.5963559597136862,0.5963559597136862,2478
