time_s,mass_flux_kg_s,signed_mass_flux_kg_s,n_particles_in_slab
0.0,0.0,0.0,1298
0.200008,-445029961.0959834,-445029961.0959834,2684
0.400121,-89979021.28260767,-89979021.28260767,2765
0.600113,346515136.86177444,346515136.86177444,1490
0.800059,1084452332.8783333,1084452332.8783333,1167
1.00011,733387271.8751683,733387271.8751683,1007
1.20005,895336580.8205023,895336580.8205023,906
1.40002,601290381.996842,601290381.996842,824
1.60012,744226075.9899318,744226075.9899318,762
1.80013,367776450.7739892,367776450.7739892,694
2.00003,183042953.62497997,183042953.62497997,648
2.2001,197434464.8731448,197434464.8731448,621
2.40004,212634623.7322142,212634623.7322142,591
2.60006,151196340.2385072,151196340.2385072,574
2.80008,13893344.148373067,13893344.148373067,543
3.00003,116282155.126356,116282155.126356,520
3.20007,44822148.106779814,44822148.106779814,494
3.40012,14802181.921728045,14802181.921728045,469
3.60011,107860517.03369883,107860517.03369883,452
3.80005,169656308.71453413,169656308.71453413,439
4.00002,177251843.9299033,177251843.9299033,420
4.20001,177129806.25635272,177129806.25635272,404
4.40006,246453025.27523017,246453025.27523017,387
4.60011,328661811.21526706,328661811.21526706,373
4.80006,373622010.7898489,373622010.7898489,354
5.00012,353089142.62206686,353089142.62206686,342
5.2001,304129883.1309693,304129883.1309693,328
5.40013,284561574.38370407,284561574.38370407,315
5.60011,245747820.87043875,245747820.87043875,304
5.80014,253174264.50459146,253174264.50459146,296
6.00002,249555091.36920246,249555091.36920246,287
6.20009,237811695.56443566,237811695.56443566,281
6.40001,209525103.55659252,209525103.55659252,276
6.60008,181719374.13060448,181719374.13060448,275
6.80001,174301397.91899562,174301397.91899562,265
7.00011,163721590.95947573,163721590.95947573,257
7.2001,136005538.27993518,136005538.27993518,249
7.40005,150181789.7828823,150181789.7828823,239
7.60013,160154471.0247088,160154471.0247088,233
7.8001,163759872.3963277,163759872.3963277,227
8.00005,152185547.7613177,152185547.7613177,224
