time_s,mass_flux_kg_s,signed_mass_flux_kg_s,n_particles_in_slab
0.0,0.0,0.0,0
0.200008,0.0,0.0,0
0.400121,0.0,0.0,0
0.600113,0.0,0.0,0
0.800059,0.0,0.0,0
1.00011,0.0,0.0,0
1.20005,0.0,0.0,0
1.40002,0.0,0.0,0
1.60012,0.0,0.0,0
1.80013,0.0,0.0,0
2.00003,0.0,0.0,0
2.2001,0.0,0.0,0
2.40004,0.0,0.0,0
2.60006,0.0,0.0,0
2.80008,0.0,0.0,0
3.00003,0.0,0.0,0
3.20007,0.0,0.0,0
3.40012,0.0,0.0,0
3.60011,0.0,0.0,0
3.80005,0.0,0.0,0
4.00002,0.0,0.0,0
4.20001,0.0,0.0,0
4.40006,0.0,0.0,0
4.60011,0.0,0.0,0
4.80006,0.0,0.0,0
5.00012,0.0,0.0,0
5.2001,0.0,0.0,0
5.40013,0.0,0.0,0
5.60011,0.0,0.0,0
5.80014,0.0,0.0,0
6.00002,0.0,0.0,0
6.20009,0.0,0.0,0
6.40001,0.0,0.0,0
6.60008,0.0,0.0,0
6.80001,0.0,0.0,0
7.00011,0.0,0.0,0
7.2001,0.0,0.0,0
7.40005,0.0,0.0,0
7.60013,0.0,0.0,0
7.8001,0.0,0.0,0
8.00005,0.0,0.0,0
