y_m,q_m,vnormal_m_s,speed_m_s,x_m,z_m,vx_m_s,vy_m_s,vz_m_s
-0.13099423,0.03991763942459153,0.09140887911580994,0.14749289770859003,-0.033204794,0.029270343,0.12907793,-0.013140361,-0.070145376
-0.13510375,0.03242311418764241,0.07493481165975041,0.12543343420913844,-0.024780581,0.024704454,0.10624132,-0.031986866,-0.058507852
-0.13155954,0.03378929497021635,0.08792722548180455,0.1491481032618021,-0.02436007,0.026367115,0.12750098,-0.017674884,-0.075340927
-0.13118668,0.028282971872944727,0.08063042208420702,0.13524125475840368,-0.019432677,0.022476818,0.11622674,-0.015209685,-0.067455225
-0.1359911,0.026095208455568064,0.08926841870669036,0.1297954013199282,-0.015454911,0.02178858,0.11890353,-0.0063759368,-0.051654082
-0.13592096,0.025723892706964745,0.09111182398725072,0.1315312322117124,-0.014792413,0.021666411,0.12084851,-0.0064779739,-0.051518332
-0.13583438,0.023624006440660903,0.09540590506200364,0.12944417492066404,-0.01235129,0.020421373,0.12184037,-0.0085614203,-0.042865146
-0.13571376,0.022401867144186828,0.10214707655847961,0.13225311764190134,-0.010341579,0.019946761,0.12656353,-0.011080117,-0.036739502
-0.1308277,0.01911108820970371,0.0925064124760811,0.12444605473592027,-0.0088569801,0.017001964,0.11613073,-0.025370739,-0.036834762
-0.13514452,0.019358780164288374,0.13108822929413783,0.15616829813600008,-0.0041041863,0.019288488,0.1538181,-0.0024701424,-0.026878018
-0.13676895,0.021687949316286828,0.11302858412480504,0.15129671471374753,-0.0057981904,0.021099743,0.14330925,0.0040393909,-0.048340853
-0.13605894,0.02968089614629169,0.12719735424190962,0.17585063260143868,-0.007327979,0.029133607,0.1644706,0.0061102351,-0.06193167
-0.12843218,0.027399220338113536,0.17753868949543558,0.23577447016393066,-0.0020534866,0.028893774,0.22269879,-0.03251145,-0.070269875
-0.13476682,0.0148081855495609,0.13689505571806052,0.16804279550188608,0.0007020015,0.016385008,0.16345112,-0.017812636,-0.034710553
-0.13631852,0.02308215862083418,0.11961092820326004,0.17015851674786003,0.0016620337,0.025781034,0.15734971,0.0050459784,-0.06457188
-0.13527533,0.014936880217487535,0.1279303574948766,0.1657633235746187,0.0023046224,0.017205089,0.15891142,-0.0044141212,-0.046959084
-0.13618702,0.013558215497988425,0.11604944753084623,0.16275356139577496,0.0043229111,0.016564075,0.1514103,-0.00046787006,-0.059694421
-0.13693249,0.014383863288556353,0.11407468874665182,0.16952206904438893,0.0069253198,0.018565683,0.15381089,-0.011101246,-0.070403866
-0.13470434,0.00842585952682973,0.14144590279065053,0.1812107156032807,0.011404599,0.013994485,0.17032281,-0.047819722,-0.039252236
-0.13457318,0.007626832710649065,0.13966855890040683,0.1769992663749668,0.012333467,0.013520735,0.16517976,-0.05514041,-0.031684734
-0.13621637,0.006671548420478953,0.1392765278814077,0.1670466836705281,0.013288367,0.012888283,0.15972422,-0.044713717,-0.019835614
-0.12713428,0.01899175086314344,0.19846716413981352,0.2476154654072912,0.0084346049,0.024212163,0.23826921,-0.041119359,-0.053389143
-0.12682743,0.013411771104412306,0.15045389549302512,0.1972667379151711,0.002454224,0.015611773,0.18669119,-0.032587726,-0.054759525
-0.13638094,0.024270512752638352,0.16704477104600396,0.21302369946945462,0.0071116271,0.02938523,0.20513351,-0.013847204,-0.055745803
-0.12058059,0.03561695254157019,0.12623004692760129,0.19457098063967443,-0.025956951,0.027674774,0.17324609,-0.024594136,-0.085081063
-0.11224623,0.03872699797331493,0.13154018080553553,0.2032446421018182,-0.031501431,0.028699912,0.18143114,-0.012299707,-0.090773582
-0.11203068,0.03721026027540002,0.14501759877469547,0.21937424420557233,-0.027494049,0.028753221,0.19750544,-0.0158916,-0.094149441
-0.12370055,0.039190591058871654,0.11520523724733311,0.18426274316361538,-0.031119404,0.029365702,0.16201758,-0.012694391,-0.086844198
-0.12063307,0.034566001405872085,0.12306785007281276,0.19194243987076715,-0.025176505,0.026864342,0.16983633,-0.027358688,-0.085141197
-0.11319499,0.0315605013202373,0.133158558028379,0.20078311832670548,-0.021654133,0.025094444,0.18073986,-0.020528888,-0.085003108
-0.11671066,0.029627623381008057,0.1235701867042674,0.19010023800720005,-0.020951917,0.023292715,0.16910124,-0.02825867,-0.082123801
-0.10784269,0.02952285693146979,0.1341646901360105,0.20453980894083765,-0.020411953,0.023408102,0.18337992,-0.018706242,-0.088647701
-0.10642584,0.03159628917471969,0.15065761025759927,0.2242890552008246,-0.0191797,0.026183657,0.20300701,-0.022470571,-0.09267582
-0.12111188,0.029187442916069867,0.12912777611319465,0.19328283551792663,-0.017302606,0.024363561,0.17400917,-0.027654281,-0.079462595
-0.10860825,0.027507540168462536,0.15736120870338394,0.22637248473150637,-0.014549442,0.02370723,0.20735359,-0.029905774,-0.08575917
-0.12007885,0.02614398864366826,0.13623585189239878,0.1969804475879135,-0.014240596,0.022357019,0.18050697,-0.018820999,-0.076578721
-0.11712262,0.024112765978637367,0.13937382949410626,0.19466964784884436,-0.013099226,0.020634862,0.18089309,-0.018698722,-0.069457322
-0.11044921,0.022331748069635657,0.12569568775256362,0.18366759123082008,-0.012453048,0.018974321,0.16688611,-0.027847728,-0.071465477
-0.11980142,0.019739350982877706,0.1678107786553504,0.20476399262598854,-0.0051933229,0.019239614,0.19945672,-0.022631966,-0.040411677
-0.12003407,0.019201351436240504,0.17937113666502266,0.21627538288806275,-0.00379935,0.019246859,0.21123891,-0.025779262,-0.038582299
-0.11775716,0.018168580710766942,0.16481291148884009,0.20352142676600282,-0.0046165641,0.017778011,0.19775349,-0.019293126,-0.044071574
